z,target,delta_exact,delta_leading,delta_two_term,leading_error,two_term_error,q_exact
0.42,1.1,0.0016506064137754404+0.000514011407134030011j,0.00181378316938350421-7.64850447909636713e-84j,0.00181378316938350421+0.000559491392098447199j,0.000539290626874489024,0.000169396229601303108,0.000514011407134030011+0.99834939358622456j
0.36,1.1,0.000929715384438838406+0.000212295747328551355j,0.00097903498022533172-4.12847222195289121e-84j,0.00097903498022533172+0.000221877197339077702j,0.00021794932177534118,0.0000502416830216435364,0.000212295747328551355+0.999070284615561162j
0.31,1.1,0.000523126106060054349+0.0000884269890713329669j,0.000538313140606352032-2.27000147348569914e-84j,0.000538313140606352032+0.0000904623425648722581j,0.0000897216719334413611,0.0000153228157384373023,0.0000884269890713329669+0.999476873893939946j
0.27,1.1,0.000304699988278238669+0.0000390206208754469961j,0.000309772786711921364-1.30627441397728199e-84j,0.000309772786711921364+0.0000394893742334442492j,0.0000393489788616444721,5.09441004036849268e-6,0.0000390206208754469961+0.999695300011721761j
0.23,1.1,0.000161703898089591809+0.0000150091379971513818j,0.000163117121950039208-6.87845195010954307e-85j,0.000163117121950039208+0.0000150891467712272j,0.0000150755240405523298,1.41548687159823719e-6,0.0000150091379971513818+0.999838296101910408j
0.2,1.1,0.0000927999772219019209+6.50791831397353541e-6j,0.0000932627438867295115-3.93277722713085964e-85j,0.0000932627438867295115+6.52345454796127715e-6j,6.52435083111168964e-6,4.63027386492606311e-7,6.50791831397353541e-6+0.999907200022778098j
0.17,1.1,0.0000485575597992693005+2.45857979370736666e-6j,0.0000486837352010220971-2.0529342924199783e-85j,0.0000486837352010220971+2.46031772296529901e-6j,2.4618153533589064e-6,1.26187370230087541e-7,2.45857979370736666e-6+0.999951442440200731j
0.145,1.1,0.0000257314407304007927+9.47348632511157983e-7j,0.0000257667838902148186-1.08655414452435216e-85j,0.0000257667838902148186+9.47339574856172035e-7j,9.48007684814000246e-7,3.53431609746622734e-8,9.47348632511157983e-7+0.999974268559269599j
