m,d,epsilon,A,log_phi,raw_error,after_subcritical_error,after_order_d_error
3,3,0.24,-0.0015873015873015873+1.31403773257240621e-84j,0.0031013950701577649+0.103287732989599544j,0.103300724531581362,0.00163991850662830402,0.00160464457924130496
3,3,0.18,-0.0015873015873015873+1.31403773257240621e-84j,0.004219736202841595+0.0768032897800286152j,0.0768050495658906179,0.000521399722705108617,0.000505604083633144229
3,3,0.13,-0.0015873015873015873+1.31403773257240621e-84j,0.00459696088650039364+0.0550677887042782254j,0.0550679735872004895,0.000143610068331946774,0.000137287716762193677
3,3,0.09,-0.0015873015873015873+1.31403773257240621e-84j,0.00470635000038154352+0.0379027648505847126j,0.0379027794849462176,0.0000337753004001089347,0.0000315106150218819619
3,3,0.065,-0.0015873015873015873+1.31403773257240621e-84j,0.00473040940223430585+0.0272750550007142452j,0.0272750565684600145,9.49557284654762532e-6,8.57067086432657294e-6
3,3,0.045,-0.0015873015873015873+1.31403773257240621e-84j,0.0047374638275959537+0.018828090323765445j,0.0188280904515168987,2.31027205146118461e-6,1.96858855061258512e-6
3,3,0.032,-0.0015873015873015873+1.31403773257240621e-84j,0.00473907295257222179+0.0133637098583541897j,0.013363709871123035,6.40804578249218441e-7,5.03366195704398511e-7
3,3,0.023,-0.0015873015873015873+1.31403773257240621e-84j,0.00473949279461385377+0.00959268460713676134j,0.00959268460854462296,1.91544060095093833e-7,1.34334265622712018e-7
3,3,0.016,-0.0015873015873015873+1.31403773257240621e-84j,0.00473961557837242152+0.00666643245280751971j,0.00666643245293709474,5.32429594181357633e-8,3.145945734150144e-8
4,2,0.24,-0.00555555555555555556+2.34271065405122738e-83j,0.00770411763342748351+0.0587640165969417192j,0.0588877797581226601,0.00398947275632693723,0.00347483143665176328
4,2,0.18,-0.00555555555555555556+2.34271065405122738e-83j,0.00988476316473885456+0.0438973876130564749j,0.0439278344419380515,0.00177773704192703766,0.00144207812912440363
4,2,0.13,-0.00555555555555555556+2.34271065405122738e-83j,0.0108817864054421668+0.0315753005245442571j,0.031581749790148792,0.000740383060315148507,0.000537209212852605257
4,2,0.09,-0.00555555555555555556+2.34271065405122738e-83j,0.011294588552842074+0.0217827752858263838j,0.0217839415504476262,0.000290201870460455094,0.000176954527669413313
4,2,0.065,-0.00555555555555555556+2.34271065405122738e-83j,0.0114283099586478204+0.0156960304618317317j,0.0156962982681405749,0.000132773917931121115,0.0000664058313519546692
4,2,0.045,-0.00555555555555555556+2.34271065405122738e-83j,0.0114859032620257342+0.0108462461234142175j,0.0108462997172869249,0.0000574568661808906486,0.0000219758659804743971
4,2,0.032,-0.00555555555555555556+2.34271065405122738e-83j,0.011505979854408074+0.00770344991847272787j,0.0077034626766733865,0.0000273214779760609783,7.89023866499104742e-6
4,2,0.023,-0.00555555555555555556+2.34271065405122738e-83j,0.0115139062310720113+0.00553213587242455093j,0.00553213922863355772,0.0000135798902518649379,2.92684664503389765e-6
4,2,0.016,-0.00555555555555555556+2.34271065405122738e-83j,0.0115174827331937465+0.00384588079797305347j,0.00384588162179363295,6.39690682859580242e-6,9.84620399521202683e-7
6,3,0.24,0.0000587889476778365667-4.86680641693483783e-86j,-0.000683855591227792065+0.0328585758699893761j,0.0328625073608128841,0.000508497259460432235,0.000509525395708113154
6,3,0.18,0.0000587889476778365667-4.86680641693483783e-86j,-0.000337592726353051135+0.0247205842886654918j,0.024721115422511303,0.000162141573768702122,0.000162561024906137395
6,3,0.13,0.0000587889476778365667-4.86680641693483783e-86j,-0.000219946246985245971+0.0178989168555949206j,0.0178989719331734094,0.0000444487862069510127,0.0000445959294574242228
6,3,0.09,0.0000587889476778365667-4.86680641693483783e-86j,-0.000185797818990494782+0.0124162295288308297j,0.0124162337637809133,0.0000102763442544784102,0.0000103188497967479758
6,3,0.065,0.0000587889476778365667-4.86680641693483783e-86j,-0.00017833947437974431+0.00897831386952693501j,0.00897831430508019666,2.80772807589131616e-6,2.8206848254988855e-6
6,3,0.045,0.0000587889476778365667-4.86680641693483783e-86j,-0.000176185314612906636+0.0062218316126271296j,0.00622183164579675113,6.47779769831125133e-7,6.50443478208412482e-7
6,3,0.032,0.0000587889476778365667-4.86680641693483783e-86j,-0.00017570672727249456+0.00442720954432827723j,0.00442720954736104755,1.66561639321477646e-7,1.66741845933553111e-7
6,3,0.023,0.0000587889476778365667-4.86680641693483783e-86j,-0.000175586367652172868+0.00318344398727804045j,0.00318344398757538578,4.48990985792756113e-8,4.45767974425703359e-8
6,3,0.016,0.0000587889476778365667-4.86680641693483783e-86j,-0.00017555295171365507+0.00221531862659030656j,0.00221531862661330559,1.0762305891319655e-8,1.04535345249552718e-8
