q,derivative_order_m,predicted_sup_norm,peak_or_plateau_half_width
0.25,0,1.3333333333333333,0.25
0.25,1,7.111111111111111,0.0625
0.25,2,151.7037037037037,0.015625
0.25,3,12945.382716049382,0.00390625
0.25,4,4418690.633744856,0.0009765625
0.25,5,6032985611.939643,0.000244140625
0.25,6,32948145422006.37,6.103515625e-05
0.25,7,7.197632194588699e+17,1.52587890625e-05
0.25,8,6.289386980060866e+22,3.814697265625e-06
0.3333333333333333,0,1.4999999999999998,0.16666666666666669
0.3333333333333333,1,6.749999999999998,0.05555555555555556
0.3333333333333333,2,91.12499999999997,0.01851851851851852
0.3333333333333333,3,3690.562499999999,0.006172839506172838
0.3333333333333333,4,448403.34375,0.0020576131687242796
0.3333333333333333,5,163443018.79687503,0.0006858710562414265
0.3333333333333333,6,178724941054.38287,0.0002286236854138088
0.3333333333333333,7,586307169128903.2,7.620789513793627e-05
0.3333333333333333,8,5.770142004982103e+18,2.5402631712645418e-05
0.5,0,2.0,0.0
0.5,1,8.0,0.0
0.5,2,64.0,0.0
0.5,3,1024.0,0.0
0.5,4,32768.0,0.0
0.5,5,2097152.0,0.0
0.5,6,268435456.0,0.0
0.5,7,68719476736.0,0.0
0.5,8,35184372088832.0,0.0
