centered_position_y,saddle_theta,rate_I,quadratic_12_y_squared
0.0,0.0,0.0,0.0
0.005,0.1200144018927685,0.0003000180015228158,0.0003
0.01,0.24011526059010632,0.0012002881010098586,0.0012
0.015,0.36038926037035485,0.002701459150550467,0.0026999999999999997
0.02,0.48092354155783584,0.004804614468911663,0.0048
0.025,0.6018059312983581,0.007511274695907413,0.0075000000000000015
0.03,0.7231251776599898,0.010823401811940218,0.010799999999999999
0.035,0.8449711882030979,0.014743404334899924,0.014700000000000003
0.04,0.967435274195768,0.019274143727661494,0.0192
0.045,1.090610401690386,0.02441894203974322,0.024300000000000002
0.05,1.2145914507258724,0.030181590826069537,0.030000000000000006
0.055,1.3394754839780116,0.03656636138401428,0.0363
0.06,1.465362026248359,0.04357801636137186,0.043199999999999995
0.065,1.5923533562603935,0.05122182278960607,0.0507
0.07,1.7205548123217034,0.05950356661279328,0.05880000000000001
0.075,1.8500751135124656,0.06842956878151693,0.06749999999999999
0.08,1.9810266981781197,0.07800670299428648,0.0768
0.085,2.113526081630645,0.08824241518062628,0.08670000000000001
0.09,2.2476942351140257,0.09914474482411852,0.09720000000000001
0.095,2.383656988250595,0.11072234823756581,0.10830000000000001
0.1,2.5215454573709617,0.12298452391444817,0.12000000000000002
0.105,2.661496502336866,0.13594124009175165,0.1323
0.11,2.8036532146979964,0.14960316467509854,0.1452
0.115,2.94816544028403,0.1639816976879149,0.1587
0.12,3.0951903396250233,0.17908900642809467,0.17279999999999998
0.125,3.244892989921614,0.19493806352702003,0.1875
0.13,3.3974470326559003,0.21154268813382932,0.2028
0.135,3.5530353713508798,0.22891759045768367,0.21870000000000003
0.14,3.711850924457363,0.24707841993693036,0.23520000000000005
0.145,3.874097438881359,0.2660418173212847,0.25229999999999997
0.15,4.03999037027115,0.2858254709843616,0.26999999999999996
0.155,4.20975783687386,0.3064481778220781,0.2883
0.16,4.383641654559765,0.3279299091154696,0.3072
0.165,4.561898461515087,0.3502918817923928,0.3267
0.17,4.744800942140345,0.3735566355550656,0.34680000000000005
0.17500000000000002,4.932639160883943,0.3977481163986172,0.36750000000000005
0.18,5.125722018117171,0.4228917670944155,0.38880000000000003
0.185,5.32437884174919,0.44901462529309033,0.41069999999999995
0.19,5.528961130127203,0.47614542994992326,0.43320000000000003
0.195,5.739844463913321,0.5043147368835411,0.4563
