q,k,numerical_real,numerical_imag,predicted_real,predicted_imag,absolute_error
0.5,1,7.558647541807937e-07,-7.470103559360371e-07,7.558647540977681e-07,-7.470103558980079e-07,9.132065643809682e-17
0.5,2,3.248275996178583e-13,5.85129438175806e-13,3.2481234772341463e-13,5.851758987117823e-13,4.889991500327528e-17
0.5,3,-4.108019884762013e-17,-1.37662756619736e-17,-2.812365231991783e-19,-2.586743979161966e-19,4.297686143331415e-17
0.3333333333333333,1,8.652216916569811e-05,-5.89331955281216e-05,8.652216916572568e-05,-5.893319552813113e-05,2.916586027065737e-17
0.3333333333333333,2,1.202074475951114e-08,5.644035391912964e-09,1.2020744794319668e-08,5.644035367178218e-09,4.270177120403564e-17
0.3333333333333333,3,-1.8215283796565536e-12,-6.031340347783638e-13,-1.8215003905829725e-12,-6.031503520739993e-13,3.239818477602169e-17
0.7,1,-2.052692460502608e-12,2.1431252988551567e-12,-2.0528316507848078e-12,2.143136455399521e-12,1.396366826482064e-16
0.7,2,-3.6989380183339864e-17,4.3465079148803114e-17,2.274941828413444e-25,2.2004494698833985e-24,5.707387473532612e-17
0.7,3,7.895219293789344e-17,3.610974460173527e-17,-3.6943484631704427e-37,-5.303148499232627e-37,8.68179844554393e-17
