n,power_of_r,coefficient
1,0,1
2,1,7
2,0,3
3,3,155
3,2,90
3,1,90
3,0,15
4,6,8001
4,5,5019
4,4,6405
4,3,6174
4,2,2541
4,1,1155
4,0,105
5,10,804825
5,9,515340
5,8,698985
5,7,828135
5,6,873180
5,5,486990
5,4,374220
5,3,190575
5,2,61425
5,1,16380
5,0,945
6,15,140033223
6,14,90146727
6,13,124263810
6,12,155187747
6,11,192109203
6,10,199520937
6,9,147761658
6,8,124403895
6,7,97750323
6,6,62045082
6,5,30164805
6,4,16505775
6,3,5746455
6,2,1476090
6,1,259875
6,0,10395
7,21,38741177475
7,20,24973938990
7,19,34571136600
7,18,43784235495
7,17,56540033550
7,16,66926014155
7,15,74192403285
7,14,60065930925
7,13,58580707185
7,12,51203417265
7,11,42956668755
7,10,30694518855
7,9,20449754325
7,8,13215527325
7,7,7978235265
7,6,3857879025
7,5,1637971335
7,4,671620950
7,3,177972795
7,2,36756720
7,1,4594590
7,0,135135
8,28,16015962227265
8,27,10328038455735
8,26,14312433210075
8,25,18193139824860
8,24,23760651104190
8,23,29138661086535
8,22,35699218444890
8,21,38942084165985
8,20,35625891356055
8,19,35659289926260
8,18,34930032502365
8,17,31905159671385
8,16,28115752154490
8,15,22572565175160
8,14,17083773006300
8,13,13257187103160
8,12,9384534849690
8,11,6290458799625
8,10,3768963122925
8,9,2185141058100
8,8,1168643651175
8,7,572304157425
8,6,229400221050
8,5,84259149975
8,4,26886009150
8,3,5743237500
8,2,962836875
8,1,89864775
8,0,2027025
9,36,9434812618170225
9,35,6084654780049560
9,34,8434323045108675
9,33,10731277897109055
9,32,14056762612663485
9,31,17403420228454260
9,30,21924230232002670
9,29,25955934782398335
9,28,29430190857463110
9,27,27976603589102025
9,26,29675346433793775
9,25,29914006277566125
9,24,29971531893206475
9,23,28188579665542725
9,22,26016131536776810
9,21,22458411908361000
9,20,18929341581701265
9,19,15821802282486915
9,18,12846517006365900
9,17,9809920685725875
9,16,7277490342753345
9,15,5031771311235240
9,14,3415201729389450
9,13,2244148856640405
9,12,1365189062666715
9,11,779486393736765
9,10,412794366645375
9,9,207534185998425
9,8,94867536753990
9,7,38969770895055
9,6,13444032231630
9,5,4245428727540
9,4,1088814451725
9,3,193930752015
9,2,26678486835
9,1,1929727800
9,0,34459425
10,45,7628473935554443335
10,44,4919826846611955915
10,43,6820150212188176500
10,42,8679568003539397965
10,41,11377854761836022460
10,40,14121843752265762240
10,39,17925070423736049210
10,38,21720942833082608115
10,37,26261811678319762545
10,36,29501654405876632980
10,35,29754928996678865070
10,34,31778868382971938865
10,33,33739152954756021045
10,32,34547428448973158355
10,31,34932661427506416210
10,30,34018180598556857430
10,29,32348376319928026995
10,28,29597859363763409355
10,27,26542448111297102985
10,26,23734635066253226115
10,25,20615490949941518085
10,24,17482167949900243590
10,23,14235447542905924335
10,22,11350109905227331875
10,21,8724588557202791910
10,20,6575687582869342665
10,19,4832283050452596375
10,18,3427957804986002925
10,17,2317404911654134575
10,16,1517057883383781375
10,15,943197744304875150
10,14,573225741107469450
10,13,329509654958258775
10,12,177026990147832825
10,11,89162431373904525
10,10,42215812597781550
10,9,18537428978768700
10,8,7374129111674325
10,7,2602521824441175
10,6,786775430054250
10,5,213455487281400
10,4,45210352086900
10,3,6858287060625
10,2,783055973700
10,1,45176306175
10,0,654729075
11,55,8213117639088018732075
11,54,5296909700778900414210
11,53,7343010840563666418150
11,52,9345536178661712684655
11,51,12253200855730845245235
