n,g_n,"H_n (n by n, H_0=1)"
0,1,1
1,1,1
2,4,3
3,12,-10
4,34,-77
5,103,-807
6,309,437
7,934,468332
8,2851,2665431
9,8749,183243907
10,27020,-202050440191
11,83933,306835384458
12,262077,8876061398896921
13,822331,7166719447444820803
14,2591854,4437019168643646676707
15,8202868,-10925936035379935915649368
16,26060076,-19424316177632150444860180667
17,83082838,-116652440061024782553756273874455
18,265739444,187900934123956847147558259530606603
19,852518377,5100784707324313004268886765800829970714
20,2742571079,123105697477402097494958422443899483169474351
21,8845671699,
22,28598479638,
23,92666336035,
24,300886198917,
25,978867744431,
26,3190309491586,
27,10415473631560,
28,34057855556632,
29,111533712279579,
30,365769575298751,
31,1201120710168366,
32,3949219627704629,
33,13000255755232479,
34,42843129582016760,
35,141342876169842209,
36,466774086196115893,
37,1542971655290824766,
38,5105137165234541507,
