n,g_n,"H_n (n by n, H_0=1)"
0,1,1
1,1,1
2,5,4
3,17,-32
4,53,-768
5,185,-40960
6,629,524288
7,2161,1946157056
8,7541,292057776128
9,26425,422212465065984
10,93365,-13708957265715789824
11,332209,4833046947311902523392
12,1188853,2192689205326033665623326720
13,4278713,317714835202514276792310433841152
14,15476853,29641119042968624190964991974409502720
15,56237937,-26613377578646934434200695742673769390407680
16,205209077,-22019479837307305473490991717899368127531426250752
17,751653305,-80899964373130370129689741862086191613065151838767022080
18,2762822837,242082446152052438786401777745192517813574112599603525449678848
19,10187766705,6133551396224242802835015106741057292036760052169816422695408462987264
20,37677543285,325852386629296568172490437118198142698411005409201193223689394458604460834816
21,139721789241,
22,519438618997,
23,1935586193009,
24,7228145281141,
25,27046576069177,
26,101393486352053,
27,380773750513585,
28,1432302910068981,
29,5395972997679801,
30,20357837177601141,
31,76910187447236465,
32,290932956882219253,
33,1101863971336943801,
34,4177925619495914165,
35,15858603424711499185,
36,60258251981109518453,
37,229188651620936137785,
38,872517079897293056373,
