n,g_n,"H_n (n by n, H_0=1)"
0,1,1
1,1,1
2,1,0
3,0,-1
4,-2,1
5,-5,0
6,-9,-1
7,-14,-1
8,-20,0
9,-26,1
10,-28,-1
11,-16,0
12,30,1
13,145,1
14,385,0
15,832,-1
16,1590,1
17,2752,0
18,4298,-1
19,5854,-1
20,6200,0
21,2364,
22,-11898,
23,-48386,
24,-127344,
25,-279874,
26,-546644,
27,-965234,
28,-1530248,
29,-2096469,
30,-2174585,
31,-543294,
32,5417900,
33,20751258,
34,54238400,
35,119538344,
36,234677494,
37,416337530,
38,661441640,
