n,r,ratio
20,1,0.99999999999636202119290828704833984375
20,2,1.08261038041484304939963530647089171280978436
20,3,1.35459335079624703872758769149981028904441281
20,4,2.10214198564518120001684183795830554019294159
20,5,4.36995551565532755155444147317450716733973664
20,6,13.2509556644475703308573005603269553270911348
20,7,64.4724351485764899059457255231638713693994211
40,1,0.999999999999999999999996691277549787889300514
40,2,1.03968948236080184490141340045677617343740773
40,3,1.15902686971984880576418848916108766150697911
40,4,1.4302712464496593898062852843803975160182411
40,5,2.01946787616180261692192353211065095942628908
40,6,3.37651254495776589883204966772255148421724767
40,7,6.92871739118623025260800496066396020020434089
80,1,1.0
80,2,1.019463878438200753146191256430545275112532
80,3,1.07552980440536742774496043902208163087994234
80,4,1.19224553248353900306003821304145434326695105
80,5,1.41035016445785756604330135613159445446950708
80,6,1.80862221357626859215599359548553231714970701
80,7,2.5550041960644397665089618008637370304070863
120,1,1.0
120,2,1.01289341431163888709959036155754694744907785
120,3,1.04951795967260597407569241551283780202668958
120,4,1.12362983569198979954093679086206059115009604
120,5,1.25561443182963195259668798341676746627912722
120,6,1.47955188478461591232269994349877105971489938
120,7,1.85753238034314006883296411384651502819420912
200,1,1.0
200,2,1.00769689273188232675798086378015703760009687
200,3,1.02931997998162616947289903290283663958662648
200,4,1.07210763401948124702897582573976325109028528
200,5,1.14547962161066324836890382985660942838468449
200,6,1.26301250781319830190544369174615352170617927
200,7,1.44586134722072040434479704483006108364530151
400,1,1.0
400,2,1.00383389114241453958154230593308849477566097
400,3,1.01451630116174430350792212988939216170312377
400,4,1.03530664753740757625598313442395428817409176
400,5,1.06997415871731227703526727951295867036785857
400,6,1.12320098900663609545572678456255170079154257
400,7,1.20118875940665874006037778835325924856313632
