name,n,lattice_points,maximal_elements,support_coefficients_low_to_high,q_zeta_at_minus_half
antichain3,3,8,1,"[0, 0, 0, 1]",-1/8
chain3,3,14,5,"[0, 1, 3, 1]",-11/8
V3,3,12,3,"[0, 0, 2, 1]",-5/8
dual_V3,3,12,4,"[0, 1, 2, 1]",-9/8
equivalence3,3,20,10,"[0, 3, 6, 1]",-25/8
chain5,5,132,42,"[0, 1, 10, 20, 10, 1]",-197/32
equivalence5,5,252,126,"[0, 5, 40, 60, 20, 1]",-681/32
