target,N,r,degree,check_level,sampled_max_error
fabius,128,18,164,11,4.1897500000000001
fabius,128,19,166,11,0.79503999999999997
fabius,128,20,168,11,0.15696399999999999
fabius,128,21,170,11,0.0336411
fabius,128,22,172,11,0.0078834300000000003
fabius,128,23,174,11,0.0039783099999999997
fabius,128,24,176,11,0.017004600000000002
fabius,128,25,178,11,0.13262699999999999
fabius,128,26,180,11,1.08718
fabius,128,28,184,11,88.8553
fabius,128,32,192,11,1068000
up,128,18,164,11,11836.700000000001
up,128,19,166,11,2132.5
up,128,20,168,11,407.56299999999999
up,128,21,170,11,82.950400000000002
up,128,22,172,11,18.2803
up,128,23,174,11,5.3129200000000001
up,128,24,176,11,10.256500000000001
up,128,25,178,11,74.189999999999998
up,128,26,180,11,595.5
up,128,28,184,11,47759
