target,N,r,degree,check_level,sampled_max_error
fabius,64,0,64,11,35850761.159999996
fabius,64,1,66,11,625356.22900000005
fabius,64,2,68,11,16768.928500000002
fabius,64,3,70,11,571.08399999999995
fabius,64,4,72,11,31.8337
fabius,64,5,74,11,2.8351799999999998
fabius,64,6,76,11,0.26132499999999997
fabius,64,7,78,11,0.032152
fabius,64,8,80,11,0.0047614500000000004
fabius,64,9,82,11,0.00076643600000000001
fabius,64,10,84,11,0.00015516799999999999
fabius,64,11,86,11,3.2964099999999998e-05
fabius,64,12,88,11,8.3033799999999994e-06
fabius,64,13,90,11,1.9392999999999998e-06
fabius,64,14,92,11,1.7766099999999999e-06
fabius,64,15,94,11,1.33195e-05
fabius,64,16,96,11,7.7939499999999995e-05
fabius,64,17,98,11,0.00049065999999999997
fabius,64,18,100,11,0.0032450000000000001
fabius,64,19,102,11,0.022690999999999999
fabius,64,20,104,11,0.17163500000000001
up,64,0,64,11,10450789903.700001
up,64,1,66,11,175147130.384
up,64,2,68,11,4517460.0489999996
up,64,3,70,11,147986.353
up,64,4,72,11,7721.7825999999995
up,64,5,74,11,660.73299999999995
up,64,6,76,11,58.510100000000001
up,64,7,78,11,6.6840299999999999
up,64,8,80,11,0.94863900000000001
up,64,9,82,11,0.14104700000000001
up,64,10,84,11,0.027293399999999999
up,64,11,86,11,0.0053287200000000003
up,64,12,88,11,0.0012644799999999999
up,64,13,90,11,0.000212427
up,64,14,92,11,0.00061924799999999998
up,64,15,94,11,0.0035919200000000002
up,64,16,96,11,0.0195037513
up,64,17,98,11,0.11702570800000001
up,64,18,100,11,0.73099477199999996
up,64,19,102,11,4.9619693500000004
up,64,20,104,11,36.532496399999999
