a,support_halfwidth_b,central_gap_halfwidth_b1,Cantor_dimension_log2_loga,mean_local_degree,variance_local_degree,variance_of_X_a
2.05,0.9523809523809526,0.02322880371660851,0.9656014993512615,40.00000000000014,1640.000000000012,0.1040853499869893
2.1,0.9090909090909091,0.04329004329004334,0.9342395088803243,19.99999999999998,419.9999999999993,0.09775171065493646
2.25,0.8,0.08888888888888893,0.8547556456757274,8,72,0.08205128205128205
2.5,0.6666666666666666,0.1333333333333333,0.75647079736603,4,20,0.06349206349206349
3,0.5,0.1666666666666667,0.6309297535714574,2,6,0.04166666666666666
4,0.3333333333333333,0.1666666666666667,0.5,1,2,0.02222222222222222
8,0.1428571428571428,0.1071428571428571,0.3333333333333334,0.3333333333333333,0.4444444444444444,0.005291005291005291
