generation_degree,word,gap_left,gap_right,fitted_leading_coefficient,exact_leading_coefficient,leading_coefficient_absolute_error,max_fit_residual
0,empty,-0.1666666666666667,0.1666666666666667,1.499999999999999,1.5,8.88178e-16,4.44089e-16
1,-,-0.3888888888888889,-0.2777777777777777,6.749999999999702,6.75,2.98428e-13,2.9976e-15
1,+,0.2777777777777777,0.3888888888888889,-6.749999999999678,-6.75,3.22409e-13,1.9984e-15
2,--,-0.462962962962963,-0.4259259259259259,45.56250001685662,45.5625,1.68566e-08,4.05362e-10
2,-+,0.2037037037037037,0.2407407407407408,-45.56250000299743,-45.5625,2.99743e-09,4.14857e-10
2,+-,-0.2407407407407408,-0.2037037037037037,-45.56250000299105,-45.5625,2.99105e-09,4.14855e-10
2,++,0.4259259259259259,0.462962962962963,45.56250001684164,45.5625,1.68416e-08,4.05359e-10
3,---,-0.4876543209876543,-0.4753086419753086,615.0936399589623,615.09375,0.000110041,2.40875e-10
3,--+,0.1790123456790123,0.1913580246913581,-615.0938259328614,-615.09375,7.59329e-05,2.5833e-10
3,-+-,-0.2654320987654321,-0.2530864197530864,-615.0938274776191,-615.09375,7.74776e-05,2.89657e-10
3,-++,0.4012345679012346,0.4135802469135803,615.093776632077,615.09375,2.66321e-05,2.47191e-10
3,+--,-0.4135802469135803,-0.4012345679012346,-615.0937756976341,-615.09375,2.56976e-05,2.47213e-10
3,+-+,0.2530864197530864,0.2654320987654321,615.0938276311493,615.09375,7.76311e-05,2.89703e-10
3,++-,-0.1913580246913581,-0.1790123456790123,615.0938258647412,615.09375,7.58647e-05,2.58334e-10
3,+++,0.4753086419753086,0.4876543209876543,-615.093640164989,-615.09375,0.000109835,2.4079e-10
