h,r=exp(-h),Q0_sup,Q0/h^1,Q1_sup,Q1/h^2,Q2_sup,Q2/h^3
0.30000000,0.740818220682,3.036526073663e-02,1.012175357888e-01,4.615971293583e-03,5.128856992870e-02,2.205024498473e-03,8.166757401750e-02
0.20000000,0.818730753078,1.908676247809e-02,9.543381239047e-02,1.920569516061e-03,4.801423790152e-02,4.868453727955e-04,6.085567159944e-02
0.15000000,0.860707976425,1.392868368724e-02,9.285789124824e-02,1.054038965711e-03,4.684617625384e-02,1.848433043981e-04,5.476838648831e-02
0.10000000,0.904837418036,9.041364423979e-03,9.041364423979e-02,4.582679429626e-04,4.582679429626e-02,4.911442053923e-05,4.911442053923e-02
0.07000000,0.932393819906,6.243544728884e-03,8.919349612691e-02,2.220265318317e-04,4.531153710851e-02,1.539879302559e-05,4.489444030784e-02
0.05000000,0.951229424501,4.428834481816e-03,8.857668963633e-02,1.126442205924e-04,4.505768823697e-02,5.262609235057e-06,4.210087388046e-02
