s,log_L_direct_product,log_L_Mellin_Barnes,absolute_error
0.5,-0.24652922317168755583739505922062362644684282401617,-0.24652922317168755583739505922062362644684282401616,1.00228676628e-50
2.0,-0.94480931756601270933644758297827721188089469770816,-0.94480931756601270933644758297827721188089469770815,1.20274411954e-50
10.0,-3.7822177877194636801688248036122089708188126420877,-3.7822177877194636801688248036122089708188126420877,3.20731765211e-50
50.0,-10.192483598591693469832378079290255319262108657182,-10.192483598591693469832378079290255319262108657182,1.71056941446e-49
