n,scaled_Linf,Linf_maximizer_xi,Linf_lobe,scaled_L1,scaled_L2,limit_Linf,limit_L1,limit_L2
3,0.649580814084459,3.74781308854521,0,10.7248459597915,1.98630636174578,0.650851567393992,11.0486184433431,2.00390775107366
4,0.650533723405545,3.74988430485213,0,10.9632494691222,1.99946777700069,0.650851567393992,11.0486184433431,2.00390775107366
5,0.650772096681521,3.75040115311971,0,11.0271488394092,2.00279529135554,0.650851567393992,11.0486184433431,2.00390775107366
6,0.650831699109176,3.75053053145139,0,11.0432530082539,2.00362948195924,0.650851567393992,11.0486184433431,2.00390775107366
7,0.650846600286968,3.7505629663971,0,11.047277421316,2.00383817415771,0.650851567393992,11.0486184433431,2.00390775107366
8,0.650850325633655,3.75057324065939,0,11.0482832096284,2.00389035624669,0.650851567393992,11.0486184433431,2.00390775107366
