n,a_star,F_minus_one,first_nonzero_derivative_order,F1,F2,F3,F4
3,-1/3,32/27,3,0,0,8/9,0
4,1/3,64/81,2,0,-8/9,128/27,-16
5,-1/5,3456/3125,2,0,-48/125,3744/625,-22176/625
6,1/5,13824/15625,2,0,-768/625,42624/3125,-331776/3125
7,-1/7,884736/823543,2,0,-12288/16807,1769472/117649,-18800640/117649
8,1/7,5308416/5764801,2,0,-184320/117649,21897216/823543,-265341312/823543
9,-1/9,409600000/387420489,2,0,-5120000/4782969,1208320000/43046721,-6096689920/14348907
10,1/9,3276800000/3486784401,2,0,-81920000/43046721,16875520000/387420489,-92681666560/129140163
11,-1/11,298598400000/285311670611,2,0,-3317760000/2357947691,1169510400000/25937424601,-22913122959360/25937424601
12,1/11,2985984000000/3138428376721,2,0,-58060800000/25937424601,18413568000000/285311670611,-383912779161600/285311670611
