A,B,C,disc_f,disc_g,disc_h
3,3,1,0,0,0
4,4,1,5,5,5
4,5,2,0,1,1
5,5,1,48,8,5
5,6,1,49,4,5
5,6,2,8,4,1
5,7,2,5,4,8
5,7,3,0,4,4
5,8,4,0,5,4
6,5,1,49,17,5
6,6,1,189,13,5
6,7,1,257,13,12
6,7,2,68,13,8
6,8,1,229,9,12
6,8,2,148,9,8
6,8,3,13,9,4
6,9,1,81,5,12
6,9,2,108,5,8
6,9,3,81,5,4
6,9,4,0,48,4
6,10,3,5,1,4
6,10,4,32,49,4
6,10,5,5,49,0
6,11,6,4,49,5
6,12,8,0,5,1
7,6,1,257,24,5
7,7,1,512,24,12
7,8,1,697,20,12
7,8,2,252,20,8
7,9,1,788,16,12
7,9,2,469,16,8
7,9,3,96,16,4
7,10,1,761,12,12
7,10,2,568,12,8
7,10,3,321,12,4
7,10,4,20,189,4
7,11,1,592,12,21
7,11,2,525,12,17
7,11,3,404,12,13
7,11,4,229,189,13
7,11,5,0,189,9
7,12,1,257,8,21
7,12,2,316,8,17
7,12,3,321,8,13
7,12,4,272,257,13
7,12,5,169,257,9
7,12,6,12,257,5
7,13,3,48,4,13
7,13,4,125,229,13
7,13,5,148,229,9
7,13,6,117,229,5
7,13,7,32,148,5
7,14,6,8,81,5
7,14,7,49,108,5
7,14,8,36,108,1
7,15,9,0,5,1
7,15,10,5,32,1
7,16,12,0,32,4
8,6,1,229,37,5
8,7,1,697,37,12
8,8,1,1125,33,12
8,8,2,148,33,8
8,9,1,1489,29,12
8,9,2,656,29,8
8,10,1,1765,25,12
8,10,2,1076,25,8
8,10,3,333,25,4
8,11,1,1929,25,21
8,11,2,1384,25,17
8,11,3,785,25,13
8,11,4,132,257,13
8,12,1,1957,21,21
8,12,2,1556,21,17
8,12,3,1101,21,13
8,12,4,592,512,13
8,12,5,29,512,9
8,13,1,1825,17,21
8,13,2,1568,17,17
8,13,3,1257,17,13
8,13,4,892,697,13
8,13,5,473,697,9
8,13,6,0,697,5
8,14,1,1509,13,21
8,14,2,1396,13,17
8,14,3,1229,13,13
8,14,4,1008,788,13
8,14,5,733,788,9
8,14,6,404,788,5
8,14,7,21,469,5
8,15,1,985,9,21
8,15,2,1016,9,17
8,15,3,993,9,13
8,15,4,916,761,13
8,15,5,785,761,9
8,15,6,600,761,5
8,15,7,361,568,5
8,15,8,68,568,1
8,16,1,229,9,32
8,16,2,404,9,28
8,16,3,525,9,24
8,16,4,592,761,24
8,16,5,605,761,20
8,16,6,564,761,16
8,16,7,469,568,16
8,16,8,320,568,12
8,16,9,117,321,12
8,17,4,12,592,24
8,17,5,169,592,20
8,17,6,272,592,16
8,17,7,321,525,16
8,17,8,316,525,12
8,17,9,257,404,12
8,17,10,144,229,12
8,18,8,32,316,12
8,18,9,117,321,12
8,18,10,148,272,12
8,18,11,125,272,8
8,18,12,48,272,4
8,19,12,36,125,4
8,19,13,49,148,4
8,19,14,8,148,0
8,20,15,5,8,0
8,20,16,0,49,0
8,21,18,0,-59,-4
