n,q=2^-n,F(q)_exact,tau(1-q)_exact,lambda(q),rho(F(q)),tau*lambda/q,tau*rho/q,elasticity,tau/q-(E-E^2)
2,0.25,5/72,2843/72000,4.0,2.774165426413843120598,0.6317777777777777777778,0.4381640170719197773256,0.2777777777777777777778,-0.04267283950617283950617
3,0.125,1/288,17/960,5.444907554610207051744,4.042258032694675062412,0.7713619035697793323304,0.5726532212984123005084,0.2,-0.01833333333333333333333
4,0.0625,143/2073600,759875/96864768,6.756215304028007984469,5.258105144608837128414,0.8480076643178717062036,0.6599720793029127144274,0.1588888888888888888889,-0.008128017397065016112635
5,0.03125,19/33177600,1423/408576,8.0,6.439841407863358854901,0.8916040100250626566416,0.7177235528970519776413,0.1328671328671328671329,-0.003762956617667696062985
8,0.00390625,1616353/704200217922109440000,2287259137655/7152135166623744,11.52693734072309562886,9.862072469338760703928,0.9436991317647349037872,0.8073982664793471935931,0.09060376237401764593773,-0.0005256947116696263288103
10,0.0009765625,134926369/1246394851358539387238350848000,1071452516372333057/15816606123610865664000,13.78503056060989224676,12.08039791903875676497,0.9562409091186601678604,0.8379938396092830478607,0.07523497165221089126628,-0.0002066047378047410768838
15,0.000030517578125,1204567303451311/15791254065263462941946461238743871133171237435708801024000000,29826382510659888467/19400914403078582524968960,19.26814584397823421493,17.50424537694379880175,0.9706624817435143371609,0.8818032827970169313887,0.05327153969677949541316,-0.00005714473202906618822386
20,9.5367431640625e-7,539741515875650532056045666422369/1391026453346497029228605426710671587340398341822365591105864134203768975246595308345805415518935449600000000000,13007398125518617845977730430589680311281709005/343498257624952705686570270955193065254679959375446016,24.62186833413121602078,22.82438173056529588614,0.9776576717525615439996,0.9062850795511548089505,0.041452711128555781149,-0.00002749978961528930747091
30,9.31322574615478515625e-10,1954610439151729217400696482660775100933396942437007531444312207388771/155617279902230590647679057265203771208257247612574131090381271062538528741438200742115678805960819635000040206841418745624595961937995184766259084852256648980861721480743260029085693177149131757726792327085780495032437964800000000000000,606361259705040337148785638981226518715467407036752315114443770870073896521607106681286619/23229029023370188383796902685310914781174473139702364469803960037199114934207717291015107109715968000,35.13483001353675535729,33.29964303147532222875,0.9847774981468294831017,0.9333399120213297856494,0.02887185408218887343392,-0.000009744078312297041385336
40,9.09494701772928237915e-13,2460907261944481792242487590563811793723511288887189977416300068480287503195193043933076815994993433440564391962302261/156277377084869939544513993008791886187397991563758675109592665333968889351279976857569819358656453835713371778402856203151381910416737330959928965332817058553780038077605782814029776945495841961690286786147048485566022419726804166006199624172582223900027889944079158592345174176151858457162835335723732232321832226916088184544390296486984791519198455830071662650650689991845682872320000000000000000000000,519762277156890248513339554358973229084743673726058435693368580768546545814772001166270333331783429445560268681789181582975170326046701008498735945/26311710398225338730446453907523772783794946276418683465581754758164138659446283057001564870945049043278774801962320047991096374129342176849619654564011304812544,45.5080498592040885827,43.65176472694190602982,0.988425014748214064118,0.9481069025700441879042,0.02221795354539568148233,-0.000004532051698726606186217
60,8.67361737988403547206e-19,1390417216179685497519871281946521335032637442201656549863384240505790800154656613403483417364921965144352162281486297081598702905622387914175334444532402341568380592969655986256068465331222688979691134242779226050171172743235776783081903092340298168483170583888732247529189/70816819103231232542359272539700269859560181302652349755877274503522215026664037285809427900028460638725097369804390348609974068187076649298750856135979418272501198655149849721503025697565026225996103548945957598682373119484017002161617620464232614960558263647001675020847146463604268771051034304556675565073331600300976296858831280736344338720797781036719208276775766695377985806301221900481428934729904250757870181262153867144617559960949771628913714527223936026753853418175282588294814357388821388942608685655344181302268712294321933485832636468093405000735959481198362973159890853927025750059434614309402788661268662971432585129550679031769848465403889225978203948717524689131676112995567501260048510063087546068580315745051658188006343243984825043294329678243830122599001026318267747000369451837839480065845813910427226701518158184211455811103373798670336000000000000000000000000000000000,666333645392359455368462883040882493476729981140534268070005834895159888249985887792523602344813015006643490269206820122003638704484406262165505647041806019716065474445992859442046326163335217601906096521856106144518645858760459999032996933305121683131422119880488098934443936548119545068940369387865958351635/51139396409724735337186975265484656386426401307391131866228976764421016171330224326548355099406396165699787174524313103080171189377319571958993520963866748028197144819350063653051967871451003391024732727813451017375958241836112929628574975446722305577855440409833715151014536667430282328867004958544664358691206605922280146993152,66.04538586882439770345,64.16575511793977279923,0.9921523529961995586655,0.9639160114604242493736,0.01525654661358049538547,-0.000001503282099287770005853
80,8.271806125530276748714e-25,19829284671345467217030536848337034234367966423651579472813562618036918484628110132510062113438271075294389266824516117598646467728274690330018366017359895081235143563995765526636363031291258959639308160604909476026322436064868379505520188607804543708191340225287994963672178237028717579826894319282305387132905199137402703352549138757062638053710894891673340139784465623869575765364166103353541847122785782775272491581434093083357437168756431782514411980149686361977163933478433/1137072598188940701200742402178384257555740416804066673422883955081012891999946759932340142442413181839893255041598557120495878963707285248957551053437874954254686603607707145453040702280516821840271507894359992220600726501189879081637770598425615761495822379809065791293524149409831336078482445303776020668284722660272753164087331846016771091383020904297363308907980321387143670674638991018546824363428615463330967114217845851652383825185669309386610479230411120737307576623713406147937245582898442159533705426501284114297063971921623976371305036405186229860567207707725496434367310131561841456766180178538261384636110197239158528564505373279584374720971473525876862583437469993432580061035830132964820469611493861853773843439299911175863064750774325034514584654157257563800979002606147372263435405165282003812346201033971520276709414726701726284198212845197830337982245694823587055873663057033974309076752863605658100276447028297200672621893932789000631579836827067544514709560907080259820105338478994836532879352753891277454230525763683929345529190224974528913489155777359191995819947685891373744673004436389791475166458134760444113185963809043608465236012562990070861799799917417461478277760329373932467179462725143362413278218926676905938803769545679389366891787681232318800965736819471499969543796796324419839352109120559542493439920120577412301159503944445592025652880975378889122406165485857267653796763659009811586897223447038905469572734130646413216616975727630398312526474105164936547908601974567731200000000000000000000000000000000000000000000,15270423936211201395821106452393321072714937594519577596970406250055928904285761252702881285410333057822433817408957401245449819353717709957780170051925431939141399661860879907202703375817896345060440303064962027644442297372816226486932653469439302845038013051400030354410082275943540321485223383268099044504634220524634058388155801245160791810898564809489421222095939587543409462503639983714533132137179803961877091337987534989323223797938804034004356653226404217908805934299911330209053979887592982968610438973055031202279691205/1605177919569247612651217547431435721333461674878821348887579918976659165803078077129212888076729316972865131251779125113320579504035414455902645762042043571443733362477500549248251580866000723019395157711824080780004127293053795436920101923442243726485183632287813382457131340152652667916822002941280088653470191723198540961900380760310384003521516334298687816978392792241903547222743480124209433091430059920938414945132775732060174524007578947129881005955934360136913405408508713706616780160185781041389995011501205066547694661811300951236573828267114496,86.43351899418463476201,84.54102343635183205192,0.9940535143831488301719,0.9722883255754969313766,0.01163687812782218152837,-6.739318142533796530902e-7
