n,a_n
650,140832
651,141266
652,141700
653,142135
654,142571
655,143007
656,143444
657,143882
658,144320
659,144759
660,145199
661,145639
662,146080
663,146522
664,146964
665,147407
666,147851
667,148295
668,148740
669,149186
670,149632
671,150079
672,150527
673,150975
674,151424
675,151874
676,152324
677,152775
678,153227
679,153679
680,154132
681,154586
682,155040
683,155495
684,155951
685,156407
686,156864
687,157322
688,157780
689,158239
690,158699
691,159159
692,159620
693,160082
694,160544
695,161007
696,161471
697,161935
698,162400
699,162866
700,163332
701,163799
702,164267
703,164735
704,165204
705,165674
706,166144
707,166615
708,167087
709,167559
710,168032
711,168506
712,168980
713,169455
714,169931
715,170407
716,170884
717,171362
718,171840
719,172319
720,172799
721,173279
722,173760
723,174242
724,174724
725,175207
726,175691
727,176175
728,176660
729,177146
730,177632
731,178119
732,178607
733,179095
734,179584
735,180074
736,180564
737,181055
738,181547
739,182039
740,182532
741,183026
742,183520
743,184015
744,184511
745,185007
746,185504
747,186002
748,186500
749,186999
750,187499
751,187999
752,188500
753,189002
754,189504
755,190007
756,190511
757,191015
758,191520
759,192026
760,192532
761,193039
762,193547
763,194055
764,194564
765,195074
766,195584
767,196095
768,196607
769,197119
770,197632
771,198146
772,198660
773,199175
774,199691
775,200207
776,200724
777,201242
778,201760
779,202279
780,202799
781,203319
782,203840
783,204362
784,204884
785,205407
786,205931
787,206455
788,206980
789,207506
790,208032
791,208559
792,209087
793,209615
794,210144
795,210674
796,211204
797,211735
798,212267
799,212799
800,213332
801,213866
802,214400
803,214935
804,215471
805,216007
806,216544
807,217082
808,217620
809,218159
810,218699
811,219239
812,219780
813,220322
814,220864
815,221407
816,221951
817,222495
818,223040
819,223586
820,224132
821,224679
822,225227
823,225775
824,226324
825,226874
826,227424
827,227975
828,228527
829,229079
830,229632
831,230186
832,230740
833,231295
834,231851
835,232407
836,232964
837,233522
838,234080
839,234639
840,235199
841,235759
842,236320
843,236882
844,237444
845,238007
846,238571
847,239135
848,239700
849,240266
850,240832
851,241399
852,241967
853,242535
854,243104
855,243674
856,244244
857,244815
858,245387
859,245959
860,246532
861,247106
862,247680
863,248255
864,248831
865,249407
866,249984
867,250562
868,251140
869,251719
870,252299
871,252879
872,253460
873,254042
874,254624
875,255207
876,255791
877,256375
878,256960
879,257546
880,258132
881,258719
882,259307
883,259895
884,260484
885,261074
886,261664
887,262255
888,262847
889,263439
890,264032
891,264626
892,265220
893,265815
894,266411
895,267007
896,267604
897,268202
898,268800
899,269399
900,269999
901,270599
902,271200
903,271802
904,272404
905,273007
906,273611
907,274215
908,274820
909,275426
910,276032
911,276639
912,277247
913,277855
914,278464
915,279074
916,279684
917,280295
918,280907
919,281519
920,282132
921,282746
922,283360
923,283975
924,284591
925,285207
926,285824
927,286442
928,287060
929,287679
930,288299
931,288919
932,289540
933,290162
934,290784
935,291407
936,292031
937,292655
938,293280
939,293906
940,294532
941,295159
942,295787
943,296415
944,297044
945,297674
946,298304
947,298935
948,299567
949,300199
950,300832
951,301466
