n,Q_2n_at_zero,ratio_to_highest_derivative_term,ratio_to_pole_asymptotic,root_ratio
1,-0.666666666666666666666667,4.0,2.42911263187069757,3.48633189742222986
2,0.992592592592592592592593,4.94009216589861751,4.07945018004047505,2.13096894514442243
3,-2.51499118165784832451499,4.41879381802688151,4.12184458494381677,1.6597748591669676
4,10.4961289207040841027769,3.5665246415137849,3.48264676700830499,1.43213187895525453
5,-70.4944663183771108900539,2.8809961029943489,2.85885752821041623,1.30695266091638168
6,728.294733513013603788796,2.41989525853473011,2.41411114564540341,1.23250504602067552
8,225147.046787336908544535,1.91718211397961703,1.91678037989397543,1.15306426468991672
10,209862823.530991974260468,1.6707832373326855,1.67075500303570427,1.11304092876755949
12,459207496292.82496300288,1.52807116042976415,1.52806918244385081,1.08930664583878437
15,-167526765726439310.115858,1.40012171396762892,1.40012167782648017,1.06772457832210222
20,4.37781350267243864038492e+27,1.28490077915547274,1.28490077911139709,1.04813155174209551
30,3.8235621831030821695474e+51,1.1807050765878145,1.18070507658781444,1.03038827196851239
40,3.11600108496243936692194e+78,1.13229250679587227,1.13229250679587227,1.02217284096184706
50,4.04295040355891727577122e+107,1.10433353398527333,1.10433353398527333,1.01744592972010713
