delta,tau_1_minus_delta,rho,tau_times_rho_over_delta,tau_times_rho_plus_one_over_delta
0.25,0.03948611121273978,3.599999998848131,0.5686000012815215,0.7265444461324806
0.125,0.017708333659892373,4.999999985599505,0.7083333443556248,0.8500000136347637
0.1,0.013632828661138201,5.432396650184199,0.7405893275130229,0.876917614124405
0.05,0.0060388860456353066,6.69443100448522,0.8085381195290828,0.9293158404417889
0.025,0.0026861751935977865,7.911197165018984,0.8500344630534051,0.9574814707973165
0.02,0.002072559716060524,8.296524734097472,0.8597521473595087,0.9633801331625348
0.01,0.0009318605521168898,9.475265980676834,0.8829626588207897,0.9761487140324787
