x,up_x,stein_tau_x,score_minus_up_prime_over_up
0.0,1.0,0.13888888888270046,-0.0
0.1,0.9989165643737545,0.13403552158286397,0.05892035708104082
0.25,0.930555555533336,0.11645626036452222,1.074626865697301
0.5,0.5000000000000002,0.0833333333496211,3.9999999999999982
0.75,0.06944444446666417,0.03948611121273978,14.399999995392523
0.9,0.0010834356262455977,0.013632828661138201,54.323966501841994
0.95,1.6184133132744273e-05,0.0060388860456353066,133.88862008970523
0.99,3.5395903876301385e-11,0.0009318605521168898,947.526598067684
