k,n,power_of_t,coefficient
1,1,0,1
1,2,0,1
1,3,0,1
1,4,0,1
1,5,0,1
1,6,0,1
1,7,0,1
1,8,0,1
1,9,0,1
1,10,0,1
1,11,0,1
1,12,0,1
1,13,0,1
1,14,0,1
1,15,0,1
1,16,0,1
1,17,0,1
1,18,0,1
1,19,0,1
1,20,0,1
2,1,0,1
2,1,1,1
2,2,0,1
2,2,1,2
2,3,0,2
2,3,1,2
2,4,0,2
2,4,1,3
2,5,0,3
2,5,1,3
2,6,0,3
2,6,1,4
2,7,0,4
2,7,1,4
2,8,0,4
2,8,1,5
2,9,0,5
2,9,1,5
2,10,0,5
2,10,1,6
2,11,0,6
2,11,1,6
2,12,0,6
2,12,1,7
2,13,0,7
2,13,1,7
2,14,0,7
2,14,1,8
2,15,0,8
2,15,1,8
2,16,0,8
2,16,1,9
2,17,0,9
2,17,1,9
2,18,0,9
2,18,1,10
2,19,0,10
2,19,1,10
2,20,0,10
2,20,1,11
3,1,0,1
3,1,1,2
3,2,0,2
3,2,1,4
3,3,0,4
3,3,1,6
3,4,0,6
3,4,1,9
3,5,0,9
3,5,1,12
3,6,0,12
3,6,1,16
3,7,0,16
3,7,1,20
3,8,0,20
3,8,1,25
3,9,0,25
3,9,1,30
3,10,0,30
3,10,1,36
3,11,0,36
3,11,1,42
3,12,0,42
3,12,1,49
3,13,0,49
3,13,1,56
3,14,0,56
3,14,1,64
3,15,0,64
3,15,1,72
3,16,0,72
3,16,1,81
3,17,0,81
3,17,1,90
3,18,0,90
3,18,1,100
3,19,0,100
3,19,1,110
3,20,0,110
3,20,1,121
4,1,0,1
4,1,1,3
4,1,2,2
4,2,0,2
4,2,1,8
4,2,2,10
4,3,0,10
4,3,1,25
4,3,2,15
4,4,0,15
4,4,1,48
4,4,2,42
4,5,0,42
4,5,1,98
4,5,2,56
4,6,0,56
4,6,1,160
4,6,2,120
4,7,0,120
4,7,1,270
4,7,2,150
4,8,0,150
4,8,1,400
4,8,2,275
4,9,0,275
4,9,1,605
4,9,2,330
4,10,0,330
4,10,1,840
4,10,2,546
4,11,0,546
4,11,1,1183
4,11,2,637
4,12,0,637
4,12,1,1568
4,12,2,980
4,13,0,980
4,13,1,2100
4,13,2,1120
4,14,0,1120
4,14,1,2688
4,14,2,1632
4,15,0,1632
4,15,1,3468
4,15,2,1836
4,16,0,1836
4,16,1,4320
4,16,2,2565
4,17,0,2565
4,17,1,5415
4,17,2,2850
4,18,0,2850
4,18,1,6600
4,18,2,3850
4,19,0,3850
4,19,1,8085
4,19,2,4235
4,20,0,4235
4,20,1,9680
4,20,2,5566
5,1,0,1
5,1,1,4
5,1,2,5
5,2,0,5
5,2,1,20
5,2,2,25
5,3,0,25
5,3,1,80
5,3,2,70
5,4,0,70
5,4,1,224
5,4,2,196
5,5,0,196
5,5,1,560
5,5,2,420
5,6,0,420
5,6,1,1200
5,6,2,900
5,7,0,900
5,7,1,2400
5,7,2,1650
5,8,0,1650
5,8,1,4400
5,8,2,3025
5,9,0,3025
5,9,1,7700
5,9,2,5005
5,10,0,5005
5,10,1,12740
5,10,2,8281
5,11,0,8281
5,11,1,20384
5,11,2,12740
5,12,0,12740
5,12,1,31360
5,12,2,19600
5,13,0,19600
5,13,1,47040
5,13,2,28560
5,14,0,28560
5,14,1,68544
5,14,2,41616
5,15,0,41616
5,15,1,97920
5,15,2,58140
5,16,0,58140
5,16,1,136800
5,16,2,81225
5,17,0,81225
5,17,1,188100
5,17,2,109725
5,18,0,109725
5,18,1,254100
5,18,2,148225
5,19,0,148225
5,19,1,338800
5,19,2,194810
5,20,0,194810
5,20,1,445280
5,20,2,256036
6,1,0,1
6,1,1,5
6,1,2,9
6,1,3,5
6,2,0,5
6,2,1,30
6,2,2,70
6,2,3,70
6,3,0,70
6,3,1,294
6,3,2,420
6,3,3,196
6,4,0,196
6,4,1,980
6,4,2,1764
6,4,3,1176
6,5,0,1176
6,5,1,4536
6,5,2,5880
6,5,3,2520
6,6,0,2520
6,6,1,11340
6,6,2,17820
6,6,3,9900
6,7,0,9900
6,7,1,36300
6,7,2,44550
6,7,3,18150
6,8,0,18150
6,8,1,76230
6,8,2,110110
6,8,3,55055
6,9,0,55055
6,9,1,195195
6,9,2,231231
6,9,3,91091
6,10,0,91091
6,10,1,364364
6,10,2,496860
6,10,3,231868
6,11,0,231868
6,11,1,802620
6,11,2,927472
6,11,3,356720
6,12,0,356720
6,12,1,1375920
6,12,2,1799280
6,12,3,799680
6,13,0,799680
6,13,1,2718912
6,13,2,3084480
6,13,3,1165248
6,14,0,1165248
6,14,1,4369680
6,14,2,5534928
6,14,3,2372112
6,15,0,2372112
6,15,1,7953552
6,15,2,8895420
6,15,3,3313980
6,16,0,3313980
6,16,1,12151260
6,16,2,15010380
6,16,3,6254325
6,17,0,6254325
6,17,1,20738025
6,17,2,22932525
6,17,3,8448825
6,18,0,8448825
6,18,1,30415770
6,18,2,36819090
6,18,3,15000370
6,19,0,15000370
6,19,1,49286930
6,19,2,54001332
6,19,3,19714772
6,20,0,19714772
6,20,1,69897828
6,20,2,83211700
6,20,3,33284680
7,1,0,1
7,1,1,6
7,1,2,14
7,1,3,14
7,2,0,14
7,2,1,84
7,2,2,196
7,2,3,196
7,3,0,196
7,3,1,980
7,3,2,1764
7,3,3,1176
7,4,0,1176
7,4,1,5880
7,4,2,10584
7,4,3,7056
7,5,0,7056
