n,samples,exact_standardized_kappa4,empirical_standardized_kappa4
1,260000,-0.4555102040816326,-0.4602739410564949
4,260000,-0.21375000000000002,-0.22098961839469444
16,260000,-0.06816568047337278,-0.06898518207683058
64,260000,-0.018292378175760095,-0.02104359983275117
