n,h_n,h_n_star,normalized_h_n
0,1,1,1
1,1,0,1
2,1,-1,1
3,0,1,0
4,-1,4,-1
5,-1,5,-1
6,-1,6,-1
7,0,-1,0
8,1,-9,1
9,1,-10,1
10,1,-11,1
11,0,1,0
12,-1,14,-1
