n,h_n,h_n_star,normalized_h_n
0,1,1,1
1,1,0,1
2,0,1,0
3,-1,2,-1
4,-1,3,-1
5,0,-1,0
6,1,-5,1
7,1,-6,1
8,0,1,0
9,-1,8,-1
10,-1,9,-1
11,0,-1,0
12,1,-11,1
