N,matched_derivative_order_q,degree,max_error,x_at_max_error
4,1,9,1.1481426910505628591e-2,9.3994140625e-2
4,2,14,6.5547142778374726796e-3,9.9365234375e-2
4,3,19,6.8869941335551377067e-3,9.228515625e-2
8,1,17,3.7358347288309253756e-3,4.0283203125e-2
8,2,26,4.4347005823864280281e-3,4.0771484375e-2
8,3,35,2.7354300272423757993e-1,3.7841796875e-2
16,1,33,2.2719848021994901619,1.611328125e-2
16,2,50,5.0894572171152750608e+2,1.6357421875e-2
32,1,65,1.5380869960700538102e+7,7.080078125e-3
