n,h_n,h_n_star,normalized_h_n
0,1,1,1
1,1,0,1
2,-1,0,-1
3,1,1,1
4,2,-1,2
5,-1,3,-1
6,-3,2,-3
7,-5,6,-5
8,7,-13,7
9,-4,-5,-4
10,-23,45,-23
11,29,-96,29
12,59,-152,59
