n,q_n,mu_n
0,1,1
1,-1,1
2,2,2
3,-4,2
4,8,5
5,-15,3
6,25,14
7,-32,1
8,9,40
9,133,-8
10,-646,84
11,2171,59
12,-6187,-140
13,15749,1181
14,-36228,-3256
15,74300,10064
16,-128690,-24345
17,152848,57613
18,63884,-116002
19,-1226237,204925
20,5354809,-243323
21,-17619629,-79644
22,49891048,1882258
23,-126082611,-8290003
24,285164557,27473314
25,-561669595,-78125333
26,873411260,198521246
27,-608757560,-451917880
28,-2631880450,899607389
29,16423946825,-1430851545
30,-61691863405,1131544974
31,190156234160,3667913487
32,-515485703865,-24683721518
33,1250401220215,94569678306
34,-2683543141610,-294737980036
35,4826947811595,806058476135
36,-5865001418435,-1972918963162
37,-3040634454880,4283568660763
38,52740626799305,-7859201530980
39,-234649385147215,10116095757530
40,789230571991010,2199611809422
