experiment,p,panels,theta,observed,predicted,difference
stable_shifted_collapse,0,2,0.0,-2.886579864025407e-15,0.0,-2.886579864025407e-15
stable_shifted_collapse,0,2,0.13,7.771561172376096e-16,0.0,7.771561172376096e-16
stable_shifted_collapse,0,2,0.25,2.348121697082206e-14,0.0,2.348121697082206e-14
stable_shifted_collapse,0,2,0.37,4.6129766673175254e-14,0.0,4.6129766673175254e-14
stable_shifted_collapse,0,2,0.5,4.951594689828198e-14,0.0,4.951594689828198e-14
stable_shifted_collapse,0,2,0.75,2.4091839634365897e-14,0.0,2.4091839634365897e-14
stable_shifted_collapse,0,2,1.0,-2.886579864025407e-15,0.0,-2.886579864025407e-15
stable_shifted_collapse,1,4,0.0,-1.1948358968894013e-12,0.0,-1.1948358968894013e-12
stable_shifted_collapse,1,4,0.13,-1.1940726185599715e-12,0.0,-1.1940726185599715e-12
stable_shifted_collapse,1,4,0.25,-1.1932260735036948e-12,0.0,-1.1932260735036948e-12
stable_shifted_collapse,1,4,0.37,-1.1922685061449556e-12,0.0,-1.1922685061449556e-12
stable_shifted_collapse,1,4,0.5,-1.1946186227740352e-12,0.0,-1.1946186227740352e-12
stable_shifted_collapse,1,4,0.75,-1.1963971480177804e-12,0.0,-1.1963971480177804e-12
stable_shifted_collapse,1,4,1.0,-1.194849774677209e-12,0.0,-1.194849774677209e-12
stable_shifted_collapse,2,8,0.0,-1.1988812720353792e-12,0.0,-1.1988812720353792e-12
stable_shifted_collapse,2,8,0.13,-1.200921306843128e-12,0.0,-1.200921306843128e-12
stable_shifted_collapse,2,8,0.25,-1.200241295240545e-12,0.0,-1.200241295240545e-12
stable_shifted_collapse,2,8,0.37,-1.1995300586153945e-12,0.0,-1.1995300586153945e-12
stable_shifted_collapse,2,8,0.5,-1.1990224351582368e-12,0.0,-1.1990224351582368e-12
stable_shifted_collapse,2,8,0.75,-1.1977467628820904e-12,0.0,-1.1977467628820904e-12
stable_shifted_collapse,2,8,1.0,-1.1989159665048987e-12,0.0,-1.1989159665048987e-12
stable_shifted_collapse,3,16,0.0,-9.999188976816953e-13,0.0,-9.999188976816953e-13
stable_shifted_collapse,3,16,0.13,-1.0009701401081372e-12,0.0,-1.0009701401081372e-12
stable_shifted_collapse,3,16,0.25,-1.0007793205257798e-12,0.0,-1.0007793205257798e-12
stable_shifted_collapse,3,16,0.37,-1.0005017647696235e-12,0.0,-1.0005017647696235e-12
stable_shifted_collapse,3,16,0.5,-9.999482795605696e-13,0.0,-9.999482795605696e-13
stable_shifted_collapse,3,16,0.75,-9.99115720712318e-13,0.0,-9.99115720712318e-13
stable_shifted_collapse,3,16,1.0,-9.998946115530316e-13,0.0,-9.998946115530316e-13
stable_shifted_collapse,4,32,0.0,-8.002036533394374e-13,0.0,-8.002036533394374e-13
stable_shifted_collapse,4,32,0.13,-8.007258051057065e-13,0.0,-8.007258051057065e-13
stable_shifted_collapse,4,32,0.25,-8.005089646712094e-13,0.0,-8.005089646712094e-13
stable_shifted_collapse,4,32,0.37,-8.004256979443625e-13,0.0,-8.004256979443625e-13
stable_shifted_collapse,4,32,0.5,-8.002043580708496e-13,0.0,-8.002043580708496e-13
stable_shifted_collapse,4,32,0.75,-7.998714537937879e-13,0.0,-7.998714537937879e-13
stable_shifted_collapse,4,32,1.0,-8.001758977638218e-13,0.0,-8.001758977638218e-13
stable_shifted_collapse,5,64,0.0,-6.358021747976395e-13,0.0,-6.358021747976395e-13
stable_shifted_collapse,5,64,0.13,-6.35764010881168e-13,0.0,-6.35764010881168e-13
stable_shifted_collapse,5,64,0.25,-6.35913197100102e-13,0.0,-6.35913197100102e-13
stable_shifted_collapse,5,64,0.37,-6.358793699923204e-13,0.0,-6.358793699923204e-13
stable_shifted_collapse,5,64,0.5,-6.357463045044386e-13,0.0,-6.357463045044386e-13
stable_shifted_collapse,5,64,0.75,-6.356352076630767e-13,0.0,-6.356352076630767e-13
stable_shifted_collapse,5,64,1.0,-6.357744192220238e-13,0.0,-6.357744192220238e-13
stable_shifted_collapse,6,128,0.0,-5.068645156369733e-13,0.0,-5.068645156369733e-13
stable_shifted_collapse,6,128,0.13,-5.068957406595409e-13,0.0,-5.068957406595409e-13
stable_shifted_collapse,6,128,0.25,-5.068710208500082e-13,0.0,-5.068710208500082e-13
stable_shifted_collapse,6,128,0.37,-5.068322064122333e-13,0.0,-5.068322064122333e-13
stable_shifted_collapse,6,128,0.5,-5.06864391970163e-13,0.0,-5.06864391970163e-13
stable_shifted_collapse,6,128,0.75,-5.069133047347352e-13,0.0,-5.069133047347352e-13
stable_shifted_collapse,6,128,1.0,-5.068645156369733e-13,0.0,-5.068645156369733e-13
first_alias,1,2,0.25,-1.1980139102973908e-12,-6.771785069487529e-74,-1.1980139102973908e-12
first_alias,1,2,0.75,-1.1912276720593695e-12,7.167903186979214e-74,-1.1912276720593695e-12
first_alias,1,2,0.13,-0.004853980548032738,-0.004853980547839504,-1.932343174360085e-13
first_alias,2,4,0.0,-1.1991380111098238e-12,0.0,-1.1991380111098238e-12
first_alias,2,4,0.5,-1.1986340739400525e-12,2.667566665408973e-75,-1.1986340739400525e-12
first_alias,2,4,0.13,0.00010145253024466949,0.00010145253151909723,-1.2744277340251756e-12
