q,k,critical_point,point_asymptotic,point_ratio,abs_critical_value,value_asymptotic,value_ratio
0.35,1,5.9250370190469572130062085203139206,5.442176870748299319727891156462585,1.088725552249878387889891,0.93885760209437518147669190549453202,0.98307167137311326707497266349524067,0.9550245718941511878032625
0.35,2,18.171820013819680579062880719915729,17.492711370262390670553935860058309,1.038822377456691739769761,15.567428469302925962365075006616076,16.323324718271673918040612966655212,0.953692261716595758100725
0.35,3,54.379436486733738465425222295603811,53.311120366513952519783423573511037,1.020039273473810203558484,812.76799443287149890744692351931143,844.89470324581739091592595836295154,0.9619754879637364637746184
0.35,4,160.49427841516627618779248925181967,158.66404870986295392792685587354475,1.011535251496387351458086,127643.74743259871720226458079036666,131527.00819645357339534675512155179,0.9704755637864530819674093
0.35,5,469.63069961283264092107568358926827,466.27802069837276256370341317939683,1.007190300133466228130379,59140184.155747797133137436852470481,60518113.035317209391701048176638284,0.9772311327888680301770773
0.35,6,1366.4553338460248842769089395533385,1359.9775603702538908108016217732407,1.004763147322818635064338,80051772215.954960240446607079410436,81499365889.395281732278034223504882,0.9822379762389208631906392
0.35,7,3960.3917078125741129929587391426317,3947.3271593513038100630976777091795,1.003309720206575759435563,314782993016041.44305354182580023033,319286680508796.16468768582944480198,0.9858945337601370827302595
0.35,8,11446.340183487213117562716537874423,11419.053568123414593396818281944412,1.002389568907879530536829,3582840340371929554.4752058318307606,3624212688674519992.3105928954299317,0.9885844590655849424993558
0.35,9,33014.081826344586407010675868380799,32955.421553025727542270759832451406,1.001779988558922654847128,117740950113442584417221.6024652454,118858737062803624181107.89453555574,0.9905956686316596678041898
0.35,10,95072.189913916484720565253347938458,94943.000188478881728922903326824288,1.001360708268973365269129,11151021139817445241897146530.91269,11239493600932874959230193404.166719,0.9921284299580822282997594
0.35,11,273453.07775404861929075881489907012,273162.67786495422515414381776349046,1.001063102365828913199294,3039385449683907502705582734403451.3,3059827902295014175268709147228497.8,0.9933190841890898909467062
0.35,12,785774.73653934376915322364643065711,785110.41767308272195663784357193686,1.000846147053085808483062,2.3816194483144011114136867538352447e+39,2.3953673849831959750972737407267584e+39,0.9942606145700312653880112
0.35,13,2256218.9983110688697127924431982327,2254676.0712662888425421394482065879,1.000684323155970461155227,5.3604672401282350530836831649469169e+45,5.3873109615067091133070299166686576e+45,0.9950172318675723002875033
0.35,14,6474321.62247100689556085045744667,6470690.2555473850710711910184500291,1.000561202403485257025665,3.4631927767294963900840105886005206e+52,3.4783792258610361536986857434303948e+52,0.9956340444369516615804165
0.55,1,2.588259007338588451340650579134998,2.2038567493112947658402203856749311,1.17442252457988450979582,0.046878686984303599766847976797524619,0.040081145589377973923694124892152283,1.169594488754509624722453
0.55,2,4.9052435439890355523688552024012357,4.5078888054094665664913598797896319,1.088146526174901053367158,0.17851773966074199565379347140000574,0.17150612283208432916024732958289711,1.040882603564669794889966
0.55,3,9.1877179326102156757494086204325981,8.7425722286729048562256676456526194,1.050917017588641935223805,1.4383438693571515599705813600700596,1.4557775440740540999964928836754495,0.9880244926239803953143139
0.55,4,17.085974456449374052537771581435125,16.5579019482441379852758856925239,1.031892477069610552700723,22.871535283838066595468019732683054,23.650163322058083918074455542269664,0.967077265910726084024427
0.55,5,31.620375383586760268951669996271127,30.965427020092933375061396619784956,1.021150955324105240265026,694.1807894711545734112960393602088,722.66448170943507565679335331995827,0.960585177548918106163412
0.55,6,58.316111023801892180279307939521226,57.473709241839156643106380089752381,1.014657167478404056286309,39509.936678324100169067582350475569,41128.516568597171560775700032465212,0.9606457994279106920030211
0.55,7,107.27355451837098907356915113210187,106.15634607439267027875348703446327,1.010524179526633263896785,4174968.1137922532763118600766054754,4333237.1362654526751119703294438686,0.9634755686115988527840597
0.55,8,196.94523096641526965661229026410435,195.42418254604105210406891931344375,1.007783317297570711011179,814199230.52306307727897082307153044,841770157.33892479424929299732128863,0.9672464905348732379521601
0.55,9,361.0241791872727470955872758344301,358.90575306894591754649939267850092,1.0059024579578691767847,291963833763.31497743855306903845015,300652284605.45905421662948277643989,0.9711013310491028366611486
0.55,10,661.00327800908845272609116498949926,657.99388062640084883524888657725169,1.004573594787572644647817,192042142708625.83443703784023593188,197033033976708.45434750574351532894,0.974669774060969897949626
0.55,11,1209.0685215565144131487917857482688,1204.7186116999583246316063530467164,1.003610726865436239359095,231320092325172044.67799072896229996,236566671443845413.16778849912282884,0.9778219852921303593584319
0.55,12,2209.8199197262743258890727959980488,2203.4355560313090569560765548148817,1.002897458778628582787137,509641122788421122239.41803859671548,519754554635858828756.64902614554131,0.9805419081810197914237517
0.55,13,4036.2892337074089187796519548719903,4026.7913191807606075840653122957278,1.002358680590525519273612,2051946585848701443837310.9497571158,2087724481765590499725936.0722651145,0.9828627310598802497843483
0.55,14,7368.4245694574433873141297931544029,7354.1237566207072784611582407998276,1.0019445977943818930273,15087657440719170093258038762.852749,15319986806303911709365931285.193443,0.9848348847474762792554348
0.75,1,1.5280648882850747185681843168113402,1.1851851851851851851851851851851852,1.289304749490531793791906,0.00038690285019575589978922687043322711,0.000084858638645941516470268691559572326,4.559380828745596094811539
0.75,2,2.0729317818631073723579739002067321,1.7777777777777777777777777777777778,1.16602412729799789695136,0.00040825583159392344165601159702296924,0.0001431989527150263090435784170067783,2.85096939505119644951278
0.75,3,2.8007439587919265751782920483224374,2.5283950617283950617283950617283951,1.107716116514385022409383,0.00072770343703058594887921987836037696,0.00035152881729108848029364331267464735,2.070110333025700928520465
0.75,4,3.7746488594486884788220457384508017,3.5116598079561042524005486968449931,1.074890241616442930102059,0.0020046158030514789199052728130211626,0.001211175819502406878315611637276652,1.655098930124814383466284
0.75,5,5.0783470460542907980551235373767319,4.8159905937683715461493239271017049,1.054476113932903887633272,0.0081305392922709427888690647716710676,0.0057559672500825424939705358231750363,1.412540923014172489992543
0.75,6,6.8234136710257606118204438200845757,6.5550983081847279378143575674439872,1.040932317140997381281481,0.047138017806504617566718802112951173,0.037362388541401443578074144479490488,1.261643584544139941309571
0.75,7,9.1587887646312027763176264174410941,8.8788633169062981591559552236278345,1.031527171636024270513114,0.38317534425889462438497943630252916,0.32924216752971560557055970366223088,1.163810052442056359343944
0.75,8,12.283363220655455819841410361192592,11.986465477823502514860539551897577,1.02476941541952064048741,4.3099914964062315558884829003592211,3.9229191322910434944159777553384934,1.098669473181093082294437
0.75,9,16.462748113704672196550062530833103,16.143387848920542107556282224777881,1.01978272886539641131162,66.464118345309616618539910197304315,63.02235097562913740185985965267478,1.054611853039430680447542
0.75,10,22.051643884883007632652440330030402,21.703888107993173277936779435534707,1.016022740955882545757679,1395.863938281679182449669970038906,1362.3378523434961027392519567239264,1.024609230287855134054608
0.75,11,29.523688916113863725530093930585312,29.140884732410414471075955605752893,1.013136326752553791195515,39731.682846941251547437021144626083,39565.481133470587661399301256698554,1.004200674646417097075253
0.75,12,39.511291384980165966704899068805987,39.085789839502857504855845217239991,1.010886348906457726798938,1527254.1559047350397212665117043397,1541983.5303722735973576915340855227,0.9904477744558124325294718
0.75,13,52.858783474119054737488510303524403,52.381639716530325271464927607378039,1.009108988572538994460409,79068319.901929321364531652632428803,80570225.807539562068204960753234231,0.9813590455958521581934966
0.75,14,70.693352015519700773676013831569972,70.153981763210257059997670902738446,1.007688376892561458616759,5502159570.4225959244046795515871964,5640026955.3813062261157233102402193,0.9755555450267543129435736
