n,k,modulus,minimum_root,smaller_square_root_minus_one,other_square_root,certificate_quotient
3,3,125,25,57,68,26
5,4,625,95,182,443,53
7,5,3125,385,1068,2057,365
9,7,78125,1535,32318,45807,13369
10,7,78125,1535,32318,45807,13369
15,8,390625,98305,110443,280182,31226
