degree,m,h1,h2,first_Newton_defect
3,8,20,102,-8
4,16,55,1053,-268
5,32,143,7816,-1181
6,32,175,12390,-1400
7,32,207,18042,-2259
8,32,239,24683,-2836
9,64,543,129574,-9241
10,64,607,164330,-10348
11,64,671,203157,-10971
12,64,735,246217,-14524
13,64,799,293353,-18061
14,64,863,344530,-20552
15,64,927,399787,-22759
16,64,991,459130,-24766
17,128,2111,2091165,-72465
18,128,2239,2361395,-77494
19,128,2367,2647973,-81315
20,128,2495,2950913,-84244
