m,degree,atom_count,max_abs_beta,log10_max_abs_beta,max_fraction_bit_length,strict_alternation
0,0,2,1,0.0,1,False
1,2,4,560/3,2.271066772286538,10,True
2,4,6,2353498112/135,7.241380085752324,32,True
3,6,8,203458969711149056/2835,13.855923777729544,58,True
4,8,10,285896234246557311648661504/34425,21.919334486048786,92,True
5,10,12,99843064063897215096666013943019339776/3728835,31.42774473415352,132,True
6,12,14,368595458165174624864598463060525670493082842199752704/178145092125,42.315776117444344,182,True
