N,polynomial_degree,atom_count_fixed_scale,atom_occurrences_if_individual_minimal_scales,atom_occurrences_two_atom_ladder,max_abs_B,log10_max_abs_B,l1_norm_B,max_fraction_bit_length,certificate,sign_pattern
0,0,2,2,2,1/2,-0.3010299956639812,1,2,0,++
1,2,4,6,6,1364/9,2.1805718608811353,4016/9,11,0,-+-+
2,4,6,12,10,12391049216/2025,6.786683054404604,15134408704/675,34,0,+-+-+-
3,6,8,20,14,3350550268701835264/1607445,12.31898001597044,65836034685877092352/8037225,64,0,+-+-+-+-
4,8,10,30,18,7278897080978969259460813389824/10247461875,20.851449267545092,97024584212253638504028487811072/30742385625,104,0,-+-+-+-+-+
5,10,12,42,22,5991861548578514902772202929463775174703710208/5677552603366875,30.02340060303445,480240526867054827700248948586380032172491800576/96518394257236875,156,0,+-+-+-+-+-+-
6,12,14,56,26,17827707723671443931805067733484861497432861817972635517990207488/323703873251892317559375,40.74094760948392,440725032949357306004485171937171472681896240633850351202171092992/1618519366259461587796875,217,0,-+-+-+-+-+-+-+
