n,relation,frontiers,frontier_height,width,max_type
5,0<1;0<2;0<4;1<2;1<4;3<4,4,4,2,omega^2*4
5,0<3;0<4;1<2;1<4;3<4,5,4,2,omega^2*5
5,0<2;0<3;0<4;1<2;1<4;3<4,4,4,2,omega^2*4
5,0<1;0<2;0<3;0<4;1<2;1<4;3<4,4,4,2,omega^2*3
5,1<3;1<4;3<4,3,3,3,omega^3*3
5,0<2;1<3;1<4;3<4,6,4,2,omega^2*6
5,0<4;1<3;1<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<2;0<4;1<3;1<4;3<4,5,4,2,omega^2*5
5,0<3;0<4;1<3;1<4;3<4,3,3,3,omega^3 + omega^2*2
5,0<1;0<3;0<4;1<3;1<4;3<4,4,4,2,omega^2*4
5,0<2;0<3;0<4;1<3;1<4;3<4,4,4,2,omega^2*4
5,0<1;0<2;0<3;0<4;1<3;1<4;3<4,4,4,2,omega^2*3
5,1<2;1<3;1<4;3<4,3,3,3,omega^3*2
5,0<2;1<2;1<3;1<4;3<4,5,4,2,omega^2*5
5,0<4;1<2;1<3;1<4;3<4,3,3,3,omega^3 + omega^2
5,0<2;0<4;1<2;1<3;1<4;3<4,4,4,2,omega^2*4
5,0<3;0<4;1<2;1<3;1<4;3<4,4,4,2,omega^2*4
5,0<2;0<3;0<4;1<2;1<3;1<4;3<4,3,3,2,omega^2*3
5,0<1;0<2;0<3;0<4;1<2;1<3;1<4;3<4,4,4,2,omega^2*2
5,2<4;3<4,2,2,4,omega^4 + omega^3
5,0<1;2<4;3<4,4,3,3,omega^3*2 + omega^2*2
5,0<4;2<4;3<4,2,2,4,omega^4 + omega^2
5,0<1;0<4;2<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<2;0<4;2<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<1;0<2;0<4;2<4;3<4,3,3,3,omega^3 + omega^2
5,0<3;0<4;2<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<1;0<3;0<4;2<4;3<4,3,3,3,omega^3 + omega^2
5,0<2;0<3;0<4;2<4;3<4,3,3,3,omega^3 + omega^2
5,0<1;0<2;0<3;0<4;2<4;3<4,3,3,3,omega^3 + omega^2
5,1<4;2<4;3<4,2,2,4,omega^4 + omega^2
5,0<4;1<4;2<4;3<4,2,2,4,omega^4 + omega
5,0<1;0<4;1<4;2<4;3<4,3,3,3,omega^3*2 + omega
5,0<2;0<4;1<4;2<4;3<4,3,3,3,omega^3*2 + omega
5,0<1;0<2;0<4;1<4;2<4;3<4,3,3,3,omega^3 + omega
5,0<3;0<4;1<4;2<4;3<4,3,3,3,omega^3*2 + omega
5,0<1;0<3;0<4;1<4;2<4;3<4,3,3,3,omega^3 + omega
5,0<2;0<3;0<4;1<4;2<4;3<4,3,3,3,omega^3 + omega
5,0<1;0<2;0<3;0<4;1<4;2<4;3<4,3,3,3,omega^3 + omega
5,1<2;1<4;2<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<4;1<2;1<4;2<4;3<4,3,3,3,omega^3*2 + omega
5,0<2;0<4;1<2;1<4;2<4;3<4,3,3,3,omega^3 + omega^2 + omega
5,0<1;0<2;0<4;1<2;1<4;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<3;0<4;1<2;1<4;2<4;3<4,5,4,2,omega^2*4 + omega
5,0<2;0<3;0<4;1<2;1<4;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<1;0<2;0<3;0<4;1<2;1<4;2<4;3<4,4,4,2,omega^2*2 + omega
5,1<3;1<4;2<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<4;1<3;1<4;2<4;3<4,3,3,3,omega^3*2 + omega
5,0<2;0<4;1<3;1<4;2<4;3<4,5,4,2,omega^2*4 + omega
5,0<3;0<4;1<3;1<4;2<4;3<4,3,3,3,omega^3 + omega^2 + omega
5,0<1;0<3;0<4;1<3;1<4;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<2;0<3;0<4;1<3;1<4;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<1;0<2;0<3;0<4;1<3;1<4;2<4;3<4,4,4,2,omega^2*2 + omega
5,1<2;1<3;1<4;2<4;3<4,3,3,3,omega^3 + omega^2
5,0<4;1<2;1<3;1<4;2<4;3<4,3,3,3,omega^3 + omega
5,0<2;0<4;1<2;1<3;1<4;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<3;0<4;1<2;1<3;1<4;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<2;0<3;0<4;1<2;1<3;1<4;2<4;3<4,3,3,2,omega^2*2 + omega
5,0<1;0<2;0<3;0<4;1<2;1<3;1<4;2<4;3<4,4,4,2,omega^2 + omega
5,2<3;2<4;3<4,3,3,3,omega^3*3
5,0<1;2<3;2<4;3<4,6,4,2,omega^2*6
5,0<4;2<3;2<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<1;0<4;2<3;2<4;3<4,5,4,2,omega^2*5
5,0<3;0<4;2<3;2<4;3<4,3,3,3,omega^3 + omega^2*2
5,0<1;0<3;0<4;2<3;2<4;3<4,4,4,2,omega^2*4
5,0<2;0<3;0<4;2<3;2<4;3<4,4,4,2,omega^2*4
5,0<1;0<2;0<3;0<4;2<3;2<4;3<4,4,4,2,omega^2*3
5,1<4;2<3;2<4;3<4,3,3,3,omega^3*2 + omega^2
5,0<4;1<4;2<3;2<4;3<4,3,3,3,omega^3*2 + omega
5,0<1;0<4;1<4;2<3;2<4;3<4,5,4,2,omega^2*4 + omega
5,0<3;0<4;1<4;2<3;2<4;3<4,3,3,3,omega^3 + omega^2 + omega
5,0<1;0<3;0<4;1<4;2<3;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<2;0<3;0<4;1<4;2<3;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<1;0<2;0<3;0<4;1<4;2<3;2<4;3<4,4,4,2,omega^2*2 + omega
5,1<3;1<4;2<3;2<4;3<4,3,3,3,omega^3 + omega^2*2
5,0<4;1<3;1<4;2<3;2<4;3<4,3,3,3,omega^3 + omega^2 + omega
5,0<3;0<4;1<3;1<4;2<3;2<4;3<4,3,3,3,omega^3 + omega*2
5,0<1;0<3;0<4;1<3;1<4;2<3;2<4;3<4,4,4,2,omega^2*2 + omega*2
5,0<2;0<3;0<4;1<3;1<4;2<3;2<4;3<4,4,4,2,omega^2*2 + omega*2
5,0<1;0<2;0<3;0<4;1<3;1<4;2<3;2<4;3<4,4,4,2,omega^2 + omega*2
5,1<2;1<3;1<4;2<3;2<4;3<4,4,4,2,omega^2*4
5,0<4;1<2;1<3;1<4;2<3;2<4;3<4,4,4,2,omega^2*3 + omega
5,0<3;0<4;1<2;1<3;1<4;2<3;2<4;3<4,4,4,2,omega^2*2 + omega*2
5,0<2;0<3;0<4;1<2;1<3;1<4;2<3;2<4;3<4,4,4,2,omega^2 + omega*3
5,0<1;0<2;0<3;0<4;1<2;1<3;1<4;2<3;2<4;3<4,5,5,1,omega*5
6,,1,1,6,omega^6
6,0<1,2,2,5,omega^5*2
6,0<2,2,2,5,omega^5*2
6,0<1;0<2,2,2,5,omega^5
6,0<3,2,2,5,omega^5*2
6,0<1;0<3,2,2,5,omega^5
6,0<2;0<3,2,2,5,omega^5
6,0<1;0<2;0<3,2,2,5,omega^5
6,0<4,2,2,5,omega^5*2
6,0<1;0<4,2,2,5,omega^5
6,0<2;0<4,2,2,5,omega^5
6,0<1;0<2;0<4,2,2,5,omega^5
6,0<3;0<4,2,2,5,omega^5
6,0<1;0<3;0<4,2,2,5,omega^5
6,0<2;0<3;0<4,2,2,5,omega^5
6,0<1;0<2;0<3;0<4,2,2,5,omega^5
6,0<5,2,2,5,omega^5*2
6,0<1;0<5,2,2,5,omega^5
