q,delta,epsilon,order,sup_error,sinc_factors,abs_cf_at_tmax
0.82,0.19845093872383832,0.18000000000000005,0,0.012873705804798075,134,2.5060057475837498e-17
0.82,0.19845093872383832,0.18000000000000005,1,0.001214295491264089,134,2.5060057475837498e-17
0.82,0.19845093872383832,0.18000000000000005,2,0.0002994417923434245,134,2.5060057475837498e-17
0.82,0.19845093872383832,0.18000000000000005,3,0.00010968651883275227,134,2.5060057475837498e-17
0.86,0.15082288973458366,0.14,0,0.00959055449571311,175,3.5818378776516885e-22
0.86,0.15082288973458366,0.14,1,0.0006599562183154661,175,3.5818378776516885e-22
0.86,0.15082288973458366,0.14,2,0.000121062259500343,175,3.5818378776516885e-22
0.86,0.15082288973458366,0.14,3,3.430168763840502e-05,175,3.5818378776516885e-22
0.9,0.10536051565782628,0.09999999999999998,0,0.006576039430548075,249,4.425392026432785e-28
0.9,0.10536051565782628,0.09999999999999998,1,0.00030502588292635746,249,4.425392026432785e-28
0.9,0.10536051565782628,0.09999999999999998,2,3.836974533164006e-05,249,4.425392026432785e-28
0.9,0.10536051565782628,0.09999999999999998,3,7.590147672209557e-06,249,4.425392026432785e-28
0.93,0.07257069283483537,0.06999999999999995,0,0.004469927125828721,358,1.1399852753245274e-37
0.93,0.07257069283483537,0.06999999999999995,1,0.0001392917092295498,358,1.1399852753245274e-37
0.93,0.07257069283483537,0.06999999999999995,2,1.1896749363138337e-05,358,1.1399852753245274e-37
0.93,0.07257069283483537,0.06999999999999995,3,1.6046664835789315e-06,358,1.1399852753245274e-37
0.95,0.05129329438755058,0.050000000000000044,0,0.003132573806620187,504,4.7942344961060915e-50
0.95,0.05129329438755058,0.050000000000000044,1,6.790248026053436e-05,504,4.7942344961060915e-50
0.95,0.05129329438755058,0.050000000000000044,2,4.059850359616757e-06,504,4.7942344961060915e-50
0.95,0.05129329438755058,0.050000000000000044,3,3.828017932638872e-07,504,4.7942344961060915e-50
0.965,0.03562717764315116,0.03500000000000003,0,0.0021622807631432317,720,2.133616463730481e-61
0.965,0.03562717764315116,0.03500000000000003,1,3.217628549415097e-05,720,2.133616463730481e-61
0.965,0.03562717764315116,0.03500000000000003,2,1.3266419160717913e-06,720,2.133616463730481e-61
0.965,0.03562717764315116,0.03500000000000003,3,8.598162221096217e-08,720,2.133616463730481e-61
0.975,0.025317807984289897,0.025000000000000022,0,0.001530307376161888,1007,5.281833570158317e-78
0.975,0.025317807984289897,0.025000000000000022,1,1.6058776609734204e-05,1007,5.281833570158317e-78
0.975,0.025317807984289897,0.025000000000000022,2,4.682154791102455e-07,1007,5.281833570158317e-78
0.975,0.025317807984289897,0.025000000000000022,3,2.1396250549088336e-08,1007,5.281833570158317e-78
