delta,q,theta,lambda_q,lambda_limit,raw_error,corrected_error
0.4,0.6703200460356393,0.5,0.020480375909131394,0.02074743364275709,0.000267057733625696,3.954614750358715e-06
0.4,0.6703200460356393,1.0,0.08100126013150309,0.08200012629953758,0.0009988661680344901,1.1773324819747133e-05
0.4,0.6703200460356393,2.0,0.3110179363035225,0.3141984004303801,0.0031804641268576295,1.5597535814870778e-05
0.4,0.6703200460356393,4.0,1.10208907333739,1.1093051893077548,0.007216115970364756,2.9511093280198963e-07
0.3,0.7408182206817179,0.5,0.02059624673679744,0.02074743364275709,0.00015118690595964865,1.2575400018810523e-06
0.3,0.7408182206817179,1.0,0.08143536682688066,0.08200012629953758,0.0005647594726569255,3.7252420735794933e-06
0.3,0.7408182206817179,2.0,0.3124055104307873,0.3141984004303801,0.0017928899995928171,4.894685660450371e-06
0.3,0.7408182206817179,4.0,1.1052460938567383,1.1093051893077548,0.004059095451016459,1.3578221347287922e-07
0.22,0.8025187979624785,0.5,0.020665817168882678,0.02074743364275709,8.161647387441157e-05,3.647615093443912e-07
0.22,0.8025187979624785,1.0,0.08169548515093936,0.08200012629953758,0.00030464114859822533,1.077297990176307e-06
0.22,0.8025187979624785,2.0,0.3132330007049945,0.3141984004303801,0.0009653997253856184,1.4089275728323969e-06
0.22,0.8025187979624785,4.0,1.1071222711287314,1.1093051893077548,0.0021829181790233854,4.617306914589392e-08
0.16,0.8521437889662113,0.5,0.020704173877944446,0.02074743364275709,4.3259764812644125e-05,1.0221092752379923e-07
0.16,0.8521437889662113,1.0,0.08183872535233994,0.08200012629953758,0.00016140094719764575,3.013716590311022e-07
0.16,0.8521437889662113,2.0,0.31368742373724784,0.3141984004303801,0.0005109766931322701,3.9317289535212296e-07
0.16,0.8521437889662113,4.0,1.1081505774806646,1.1093051893077548,0.0011546118270902017,1.3945917309854394e-08
0.12,0.8869204367171575,0.5,0.02072307489709833,0.02074743364275709,2.4358745658759062e-05,3.236569508582865e-08
0.12,0.8869204367171575,1.0,0.08190926409809703,0.08200012629953758,9.086220144055579e-05,9.53529163266742e-08
0.12,0.8869204367171575,2.0,0.3139108791309862,0.3141984004303801,0.00028752129939391136,1.242502465914619e-07
0.12,0.8869204367171575,4.0,1.1086557168805249,1.1093051893077548,0.0006494724272299024,4.570086975519416e-09
0.09,0.9139311852712282,0.5,0.02073372388786718,0.02074743364275709,1.3709754889908166e-05,1.0245246630236071e-08
0.09,0.9139311852712282,1.0,0.08194899284489685,0.08200012629953758,5.11334546407366e-05,3.0169685014125314e-08
0.09,0.9139311852712282,2.0,0.3140366390953733,0.3141984004303801,0.00016176133500678258,3.9286666031479456e-08
0.09,0.9139311852712282,4.0,1.1089398599705937,1.1093051893077548,0.00036532933716104665,1.4738297249294874e-09
0.065,0.9370674633774034,0.5,0.02074028001113356,0.02074743364275709,7.153631623530582e-06,2.7882007744284287e-09
0.065,0.9370674633774034,1.0,0.08197344730864661,0.08200012629953758,2.66789908909687e-05,8.208217217031688e-09
0.065,0.9370674633774034,2.0,0.31411401511140863,0.3141984004303801,8.43853189714805e-05,1.0684308437980405e-08
0.065,0.9370674633774034,4.0,1.1091146313582634,1.1093051893077548,0.00019055794949141003,4.056242008942945e-10
0.045,0.9559974818331,0.5,0.020744004283324083,0.02074743364275709,3.429359433006901e-06,6.406011276993695e-10
0.045,0.9559974818331,1.0,0.08198733727902481,0.08200012629953758,1.2789020512771199e-05,1.8855686595431465e-09
0.045,0.9559974818331,2.0,0.3141579527287657,0.3141984004303801,4.044770161443223e-05,2.4538037712851235e-09
0.045,0.9559974818331,4.0,1.10921385669879,1.1093051893077548,9.133260896487805e-05,9.378275933613622e-11
