n,vertices,cardinality,count
15,44,0,1
15,44,1,44
15,44,2,946
15,44,3,13200
15,44,4,133947
15,44,5,1050060
15,44,6,6595974
15,44,7,33992948
15,44,8,146015265
15,44,9,528321728
15,44,10,1621323814
15,44,11,4237209420
15,44,12,9448061106
15,44,13,17976099900
15,44,14,29142615810
15,44,15,40149549264
15,44,16,46827786280
15,44,17,46013629332
15,44,18,37863924208
15,44,19,25901446428
15,44,20,14594950106
15,44,21,6695716236
15,44,22,2463138438
15,44,23,711814488
15,44,24,157035681
15,44,25,25363580
15,44,26,2809378
15,44,27,190520
15,44,28,6237
15,44,29,44
16,47,0,1
16,47,1,47
16,47,2,1081
16,47,3,16168
16,47,4,176297
16,47,5,1489618
16,47,6,10121967
16,47,7,56670626
16,47,8,265778655
16,47,9,1056059356
16,47,10,3582838576
16,47,11,10431090794
16,47,12,26138211661
16,47,13,56442827387
16,47,14,105017064140
16,47,15,168128820039
16,47,16,231057054286
16,47,17,271675932201
16,47,18,272151983216
16,47,19,231081885467
16,47,20,165272985594
16,47,21,98809277491
16,47,22,48911851712
16,47,23,19805182185
16,47,24,6456674397
16,47,25,1659044775
16,47,26,326182162
16,47,27,46994595
16,47,28,4637960
16,47,29,278898
16,47,30,7990
16,47,31,47
17,50,0,1
17,50,1,50
17,50,2,1225
17,50,3,19550
17,50,4,227950
17,50,5,2064860
17,50,6,15087775
17,50,7,91161400
17,50,8,463297450
17,50,9,2004380100
17,50,10,7444491220
17,50,11,23875196050
17,50,12,66367718775
17,50,13,160250847500
17,50,14,336380659925
17,50,15,613637365110
17,50,16,971590304150
17,50,17,1332337449800
17,50,18,1577742163950
17,50,19,1607509619750
17,50,20,1402911744830
17,50,21,1043128814700
17,50,22,656542427850
17,50,23,347023649450
17,50,24,152521087025
17,50,25,55043349522
17,50,26,16045514700
17,50,27,3695890850
17,50,28,652424450
17,50,29,84422300
17,50,30,7470315
17,50,31,400650
17,50,32,10100
17,50,33,50
18,53,0,1
18,53,1,53
18,53,2,1378
18,53,3,23373
18,53,4,290175
18,53,5,2804919
18,53,6,21927531
18,53,7,142173242
18,53,8,778062525
18,53,9,3639183732
18,53,10,14678675049
18,53,11,51386036845
18,53,12,156820838379
18,53,13,418414740591
18,53,14,977555785128
18,53,15,2000905846182
18,53,16,3586585007084
18,53,17,5623087959826
18,53,18,7696034836062
18,53,19,9171294985224
18,53,20,9485528486270
18,53,21,8481379028412
18,53,22,6525691892890
18,53,23,4296643152266
18,53,24,2404707530229
18,53,25,1134638122751
18,53,26,446751334592
18,53,27,144887226833
18,53,28,38052986004
18,53,29,7912141782
18,53,30,1262100024
18,53,31,147543997
18,53,32,11770028
18,53,33,565881
18,53,34,12614
18,53,35,53
19,56,0,1
19,56,1,56
19,56,2,1540
19,56,3,27664
19,56,4,364322
19,56,5,3742816
19,56,6,31166520
19,56,7,215801384
19,56,8,1264933047
19,56,9,6358109072
19,56,10,27664771428
19,56,11,104919248784
19,56,12,348549184886
19,56,13,1017757213984
19,56,14,2617870525116
19,56,15,5938546930848
19,56,16,11883999100575
19,56,17,20969435528104
19,56,18,32587574172496
19,56,19,44524095561400
19,56,20,53359086874590
19,56,21,55930218177784
19,56,22,51099604195220
19,56,23,40528023936680
19,56,24,27769608466901
19,56,25,16344341164704
19,56,26,8206141528928
19,56,27,3484958800232
19,56,28,1238653375308
19,56,29,363547814112
19,56,30,86587448724
19,56,31,16349669112
19,56,32,2369788211
19,56,33,251579384
19,56,34,18179868
19,56,35,787088
19,56,36,15582
19,56,37,56
20,59,0,1
20,59,1,59
20,59,2,1711
20,59,3,32450
20,59,4,451822
20,59,5,4915703
20,59,6,43433086
20,59,7,319813276
20,59,8,1998563935
20,59,9,10740619069
20,59,10,50127730332
20,59,11,204655764194
20,59,12,734856943193
20,59,13,2329721120055
20,59,14,6538749677185
20,59,15,16274577499459
20,59,16,35951505813558
20,59,17,70496706991683
20,59,18,122642207595117
20,59,19,189085695583180
20,59,20,257945996063643
20,59,21,310701953075510
20,59,22,329604075335904
20,59,23,307008740556152
20,59,24,250185208106891
20,59,25,177622256016791
20,59,26,109320210800675
20,59,27,57982798742244
20,59,28,26314162068870
20,59,29,10129094401434
20,59,30,3271232895591
20,59,31,874202702109
20,59,32,189885027582
20,59,33,32731609419
20,59,34,4331938946
20,59,35,419523866
20,59,36,27579196
20,59,37,1079582
20,59,38,19057
20,59,39,59
21,62,0,1
21,62,1,62
21,62,2,1891
21,62,3,37758
21,62,4,554187
21,62,5,6365106
21,62,6,59471268
21,62,7,463969994
21,62,8,3078723429
21,62,9,17612199322
21,62,10,87739620788
21,62,11,383545228196
21,62,12,1479662452257
21,62,13,5059251647736
21,62,14,15379074357234
21,62,15,41650207120524
21,62,16,100627391474215
21,62,17,217016518270516
21,62,18,417779935960374
21,62,19,717541320704432
21,62,20,1098364421419222
21,62,21,1496265528296550
21,62,22,1810564038603257
21,62,23,1941618632975440
21,62,24,1840249772192487
21,62,25,1536634001908254
21,62,26,1126247680598869
21,62,27,721410437837346
21,62,28,401784890377803
21,62,29,193383375359638
21,62,30,79847930113077
21,62,31,28029622782420
21,62,32,8272158816459
21,62,33,2023539684018
21,62,34,402829059211
21,62,35,63682438448
21,62,36,7728880072
21,62,37,685567790
21,62,38,41156375
21,62,39,1461960
21,62,40,23095
21,62,41,62
22,65,0,1
22,65,1,65
22,65,2,2080
22,65,3,43615
22,65,4,673010
22,65,5,8137168
22,65,6,80154165
22,65,7,660386285
22,65,8,4636612305
22,65,9,28125448260
22,65,10,148929088958
22,65,11,693836134420
22,65,12,2861168883495
22,65,13,10491230737200
22,65,14,34323641536210
22,65,15,100443599123283
22,65,16,263358865650920
22,65,17,619315629644725
22,65,18,1306777794861435
22,65,19,2473888544628475
22,65,20,4199621384097685
22,65,21,6386653115912485
22,65,22,8689277856646595
22,65,23,10558355687790365
22,65,24,11434313388254575
22,65,25,11009400974355953
22,65,26,9397724697816400
22,65,27,7088547458765825
22,65,28,4706599696447090
22,65,29,2738631502125870
22,65,30,1389155345608277
22,65,31,610430585394955
22,65,32,230625249580830
22,65,33,74224759971960
22,65,34,20117672488485
22,65,35,4525725618362
22,65,36,829318710480
22,65,37,120729929515
22,65,38,13488269860
22,65,39,1099804425
22,65,40,60499296
22,65,41,1956630
22,65,42,27755
22,65,43,65
23,68,0,1
23,68,1,68
23,68,2,2278
23,68,3,50048
23,68,4,809965
23,68,5,10282892
23,68,6,106498030
23,68,7,923931436
23,68,8,6842302834
23,68,9,43861178372
23,68,10,245952326504
23,68,11,1216265081532
23,68,12,5337394442779
23,68,13,20885943442120
23,68,14,73149462557604
23,68,15,229936424657084
23,68,16,650005094448496
23,68,17,1654727359342108
23,68,18,3796464908674924
23,68,19,7852403567630860
23,68,20,14639682000408062
23,68,21,24588365925289840
23,68,22,37170850786028386
23,68,23,50513751710133404
23,68,24,61612815398213905
23,68,25,67323934914431192
23,68,26,65757747428641088
23,68,27,57265711540836408
23,68,28,44333857090179295
23,68,29,30408627190884052
23,68,30,18406542511181562
23,68,31,9787457477192748
23,68,32,4547190033893812
23,68,33,1833992397698320
23,68,34,637185611762796
23,68,35,188901702099528
23,68,36,47228664836836
23,68,37,9811342632436
23,68,38,1661382788236
23,68,39,223531997748
23,68,40,23068284691
23,68,41,1734640152
23,68,42,87707624
23,68,43,2590392
23,68,44,33099
23,68,45,68
24,71,0,1
24,71,1,71
24,71,2,2485
24,71,3,57084
24,71,4,966807
24,71,5,12858384
24,71,6,139677093
24,71,7,1272673154
24,71,8,9913422144
24,71,9,66953008733
24,71,10,396288859969
24,71,11,2072747481642
24,71,12,9642284317128
24,71,13,40096618258827
24,71,14,149637410610843
24,71,15,502681994834673
24,71,16,1523546802493320
24,71,17,4172910429479629
24,71,18,10339894019782096
24,71,19,23192714282183335
24,71,20,47100550735699935
24,71,21,86587413983804820
24,71,22,144013707265351054
24,71,23,216521788751301272
24,71,24,293932737327020667
24,71,25,359765635100417440
24,71,26,396343882271028826
24,71,27,392226248210496891
24,71,28,347866226974650588
24,71,29,275773043225691882
24,71,30,194823079516441569
24,71,31,122226509940075686
24,71,32,67822827262841698
24,71,33,33130563603937932
24,71,34,14168314010083054
24,71,35,5269636277489962
24,71,36,1691097586500271
24,71,37,463741102355823
24,71,38,107371280970870
24,71,39,20673985218045
24,71,40,3246239698261
24,71,41,404993396282
24,71,42,38725859937
24,71,43,2693432002
24,71,44,125530911
24,71,45,3395078
24,71,46,39192
24,71,47,71
25,74,0,1
25,74,1,74
25,74,2,2701
25,74,3,64750
25,74,4,1145372
25,74,5,15925096
25,74,6,181039113
25,74,7,1728366644
25,74,8,14125211205
25,74,9,100239309610
25,74,10,624436282249
25,74,11,3443612175284
25,74,12,16923836571799
25,74,13,74510651546180
25,74,14,295100363551208
25,74,15,1054778455625862
25,74,16,3410983207647895
25,74,17,9998626400381398
25,74,18,26602764726169932
25,74,19,64301338665602028
25,74,20,141261265561752425
25,74,21,282085142417259628
25,74,22,511908505330112261
25,74,23,843781091539262740
25,74,24,1262240223598969445
