x,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_9,mask_11,mask_13,mask_15,mask_21,mask_23,mask_29,mask_31,mask_63
98,3,3,3,3,3,1,2,3,1,3,2,3,2,1,3,3,3
99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
100,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
101,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
102,2,3,3,2,3,1,2,3,1,3,2,3,2,1,3,3,3
103,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
104,1,3,2,3,2,1,3,3,3,3,3,1,3,1,1,2,3
105,3,1,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3
106,2,3,3,2,3,1,2,3,1,3,2,3,2,1,3,3,3
107,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
108,1,3,2,3,3,1,3,3,3,3,3,1,3,1,1,2,3
109,3,1,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3
110,2,3,3,3,3,1,2,3,1,3,2,3,3,1,3,3,3
111,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
112,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
113,3,1,3,2,3,3,2,3,3,3,1,3,3,3,3,3,3
114,3,3,3,3,3,1,3,3,1,3,2,3,3,1,3,3,3
115,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
116,1,3,3,3,3,1,2,3,3,3,3,1,3,1,1,3,3
117,3,1,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3
118,3,3,3,2,3,1,3,3,1,3,3,2,3,1,3,3,3
119,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
120,1,2,2,3,2,1,3,2,3,3,3,1,3,1,1,2,3
121,3,1,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3
122,3,3,3,3,2,1,3,2,1,3,3,3,3,1,3,2,3
