x,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_15
8,2,3,3,2,3,2,2,3,3
9,3,2,1,3,3,3,2,1,3
10,2,3,3,3,3,3,2,1,3
11,3,3,3,3,3,3,3,3,3
12,2,1,3,2,3,2,2,1,3
13,3,2,2,3,3,3,3,3,3
14,2,3,3,3,3,3,2,1,3
15,3,3,3,1,3,3,3,3,3
16,2,3,3,2,3,2,2,3,3
17,3,2,2,3,3,3,3,3,3
18,2,3,3,3,3,3,2,3,3
19,3,3,3,3,3,3,3,3,3
20,2,1,3,2,3,2,2,1,3
21,3,2,2,3,3,3,3,3,3
22,2,1,3,3,3,3,2,1,3
23,1,3,3,1,3,1,1,3,3
24,2,3,3,2,3,1,2,3,3
25,3,2,1,3,3,3,2,3,3
26,2,3,3,3,3,2,2,3,3
27,3,3,3,3,3,3,3,3,3
28,2,1,3,3,3,3,2,1,3
29,3,2,2,3,3,3,3,3,3
30,2,1,3,2,3,3,2,1,3
31,1,2,3,1,3,1,1,3,3
32,2,3,3,2,3,1,2,3,3
33,3,3,1,3,3,3,3,3,3
34,2,3,3,2,3,2,2,3,3
35,3,3,3,3,3,3,3,3,3
36,2,1,3,3,3,3,2,1,3
37,3,3,3,3,3,3,3,3,3
38,2,1,3,2,3,2,2,1,3
39,1,2,2,1,3,1,1,3,3
40,2,3,3,3,3,1,2,3,3
41,3,3,1,3,3,3,3,3,3
42,2,3,3,2,3,2,2,3,3
43,3,2,2,3,3,3,3,3,3
44,2,1,3,3,3,3,2,1,3
45,3,3,3,3,3,3,3,3,3
46,2,1,3,2,3,2,2,1,3
47,1,2,2,1,3,1,1,3,3
48,2,3,3,3,3,1,2,3,3
49,3,3,1,3,3,3,3,3,3
50,2,3,3,2,3,2,2,3,3
