x,shape_mask,exact_grundy,capped_grundy
8,0,2,2
8,1,4,3
8,2,3,3
8,3,2,2
8,4,4,3
8,5,2,2
8,6,2,2
8,7,4,3
8,15,5,3
9,0,3,3
9,1,2,2
9,2,1,1
9,3,5,3
9,4,6,3
9,5,7,3
9,6,2,2
9,7,1,1
9,15,6,3
10,0,2,2
10,1,5,3
10,2,3,3
10,3,4,3
10,4,6,3
10,5,7,3
10,6,2,2
10,7,1,1
10,15,6,3
11,0,3,3
11,1,4,3
11,2,7,3
11,3,3,3
11,4,5,3
11,5,6,3
11,6,3,3
11,7,4,3
11,15,8,3
12,0,2,2
12,1,1,1
12,2,6,3
12,3,2,2
12,4,6,3
12,5,2,2
12,6,2,2
12,7,1,1
12,15,6,3
13,0,6,3
13,1,2,2
13,2,2,2
13,3,7,3
13,4,7,3
13,5,8,3
13,6,8,3
13,7,9,3
13,15,10,3
14,0,2,2
14,1,4,3
14,2,8,3
14,3,7,3
14,4,7,3
14,5,8,3
14,6,2,2
14,7,1,1
14,15,4,3
15,0,6,3
15,1,7,3
15,2,8,3
15,3,1,1
15,4,7,3
15,5,9,3
15,6,9,3
15,7,7,3
15,15,10,3
16,0,2,2
16,1,9,3
16,2,6,3
16,3,2,2
16,4,8,3
16,5,2,2
16,6,2,2
16,7,4,3
16,15,10,3
17,0,8,3
17,1,2,2
17,2,2,2
17,3,4,3
17,4,9,3
17,5,4,3
17,6,11,3
17,7,12,3
17,15,13,3
18,0,2,2
18,1,7,3
18,2,7,3
18,3,8,3
18,4,7,3
18,5,8,3
18,6,2,2
18,7,7,3
18,15,9,3
19,0,4,3
19,1,9,3
19,2,10,3
19,3,11,3
19,4,7,3
19,5,11,3
19,6,11,3
19,7,7,3
19,15,9,3
20,0,2,2
20,1,1,1
20,2,11,3
20,3,2,2
20,4,11,3
20,5,2,2
20,6,2,2
20,7,1,1
20,15,7,3
21,0,11,3
21,1,2,2
21,2,2,2
21,3,4,3
21,4,12,3
21,5,7,3
21,6,4,3
21,7,9,3
21,15,12,3
22,0,2,2
22,1,1,1
22,2,9,3
22,3,12,3
22,4,13,3
22,5,14,3
22,6,2,2
22,7,1,1
22,15,15,3
23,0,1,1
23,1,11,3
23,2,11,3
23,3,1,1
23,4,11,3
23,5,1,1
23,6,1,1
23,7,11,3
23,15,12,3
24,0,2,2
24,1,13,3
24,2,13,3
24,3,2,2
24,4,9,3
24,5,1,1
24,6,2,2
24,7,11,3
24,15,13,3
25,0,14,3
25,1,2,2
25,2,1,1
25,3,11,3
25,4,9,3
25,5,11,3
25,6,2,2
25,7,14,3
25,15,15,3
26,0,2,2
26,1,11,3
26,2,11,3
26,3,14,3
26,4,11,3
26,5,2,2
26,6,2,2
26,7,11,3
26,15,16,3
27,0,7,3
27,1,14,3
27,2,12,3
27,3,7,3
27,4,11,3
27,5,7,3
27,6,7,3
27,7,14,3
27,15,16,3
28,0,2,2
28,1,1,1
28,2,14,3
28,3,16,3
28,4,12,3
28,5,14,3
28,6,2,2
28,7,1,1
28,15,17,3
29,0,15,3
29,1,2,2
29,2,2,2
29,3,11,3
29,4,16,3
29,5,17,3
29,6,17,3
29,7,16,3
29,15,18,3
30,0,2,2
30,1,1,1
30,2,14,3
30,3,2,2
30,4,17,3
30,5,18,3
30,6,2,2
30,7,1,1
30,15,19,3
31,0,1,1
31,1,2,2
31,2,18,3
31,3,1,1
31,4,17,3
31,5,1,1
31,6,1,1
31,7,14,3
31,15,18,3
32,0,2,2
32,1,17,3
32,2,18,3
32,3,2,2
32,4,16,3
32,5,1,1
32,6,2,2
32,7,19,3
32,15,20,3
33,0,17,3
33,1,14,3
33,2,1,1
33,3,18,3
33,4,16,3
33,5,17,3
33,6,19,3
33,7,14,3
33,15,20,3
34,0,2,2
34,1,11,3
34,2,11,3
34,3,2,2
34,4,11,3
34,5,2,2
34,6,2,2
34,7,11,3
34,15,20,3
35,0,11,3
35,1,19,3
35,2,17,3
35,3,11,3
35,4,17,3
35,5,14,3
35,6,20,3
35,7,21,3
35,15,22,3
36,0,2,2
