n,M_n_A001006,T_n_A002426,U_n_A005717_extended,D_n_A005773
76,3911184337415864255099077969308357,102021486605414091702178117984830807,101029405107609228493371845636390232,68126741996918340190154250354601707
77,11510402374965653734436362305721089,304080296820632548688921809257611271,301161193981021547642629003636743489,203050891713023320195549963621221039
78,33882709435158403490429948661355518,906402684782675643974179816531098249,897811385247320991286036259846244942,605241490801654096331550812894354760
79,99762777233730236158474945885114348,2702025455277317626546252336223588133,2676734045377513875743965944247085922,1804214070029996635260216076377343191
80,293804991106867190838370294149325217,8055493546032345378034184224717759977,7981022178698418892677995670809147840,5378759500654831502290218280470674055
81,865461205861621792586606565768282577,24017537903429183163390175566336055657,23798204279656242457907993826095342577,16036515724730764270712179895526907817
82,2549948950073051466077548390833960154,71613946462741668079206163218526740811,70967818880652986992101738392999171314,47815742183085425621298169392431398234
83,7514646250637159480132421134685515996,213549584224047642063409640004525083439,211645762856063271684436516439218692782,142581765343394655071307901611525912125
84,22150145406114764734833589779994282345,636841109936174185432282672882962469003,631230285053521396331123375313583343664,425195347080110913747846156443743776221
85,65303054248346999524711654923215773701,1899301680043216978094529423510129156331,1882762359519755002460855131299513999325,1268071394989695581763406048196545812667
86,192564948449128362785882746541078077821,5664826399082726983016239686109157154981,5616062665357841959125202323396556538286,3782064039562971980555384554809643155656
87,567944426681696509718034692302003744197,16896951729798410901266644332902270231553,16753150515074167562371798949073792770427,11280889064440568942141442009505713693267
88,1675395722976475387857861526496400455935,50403252759946746026010242231049855772407,49979109547989292855187052922576329489336,33650102244872578463638443281976063001980
89,4943221572052274428484817274841589781103,150361471855925331736384348076202514751079,149110219344906309519349675858179640578215,100382362307936038881197295153626185261743
90,14587540897567180436019575590444202957764,448581910545737950775083699792561795907509,444889941484704698563633554735743080299270,299471691200831641255734023934382155329294
91,43055804394719442101962182766220627765254,1338361793515147347902350809264047956506049,1327466221678613419677781378730422469156524,893471852030442649338717254528304876206779
92,127103430617648266466982424978107271745123,3993294236872374187257913566724892894819097,3961134004314188673380520814492297754403368,2665828015193760767580132187994470425662573
93,375281510930976756310181851730346874521559,11915562245500751534018955195709488403625833,11820619047441288781429365522963976272296439,7954428241186562860638434381217190649222465
94,1108229819877900763405338193186744667723583,35556800340383329096877686241637440948218711,35276462027511815093157094062652606205026546,23736181292942040315448320718673464675922272
95,3273209089476438052473101825635320104642103,106109724395406959283191874366942653358271803,105281832888400572523507128352740743433740385,70833262367895144190034780304290047153245257
96,9669131152389329200998265687814683780583133,316673390172208104330206131072424140225752573,314228072589738053037417775260990730045641888,211391557283807531806699002719683396792012188
97,28567321136213468215221364999058944720713501,945129535351684210405041681594405600317036349,937905721781764932496831771718024326716563901,630901462761946157367623906333414870271394461
98,84414794291793480358891042199686850901302514,2820940978915214075398705225030454253750164151,2799597471348919885091693769907776582629923098,1883035257133449142901873453312429927033600250
99,249478578991224378680142561460010030467811580,8420135921613053845582092764846007419010010347,8357064634887554555530213177768998239228948886,5620538450264133960490398994938230836380087249
100,737415571391164350797051905752637361193303669,25134265191388162956642519120384003897467908119,24947857899122437868014256146001003046781158000,16777200556500608401112305942615005658238959233
101,2179989657182268706949944711706683431675573969,75029980989633038692671031412386009991030224119,74478972710507599430502242481016373480523670569,50082123090510600824656775266385006944249066119
102,6445526902441229646310051859066530999375612263,223987926410648237553675516374418756952077565257,222358945032591408108894360594081710030908544838,149508953700140638123173273893402383471553894688
103,19060008608601035820122512539133495685366451171,668705816475831053771464237562582177013894654933,663889270951446653569935341483852692935688063089,446346871443239645662569876968500466982986110095
104,56369902000490155161466142878589232802345778151,1996484358378724360911334920530287562885270781111,1982240895294507725292741304069883551278110921784,1332595087427277707341399579046434869949582718022
105,166736186990532204812594206164411016589993382759,5960966148967739811496817528670054665441492624679,5918839710051466291953945002251869444246306705855,3978725253673232086204076224600171114163381702895
106,493253027399423689823559267775695878392662135604,17798645569070672395404707533173793553934106036389,17674035820996413710134985853427567758539298572454,11879805859019206103450762530921924109687799330534
107,1459371636273993893967616514973002909449910595158,53146717211063499815674679240028929071012703181297,52778073931738334811120841651999458988014848509628,35472681390067086105539693386601361312473404608843
108,4318344244242469812948502806410363711951592224347,158702865074540169437916362544027847047042400200553,157612136717591340548502583617084314220590344277064,105924791142801834626795520892028388059027551690925
109,12779763960737611807939007796892996356569096666335,473927138509722850534921529778196475488223088754681,470699522622429209611386805898729644602723552453823,316315001792131509986418946161112161267632744477617
110,37825235742770534271327510185799474362588759112692,1415326183754581269757695141575655764693670193662327,1405774035681137298873290857658229599222600633296850,944626661132152060146308335676926120090946641208504
111,111967696262665849903769091543433376818806152053282,4226874255116855867504276856892114963138871460256027,4198601167447529304117353630623741654247352261508812,2821100219435718568630985999233885363916270826959177
112,331478378609143895971053565694243287254152991197499,12624076590011914475738984118139598271633575983273651,12540381981418575189222138252864538203706289029967584,8425475422564385171621630487515856617386223721764839
113,981449894682881651766048471053798615807057357319435,37704840552849064854183260623868674679046154043208819,37457056782833260244729052923449491459719288005317387,25164458571430489664961122371004136475339865013241235
114,2906234450266204129212174643462658253439431024500886,112618954118515585343641366470767657598484730053843593,111885287993848508301329525700133042202004538734415590,75161897335682325098912313547318166138765442048526206
115,8606803606778108365401717262737377633765146862076508,336389530106212601946300417871033742002493807522674773,334216961780613474859400083998205699145534567817601890,224504242112364093644970892170900699800489268788259183
116,25491831573907963336583054018749373611049855273869763,1004823453667439551665100585867445140293562943157878553,998389218386260570386599202477535805516757036000874928,670606491886826076805700501869239441148028375340276663
117,75510488025438261304679120183518573236529303339176631,3001601890439960692438298990822516751327077015159628409,2982544294147231710380217320193676712492833067042762271,2003212672053700122051699788344980945810319979158753481
118,223696821203921358836246695367291099954466200770942903,8966690478734424113198733631209870176312743149245152951,8910237587001714833952136181655191641910457794022842458,5984146184587192402818516311016193463819910082202390680
119,662762421725143382344788171386348329048337151787800671,26787165652737853781103005994520253460133658737290837867,26619921723266641701513356748707640894581477891742205457,17876928065736138947150869812865061818223200943267995409
120,1963815645947208854505196881559285819544210551279398181,80027009099271137184129719491935535249296614520775248781,79531490607017205881374580566361799485800458214536080520,53407087376004495482616362743227894354715136629033043324
121,5819525803140027392592573852991803679728817387028471541,239089990313305548946878880624659134220897530949847409821,237621693159612271395128822668673584164849476704807179901,159558499706288343065504300058297334735097072735311329301
122,17247168558452770365891669854750102048613779757551589252,714333376632530091737136525962006302550596484359461769623,709982147983083341896294010065000048926915721217473528002,476711683472917820342007703293332718385747007654654589722
123,51119976623096674448512995874546202822306806110141305034,2134297672598696775529724546092006400404427926794408825627,2121401732689690755004675392134262551979494910178845477996,1424315524615613433633430536027006351477512205576935297625
124,151532376009683684148363191660038033005499043269537471329,6377101137978078285539075330360531504363417747152099781619,6338877101263987631615611488443729149966043957657521824216,4255699405288387530534399938226268952383922836973254303623
125,449222501434823367055795240724415226254160564831704494301,19054855340506053548770298307247989804295505662467143430051,18941547001210460518545398957504754125687380408692183916125,12715978239242065917154686818804260654329461704809621605835
126,1331858858333138229849628068560869645463787219753888975051,56937949342926974585861096222257498055670266479851511262301,56602035180787744249030200331276318508024231168794766281926,37996402341716514067315697264752743929982886071159327346176
127,3949070654397778925261595026952331124940608019718030910727,170142019704502463083921496884810135071718728817441043826153,169146075008308555190902764707230444973900976908743899831477,113539984523714718834891296553533816563694497648646277544227
128,11710379870808883456653370892680311031011070706105889565779,508434169721119573465727026299271025019520682634928843489107,505481043762915702433484163449898383992397826523907956573056,339288094712811018274824261592040580045619705726184943657630
129,34728484868917923073081492759953402358847792308802666162259,1519396257246950978332695353199067793004316335682744756635219,1510639003334345965908284845155760123000428121087659753985491,1013915213484035275899211189749169409011918509158836800062163
130,103000390612050119846963061710720593823186046635306629775046,4540674263915642910149265043510588039005172577858064264606201,4514703032959329999500594058793942306650213000144346601093670,3030035260581296944240980198354827916004744456770404510620710
131,305512870901106552768820055686476263875553152372320928076076,13570080329834302909150453161098472652305598578146757466793541,13493051170178565699952161084104397790837372109225168500531026,9055377296874972909649859102304530345655385578002410865699871
132,906269136562156220773088044844995547011445535121944413744427,40556182670191434309054775329307268233980342796597094467855593,40327698958946064965484247350614866831573016113146362506042032,27063131500012868609102614245202870443142970687371925967324567
133,2688570046955065969206424074262654900346481527533320340651023,121211580588083564240023270030537001897126375022889819479939657,120533795162766777362820709964384407752522256171218607028008791,80883881629137499274539022679922135065553358909743456973897625
134,7976667118523625572095516219630936701843899260442051417052585,362279170913617118965664689959305817402170887365327033535957239,360268386291978839873660825951195756646428524689464925647237082,241745375750850341602843979994921409649648631194108426507948448
135,23667751445225102552254506374989570190795491048526939496080013,1082815943497574798712986341861697330695027936744256884830431403,1076850061000689452232894689650176454748926400159676941302098975,722547557205595958839325515910501574048599412054791959183194321
136,70230770489482038793218581951613637871985132295122357292290873,3236516065498953703178775721162050240192880737063610767434629353,3218814196550613947106612866998581545948186782599663771466881768,2159666004498264250945881031511873785443954336903933826132530378
137,208416578951506492873776608904240971601730012438544169566767161,9674144458600181597392001455159213332089254302262938310368392889,9621615557059039314670945727371068388461963124431762949043849601,6455330262049567650285388588160631786141067519663274538901511121
138,618544564576745831928921127489913959279036448705514455836614660,28917375572718260226733892909901350109013180551126464208456092091,28761487895307896016581172028785254081038741716519095400213868218,19295760015659220912062947182530281720551217426694701259412242490
139,1835875157466920391190868869901005367957215562683658293468490034,86440351363334052259896236967471858271090663984164655008883828527,85977694476167670638120036721098040339786066370066509361289437740,57678863468026156243315064938686604190051922267645559608669960309
140,5449394385047236914359114525390680488840392762143010623581084597,258395740315669393536136310409667938950662796724297673731462704007,257022522045368854766721641786140751514010178775712161085588604760,172418045839501722898016273688569898610876730354231164370173266267
141,16176546693038283993453107245062830999187843972123136291819669617,772440784406407103069579593981949441978683154275721995902639913527,768364608291660404924635148080085948926495379462164497924932928177,515418262361038248302857952195808690464672975500009834817051308767
142,48023678002714528839639173674188643621861261600288800950995865454,2309170000989727912918849890142121339831673913200050991752505769881,2297069630411436327070341228798922001884673844041485353438393085614,1540805392698067507994214742062035390905178533737886493827572841704
143,142579341227678474194396320902682115345711749044188565056903397532,6903309261812600567059532347739965343601021601283021698629291941109,6867385954388177624068401835408976037926160408841298535992408759922,4606239631401164239989191118941043341716347757241536345190898855495
144,423339640260024739139628371555493557867734086988317745954947316209,20638081170588955815196336018557917419453342418965618770614109460953,20531425136785700283993070209986224609782491862363153368194089244608,13770695216200778191127934183148941381527182010124320234621700701031
145,1257048372285879591439531066344267341284748944902652545424979161569,61700931444160356383182476438530366639018326143691925507002287950169,61384247837703587175246113875546565890821442613306073163467360850305,41169506307374656099189406228544142029235834281328772138808198705561
146,3732891328330226228496763135577770463979025464164833887161628222234,184469427119567530733674704189623498420661211370304071833937009650779,183529062353738420350171535686263031827573345955787271632046957589074,123085179281863943558428590314076932529839768756997998670469648800474
147,11085839791400214754745367329223029411788809059033475245696786565948,551527551827044371434017775562149562075807903281878615098030924828927,548735025264543255589024180929932258204916743232230581412759348668398,367998489473305951083846239875886530248234557326091343465983967239853
148,32924663292263290326176310930460243399440176801530892614734824373945,1648997602356130882612066137422014078485641389746339777923549622165723,1640704289127231783702314364725008352944743740736954336363124411760304,1100262577091587627023041956492081820280724646514109196510790273497325
149,97791968157406749394924901075381707518323470767341721197980700152917,4930406180610594450016694866872030784375128871220248450649798445686331,4905774830547230258600270328638576266516586343428102999595488831717805,3289701891483362666314380502147022431430385130483294114286674033926027
150,290478334914612646997850040852668570806349498231935309732754323955141,14741955841705054967217235524149183317408301558076454449840776109121941,14668795223611012409238735161307256127748520615101258179697105022937550,9836181011157824708616965195510607050891715214648351450245287277404136
151,862884451960527250118070378184838858415486665422092636523633171419741,44079546288927079785694705846763695572905342788278970809234986154997041,43862228572106509696675356168752954191758774233022231769645902917226291,29410751065316067376455970685456439445156822173177712629537881132059491
