r,moment,decimal
0,1/1,1
1,1/9,0.1111111111111111
2,19/675,0.028148148148148148
3,583/59535,0.009792558998908206
4,132809/32531625,0.0040824582233442075
5,46840699/24405225075,0.0019192897773347005
6,4068990560161/4133856862760625,0.00098430852718100472
7,1204567303451311/2232691548877164375,0.00053951353202241303
8,4146897304424408411/13301767332333178846875,0.00031175536308956225
9,18814360006695807527868793/100028040755473167511640090625,0.00018809085796940748
10,21431473463327429953796293981397/182171989134769427819794434994453125,0.00011764417551302354
