tower_level_m,mu_2m,mu_2m_plus_2_over_mu_2m,gap,leading_gap,gap_over_leading
2,0.028148148148148148,0.34789354338226519,0.65210645661773481,1,0.65210645661773481
3,0.009792558998908206,0.41689391136671977,0.58310608863328017,0.8616541669070521,0.67672868191001356
4,0.0040824582233442118,0.47013090455154372,0.52986909544845628,0.75,0.70649212726460842
5,0.0019192897773347023,0.51285039851976022,0.48714960148023978,0.6643856189774725,0.73323321210653369
6,0.00098430852718100386,0.54811425190793195,0.45188574809206805,0.59749375012019279,0.75630205002339523
7,0.00053951353202241422,0.57784530801464884,0.42215469198535116,0.54390784600822917,0.77615113494605492
8,0.00031175536308956307,0.60332837935933636,0.39667162064066364,0.5,0.79334324128132727
9,0.00018809085796940757,0.62546461206614401,0.37453538793385599,0.46332500016025691,0.80836429677722987
10,0.00011764417551302368,0.64490954841689263,0.35509045158310737,0.43219280948873623,0.82160194197391367
11,7.5869852103981763e-05,0.66215348139577968,0.33784651860422032,0.40540287442157252,0.83335994863445062
12,5.0237486703634447e-05,0.67757125934727347,0.32242874065272653,0.38208020839342971,0.84387710635019386
13,3.4039477132223499e-05,0.69145476102159797,0.30854523897840203,0.36157228601085328,0.8533431651593465
14,2.3536758525761749e-05,0.7040348979320008,0.2959651020679992,0.34338249443268604,0.86191086286146668
15,1.6570699386334822e-05,0.71549695246949707,0.28450304753050293,0.32712603970723458,0.8697046795330704
16,1.1856284911210729e-05,0.72599150618597952,0.27400849381402048,0.3125,0.8768271802048655
17,8.6075621404599802e-06,0.7356423649404622,0.2643576350595378,0.29926252007354942,0.88336366008869704
18,6.3320873693799664e-06,0.74455239457559164,0.25544760542440836,0.28721805563568403,0.88938560933796496
19,4.7145708135337125e-06,0.75280787818515627,0.24719212181484373,0.27620671123387291,0.89495335109920038
20,3.54916605068998e-06,0.7604818124485152,0.2395181875514848,0.26609640474436813,0.90011808983884489
21,2.6990762309094547e-06,0.76763643287984618,0.23236356712015382,0.2567770201323219,0.9049235285946251
22,2.0719092499661139e-06,0.77432517186059968,0.22567482813940032,0.24815598266533168,0.90940716284785317
23,1.6043314860595774e-06,0.78059419448591372,0.21940580551408628,0.24015486765465274,0.9136013259143928
24,1.2523318440490648e-06,0.78648361649779208,0.21351638350220792,0.23270677086338154,0.91753403955555723
25,9.8493847776305748e-07,0.79202848006112958,0.20797151993887042,0.22575424759098897,0.92122970955418537
26,7.8009932549639714e-07,0.79725954299829882,0.20274045700170118,0.21924768146696511,0.92470969656410651
27,6.2194163173853878e-07,0.80220392275321384,0.19779607724678616,0.21314398156160994,0.92799278589816803
28,4.9892401670419056e-07,0.80688562603902603,0.19311437396097397,0.20740553293062874,0.93109557509039664
29,4.025746175642663e-07,0.81132598764262276,0.18867401235737724,0.20199934465957142,0.93403279439024267
30,3.266192491951795e-07,0.81554403637427408,0.18445596362572592,0.19689635318695062,0.93681757249504405
31,2.6637238084617154e-07,0.81955680209534365,0.18044319790465635,0.19207084872215727,0.93946165753491795
32,2.183072966128113e-07,0.82337957472034984,0.17662042527965016,0.1875,0.94197560149146753
33,1.7974976904340585e-07,0.82702612380236851,0.17297387619763149,0.18316345816237739,0.9443689147007005
34,1.486577547463389e-07,0.83050888555634939,0.16949111444365061,0.17904302474265707,0.94665019588037203
35,1.2346158622369103e-07,0.83383912283054795,0.16616087716945205,0.17512237191271335,0.94882724208573421
36,1.0294710076003059e-07,0.83702706248182612,0.16297293751817388,0.17138680559561978,0.95090714219099171
37,8.6169509340188974e-08,0.84008201379089642,0.15991798620910358,0.16782306393591759,0.95289635678542661
38,7.2389454933879414e-08,0.84301247089160358,0.15698752910839642,0.16441914509062067,0.95480078686622372
39,6.1025213270306065e-08,0.84582620167524003,0.15417379832475997,0.16116415945800638,0.95662583320786121
40,5.1616724346844431e-08,0.84853032520035765,0.15146967479964235,0.15804820237218403,0.95837644798357113
41,4.3798355895805121e-08,0.85113137930685989,0.14886862069314011,0.15506224401507523,0.96005717986815042
42,3.7278155064969351e-08,0.85363537984810101,0.14636462015189899,0.15219803387568476,0.96167221365980005
43,3.1821952058921521e-08,0.85604787273066685,0.14395212726933315,0.14944801755121156,0.96322540524838263
44,2.724111436617703e-08,0.85837397976466201,0.14162602023533799,0.14680526405993857,0.96472031260073909
45,2.3383063751719687e-08,0.86061843916900094,0.13938156083099906,0.14426340214065944,0.96616022333300799
46,2.0123895828994241e-08,0.86278564144949743,0.13721435855050257,0.14181656426210898,0.96754817932903459
47,1.7362608371281661e-08,0.8648796612613634,0.1351203387386366,0.13945933726973694,0.96888699877651063
48,1.5016566846767795e-08,0.86690428577244838,0.13309571422755162,0.13718671876502408,0.97017929596756658
49,1.3017926157051463e-08,0.86886303997698855,0.13113696002301145,0.1349940784513308,0.9714274990979701
50,1.1310794895011691e-08,0.87075920933589401,0.12924079066410599,0.13287712379549449,0.9726338663306332
51,9.8489788197408465e-09,0.87259586007482381,0.12740413992517619,0.1308318694504215,0.97380050029366705
52,8.5941781440704869e-09,0.87437585742115398,0.12562414257884602,0.12885460996425177,0.97492936119008877
53,7.5145418835517743e-09,0.87610188202231154,0.12389811797768846,0.12694189536911696,0.97602227867657154
54,6.5835042867151952e-09,0.87777644475939953,0.12222355524060047,0.1250905092993235,0.97708096261833244
55,5.7788449868511306e-09,0.8794019001372082,0.1205980998627918,0.12329744933681201,0.9781070128495003
56,5.0819272620352641e-09,0.88098045841039363,0.11901954158960637,0.12155990932245721,0.97910192803688179
