N,r=v2(N)+1,odd_part_u,A_u,phi_r(2*pi*N),predicted_sign,observed_sign
1,1,1,0.5537712758888100953442174,0.1262447125654091007750096,1,1
2,2,1,0.5537712758888100953442174,-0.004733609101621120915211914,-1,-1
3,1,3,-0.04620229913430671299257486,-0.001170317908821328476690803,-1,-1
4,3,1,0.5537712758888100953442174,0.00002019470807828135700899846,1,1
5,1,5,-0.00865686792861001089588161,-0.00007894116946459431923048658,-1,-1
6,2,3,-0.04620229913430671299257486,0.000004875739957220498944204503,1,1
7,1,7,0.001044808241827280615683473,0.00000486097382485147735540796,1,1
8,4,1,0.5537712758888100953442174,-8.387844564130697034056075e-9,-1,-1
9,1,9,-0.0003561528616297921221122299,-0.000001002384152720452258031462,-1,-1
10,2,5,-0.00865686792861001089588161,0.0000001183975568328414657519132,1,1
11,1,11,0.0002983683368381264191966171,0.000000562147308777917991023071,1,1
12,3,3,-0.04620229913430671299257486,-2.311230254121860321083488e-9,-1,-1
13,1,13,0.00009140498059894795526061614,0.0000001233008098014984353152718,1,1
14,2,7,0.001044808241827280615683473,-3.719686991722074892461041e-9,-1,-1
15,1,15,-0.000006555455730992891195331226,-6.642065339791463255462255e-9,-1,-1
16,5,1,0.5537712758888100953442174,3.103161792661110721390483e-13,1,1
17,1,17,-0.000003383844606929639474533551,-2.669287428652829115447503e-9,-1,-1
18,2,9,-0.0003561528616297921221122299,4.64011096573273455171261e-10,1,1
19,1,19,0.00001232112249262068391008383,7.78082855456442482598482e-9,1,1
20,3,5,-0.00865686792861001089588161,-2.020449129694390304437613e-11,-1,-1
21,1,21,0.000009847327586125585339789727,5.090524932347393620126008e-9,1,1
22,2,11,0.0002983683368381264191966171,-1.741983186849582909822234e-10,-1,-1
23,1,23,-0.000002544427084358092798153709,-1.096521396459857952791424e-9,-1,-1
24,4,3,-0.04620229913430671299257486,1.066629273390885230102932e-13,1,1
25,1,25,0.000001301606057194778879355069,4.747689588636410096016679e-10,1,1
26,2,13,0.00009140498059894795526061614,-2.735636677104077200813907e-11,-1,-1
27,1,27,-0.000001266996472666304600288753,-3.962147601272124599362001e-10,-1,-1
28,3,7,0.001044808241827280615683473,3.238586522839290623154111e-13,1,1
29,1,29,-0.0000003409614266438404042530914,-9.242554634821827920560795e-11,-1,-1
30,2,15,-0.000006555455730992891195331226,1.106878161278647168570311e-12,1,1
31,1,31,1.11464335497243495961465e-8,2.644206182580286523875985e-12,1,1
32,6,1,0.5537712758888100953442174,-9.647127261883712526872311e-19,-1,-1
