m,scaled_moment_2,ratio_to_gaussian_2,scaled_moment_4,ratio_to_gaussian_4,scaled_moment_6,ratio_to_gaussian_6,scaled_moment_8,ratio_to_gaussian_8
1,0.16888888888888887,0.16888888888888887,0.070506424792139075,0.023502141597379692,0.041990998868683321,0.002799399924578888,0.030708636437355233,0.00029246320416528794
2,0.27831483470581214,0.27831483470581214,0.19890473148323679,0.066301577161078928,0.2078028029595467,0.013853520197303114,0.2712735462470135,0.0025835575833048903
3,0.35733763831433124,0.35733763831433124,0.33599093426205778,0.11199697808735259,0.46994477600542606,0.03132965173369507,0.8321926178620539,0.0079256439796386094
5,0.46622763501796383,0.46622763501796383,0.58972156473848214,0.19657385491282739,1.1358927973972963,0.075726186493153089,2.8218908965044567,0.026875151395280541
10,0.61419956992085012,0.61419956992085012,1.0609418699866475,0.35364728999554917,2.8754548757644161,0.19169699171762775,10.309428701963343,0.098185035256793743
20,0.74193347555952704,0.74193347555952704,1.589400464965568,0.52980015498852262,5.4698346141768024,0.36465564094512015,25.436636606273677,0.24225368196451122
50,0.86213783102563768,0.86213783102563768,2.191158938350076,0.73038631278335864,9.123316549837492,0.60822110332249946,52.290358502042523,0.49800341430516687
100,0.91859025639236913,0.91859025639236913,2.5080894151611095,0.83602980505370317,11.309109248408193,0.75394061656054623,70.744705510476692,0.67375910009977802
200,0.95339285835542076,0.95339285835542076,2.7138501660206842,0.90461672200689469,12.813842508869305,0.85425616725795372,84.30272317943249,0.80288307789935709
500,0.97840985903156996,0.97840985903156996,2.8662332582342653,0.95541108607808845,13.966940963492858,0.93112939756619051,95.09793121971363,0.9056945830448917
1000,0.98813694254528717,0.98813694254528717,2.9263481378650549,0.97544937928835163,14.429606427014559,0.96197376180097061,99.513575180675758,0.94774833505405487
