m,exact_probability,decimal_probability
1,1/1,1
2,10/19,0.52631578947368418
3,70/583,0.12006861063464837
4,1400/132809,0.010541454268912499
5,15400/46840699,0.00032877391518004463
6,14014000/4068990560161,3.4440974469710983e-06
7,14014000/1204567303451311,1.1634053124177673e-08
8,50960000/4146897304424408411,1.2288705569252884e-11
