r,critical_n,below_n,below_central_difference,critical_degree,plateau_start,plateau_end
72,5181,5180,-433541634237694953933200609605846760859439551120635819222198169399857374229714588585888740382924883197469736290206568796071381878070043517975441291535724917148550190999206314514711327833802120025038778294436982440574641962309882730059551208474397774343855374827134492599456959559327895058045791077821692686925329935783781412031973602279572204317387341503524201733628468396559698285042247065298785356982126787504706935294952037594393512469679943620518968110234675163697883575760166639522001979955081349572700344883471921255266203595967866773183224930591308342617435078185985993190392072395343587313261741964809076401062176274170834386493824760609750657650392748569913312734255397470030419766029413889152140292893090453416135981512836657910973676260215964167776038729724228237851537252774541407955433763917559357554418881330198214435533231966396910655786644214345798975711666400422799279129945011791591858879870746093355280249380432459489868395293292562665041721984264564736245274714396892801168762259703669223835455562161363390703411362097947431601320503337112939501308429028076968512705963776513404152357294206345496604870701345195243442579131143416407589349743604479416781914182845725977919288876374203070219952659151981689242296534634301436119155553302610453720821149942457884356491519940980433964722421434466031822431439027229507370638758584248799195196484383004719837993944196732056302969105860135318001021931955758853978875025944730567640688500920865777532088598800725526717852919252498048531187091148959294519536430193355515268958551453819285120,5253,2625,2628
73,5326,5325,-18047480455664499435467623212493153408210833568189814682103675469981123279942876197863016311196801269676215568296851454918560251660753224683032711128727543937119864991208746326464440491009070314605424246533745975193347253457593813961556929600272270306243911833967619707813057330437333759815090087091538571551669932761478824503464527055326034809145459164264871548931570040807159961341289193211725373442975319883800663223944969663083766023881945429691059240301767919036977271242270241463367981000739563780693723454651905525491950505880426960258436397113473964602271393516849143910747303280837096722810909635083911579263789416259171897543100573239880211259409213768155882228916389089289536444087642999662676469877566685909542876940919536931722891479521617054888455046655193924682732392375448438897271142109172557226533570942909264470346290424840524707699913499090171800352127955749444632052693601429667267689112665997723346106784581236483038059208983486956259941657176393969438163058195514727464515204312421350090649782008956097298531917561296600656170080166825246305692105617479973479267627384262844125327526430383586869785065271105710317146541806654732332914192413845545161827683536707113801826929143553200793669832737662934647503633480269708598471562608672973027036476952577937633620643372446236003524683829868128110472762995461254866702770528390087796748603746099171151197559856567006133258216620694963004405560551414799118329325288579538173831673127161050404935095027951168323094515460078539178810076045007040961027179747118725141026615211972925150634347417921469079261455295268434012005951140,5399,2698,2701
74,5473,5472,-3007948084541149840045138917292214302319763320873834597314167694244102525247812471688549593264991676799595392652605347152858951720628830021692430187689685951645120339482624486562639871063137777965592181693264996465548094363357340064745998207143060255331389277348498727178968557144214877348405699719343077110357670788680981139358337325175356763368496592443920034740901093427468006557112575706739494481300754130018239933366140140399482312090510561031169635542072767406256488149403071524864772953226403975450194393009220955332098859265942027472442140922876445967004664607471233017832305881915844303890932045744725715285328290742752842074350037693304095203808323244079134646257866393503778452552338556886575994409897902787118888997100018431835591582760640846852220206431674248477064290582581755559801074496352602563881598903552782480363913402351712176510365000476120434363356751630362999378754165957155972191109985925072441143742622673445720369690995216447277123048294390942533437570395700631985973865872945894173065803201806612392615907105833009496935991029030334499693995659773062422600483013994068372532165072150262311312411890431406304440235888384309324388183732687918501701267403270130382874087606447758720706181487551544118836101888491681120653220224754701832080043413025322291761188647752775243369674522976909597009051136340305939878161656977395889143278056443741448836486453080572252485936816568977649246506502346651703943926605757327742086687445222985316510798266565591183819904149917205894799554888304774277379892807782915452556704462615681820084822758193458524799496780676921711471355240457213298696556082832015409525707296890864960,5547,2772,2775
75,5622,5621,-2007155930571860275085665249460727267012067233999169855826996512009086876555278841502902538787371208935909441668665174457907738112014066403543219138355297364788531970439486289325015440895009017987039211214994915937802471942169261471147307143247035326527546881060520230148883232968020961926395983909531821200139146172865015551441118537788233466558915679168307045383126624512595359797953849490366414323798224984048922866335541017039493102760662288363337556316753919180253012581114642737079360214701741085208610386406629154405418579067178499040819829807832499683067652793410690332381738915335301452104068599172670267788324897024136428088393792808463354686741507064945928772954812463462648519210841357616333660014975292139796599256102970074359285488521794843068399752025128651752780271384754341149329274252420972024947509896359176735906135220111578145818145757496865094651417908537009525695781652307789576304449536731663322645313827396673037570959962671126830865521915896135513506611026098503089911255029221982158902586367682421416899093355417353637094240827621869102598873219143799737783576633281601054257099215653973654257788494257166866312082127599379200503880699647938308408034135190909231438747102691968260421552362626348856859262664913468867277756130436699145795920088501035575509349312816706593765555850586223991604174946417901775872188481927721770684406579419180193625067826065266490487147919918092482632355039411158719947629548413453704225739479202689459931210940291721002455898266273149387637305899509676838233811608231669067063079102681086836921570011635387223613384387315679130546348042967319109982346047189054663702742170586555181493632868709720940173297143201297406424153500,5697,2847,2850
76,5773,5772,-5362142864238565898176174397826370690922581420106367330282115831488062005716016914531863334507335147478234054356122557356954466283158566559910164534622484253269839563919134468082725441857115167893062984449067168167353609209489313601162513066517833628319614804160287202879505859959377707026574036839919671701193217925312871725890193612910053451238790698222782406113048519589826449377207050029159311680997150396206593757799966688042368737841613701105475405569737487904556867305369756431935768689818219794824186930512121748899161485454183039699800560204207004060308821998949575939158509722882323056561819289129138063454320694372664050201345439651440763679432391180159907937211215459387981756959954928209270257723278369065588343993431947323973891535708146637126515567712310257457446209243026540590581692977039208885056022275426854592347216733856942355851303406157299543337393049779116370696112483134255010150030807807681807138412397952481737502355042866390955668674724115146954146548954655506618023197309698289941498940015588096884705071973305063491997899293344827399436535701209706040874840911458302362012703553348818697779113146747842054496279898037464481364515685034942114156862318425203479308465991526216242132230299741976169796300018909422673328608505884325125788426692109978373052572448544998694612586318288674517927476022944197696543051787690419067581517092329341392583979348671657314264098422450419245246348198325489472079843644484818591393879821742722590242156386163933147121422071943297416236919443630318748558952902897120071250170824454645749143201871879437517935568685282649442462753775326438059759050538008291151509555665735586548030456437986686143198559014981635431041655403324846315358686032420481561748714984956888000,5849,2923,2926
77,5926,5925,-57349815334207497582987634222076005776656113884212109888141564513251776759092544342648348898975668932388473009000444156125939065576089476723215229515047327976208361236307226841079328652240090407068516162555385780003985579971332129556412599583231737492992461673583847816277986326006307752808102056740352929187006185032478673157845786822502401032029144062877393564905893092815781720213906419237161590286699568288465883732680785126645456834630802021101326632910905833302216158189074493930614186850430420321208111282132565028811621492542067711832008652368025828952171688145675124576270298746888924079044361728934517865237106124139457112081884258763956286244009542914130513377006630110675681662885687481468914468534940008315780007331639042373522280887454312187074258136444416189088840254478211359615503041656424189538878345048792972913272799195749579082263864672963679259768868698768974824577605146888196556574759924079577423543652190518830239471307842942318364608386656677129755127074520934382079206034427291001013918459522990751069416805821984787487334096564675800753131610310784073824415545150322654704873507854824067709587345024538482501476091348199844180746830446545597478946204578465044435565767586080793471620060450711251359534870683492513089831238203038554990869879007406661357743514125569509631183984676770403100877769782858250300760468278212359653453690284665108342245898767375008674310828675152998733647515023786323915896840055113381041708609953097384674957865761427382841952117890507390276930605890004692542067979337841268467635708160709646666621804280738917142146426802611894727830881773873470659087479506283290400062702078820057675914217512339635862988192368490651983444298177627833516462506191834866592221989840469580236555721866977289929413824162143993044238636800,6003,3000,3003
78,6081,6080,-2455569997252016670960326842758840110831032084862392561886722416404107334776125324308268164577319242404059425262597461814542768607164956172826491443925155827735177213188360916836054140217928107556001190113529217567080132406117143282765764016414417691819342855068351533086042180874626832781399707882118202112317344044885008548363968987510317282735036480136754699946285608560774244191960624122442096577008582289841820884662659567233276743193575098585442769520190512997181142291457743865903487735081572790854686468718268362481012018713368908223720070456966946004219397101808017614805281489439233395308904437489266101527451249945728845985903203011866674190817353433579587280860385408858811588186845222057730361123077281964501143944729008428988055263853547170071746251986304791505289743489045231913056073845708478437785920662668135330172426314945493742564936592768354228984682928171737971550662255440299873486649335430746242558647926525383376542730873021293210173745811020225291553374109906233553045868077177187478726575029405821112136490236774916431465936281252122185738392280041911018598764406227853860463648017615579596369880354499807920726130506161327825487130510553895978125638144178467547214730150608019199377195087825984879776857525312283233206597445490157807875843791994539894013380870179764977928795808357453824404934762313544272416017754024384142729226110440443717486499660809525989030138315043799941578501737441733507027377647152891704958598648764521329516168282325670430999506948408944729203374517275553403237860052511795344262421897611487354571833935942201543064133177855982669227110882461321499601911008638514560606644879984995116446524475402332953979960497806140576192336905562979486196863461962404682506412632086697626340995256169844698010020251350390543936039572366821753191775817410914141952270050275499367600,6159,3078,3081
79,6238,6237,-420910648538029016461584324961204152078046994011017900097041305628459326780337530482759172460661471785166171211080628155802698699793814566260192956773325926799875595733421722221852311740997328019416055684402259221956629680156609461855747428096154937275517849620700429459960873088201289878947576472909055678857581959206503887440730714875462174785671887332983424859225664471741338854775259956885310297347863632205440410142406317412314710712027295510415006811322839535914602563627813123099700456978947239287770177683213084971140583892409501945305030380385969001234189481667742882517588423146942839969146387377565985497788042477895741119140703442669898970156629655757331652926536230580580458025571443606654575673206741643633989807390477257774696098528309031528910855809089468692979371431574007072861823145004703506198078109970735622742462811763767757109394394535729200782115456970967823555046682304968376722488578401897798662825137378724305159197150846788373785035358612435936977165583607409902907713202639923094189502942144281905392065974735857147770036742184215863242704380027035799596421831395131856173646537069236260827153851714590420941134269901985934681276125269431471842064390716195909877476569568494962466620615643629879175111707539435810250256566058230784303339364654374219799764182374797399276702081559810830016812758283776646945402364913668797429501979954987613296282137412371514957455703007608563182638463445292936335913077442641090305307660450616018063324366210487589014705251153480463359511205615776420869491357231760479689088348602267567962393905631730440081572414211924203894028563799487660094266565807818255750141548090139844973194830210664133672002970253100995588153452349277632883215602117561958611117463321076568070364047455135238260459647935387248940378458831294822631757893976555775558620018484285290291770628857760426052885304933193068009672531966508,6317,3157,3160
80,6397,6396,-288825683261725268629351725964379553552637724213944122435216103759803123897517068080551409889131106684511151218830361996004685410613313746415267719510861817008668764898788501196293836100877526031353048968145180651437963703104446419411132091889400667078159118498745981029671293117615258670239905345082472429130386127839988314815998789457343525887734655654346914853315019804621016452159612714602307739222883010777921922263502484231126558812955630365740106947673442563705292181873350518301408108809490410354679534320870942392249390506534527417038589873205063184283261149933305355917434995135763059107425345549622908901027333001759352253778342865305216516963662861073911402504668380228176901096550487096851520504608431353809147279709742635826073284743573575047053870573992150041983716350481910645437004194986091818093852171895272412955221040406082401013085903998197596919235366923968609063187085189687289771982390966890782171755129562508783635031939238654682041480542071941100068451384444803268771524712502002154229701264301234331697076337237053406650404020221757676568716136985011666429686759865030956042504585445136228965300875391252148394378588047354000840202793539711861529703558833272980936288492204972968753564009669269259078523794605406502359826539935353039540804273102228316371036838760357559448933715026054450753215775932965075838666793438256958425454411684791171729106024987014356845482314260104892201032036974208043619103979051650333567165688790795041995422614251954670195977740537621789346744931928757732782541071060593525112504541955076288856595826057534593131661805625263292803824675541467601038473399321719226582357151126325559194262741656452118633195250458544102628880471581943358654628989421052913112029036043779932621610728504460795350703334878595438443778961323524882415912235306097809412870243230591348970857944293335310390322001569377313959412745299727912497264705333496233516451612917963985846416800,6477,3237,3240
81,6558,6557,-793380176949377430090477616252674343287623389200043518258748136302255066752110974380104222328022184551369133008041117422437323082276888855750904859235639622292807373563629717108438056486348642579302108328802530576798389629024001990546129819665911398420138163705755593238182912000397022268399613135724704951438366984103312382132082562786880331405213077611737600377297750595702894791549724552942347964517413320308996198103282493715930716878767871184084748707576387567679165029563832474402419284203661878278627216928244032387357820198124313569048836055345596871972420723060118367006872220147693586667625416176032703342992771853266353266487514979161726535701421308444120296615317150592937287947400459208622260183194761061361739885584845494024986589691184838855759085744949848355946574574377475094220138651093033113275976873676602827330353282636226564031703729747259414250094019762569209405806169212641944463720838865169980154166332385203357385101207354097207526608323630207635938306402346803862635230888120209576223463026906111627024452903999448911611936506968483244764428488258949623470829234112245437637240398019598301003972886843591379657142821112859719794157235839533729654720602496436440900500151541196729613468352305870392841860123031403025714472727692359081112514878813478630813796323720201009851307030969552219351662794690795007394601551767648361550064024585265541033400129785796387930384472301138708320900400006217920716101546575465381065317478487459240861260134894349961033710063502918783697230036413178558434884386517773792165101256930329526379098490349600083861434415225674206155629626787010501960956073990886001583656008946379894291656384774359035477940782768579420984138131636697030306276485984285705487805636968788114935350260934240884337559061777089921350394545827721453194518540254139237575161811092660415214171872907022309317142305232064110917703472641001505654535232869165111713791238635684711446075399979043456173129569612072571108870113632490280800,6639,3318,3321
82,6721,6720,-8724050627676449962867568084265360055647226452952043484616746624611031984580414266197080790962582270417154928216794951971445642519466470021524493201698789329828283030645507865243620835551633980258768862201844923117847932426735017918972003705657881910339021917233495397776249453855958903924052827710518204571495139799185320628258049204067532297274691203984588556767838726026163913919601757603115519739765230386398594117000504575901333409570104200549208538480008113445447918592909288629792428144338029306611177881743590319750903131020933423277636284447887463313389084556173514245747897703853750204575152348989994264912589322315101048884794519695285730083941813435011385868886511504064580962859808266282601855747447707980219295866188944670368466749728085011301346815501229617472045524065161380018138415450615644748439917480650674484526966043426526006998600037161771791758417143455628298279603858716911198862679275812983252245374723087383021692806322897720160014558166162046346549028187958431352994517743425930027465280922370586188839189927132137862041269582060134398208341794175096541218791733243021694955546527863965197417127313930226868506501759339671600356493958819705239171361738872933828611954455278938252485934927005678651709334233483327884077117588981554861830533809714677759555693787305492847231791619263883267301973240739878641950695287162337523532412824240386711563513398461779357550645465671773767961164466977693736580811380786319551750058880841033561153318413354984682717580211881358552052642092594581167249519075617176802958463810115597344142052034291447293814004726246126312815944397734598822676747440031643302848746039032352766744877708553470472788674111402628857480920617151323090703662072531436480764701567890376630222505671650145766316780286793194473906785828986066293132472919196049713201439180906762453792286817345266351379591612047128538331963328413888130801495065927169555012771794858385162985342599159001447781814894750096383756856664574031258320334772293468086333548614290617213152395077909248,6803,3400,3403
83,6886,6885,-384006226380983676486988045587859644659717138454660509988155577622920041090140383789859740401894760780167714394899363750713159336229008930857804098466894965786340986004974395444342155029974314970954257742321772312016363103373923578367931932503932006303255761934842741198619296619760156664886080031365498012460861333562955684956867177020105657414004429430067125654374661203867674906203974121513885410151256709179770869664004340357433049923831439153494220553075750716678462585734883227122086380083511302805851266731465453054424014111999267209315144164867293483738467040218606306671268107426821134677814194074448420766769967938844504607677989466954581027575981937178846984989855907312419129516072286052650231438631767650555397705204669351944194523404861046142906112924635628058381375447066234494763566159403807519441480010954196341319214219537203315282144542692759538769613424383645870415638852664912956522969134558846437912778143821584657916103853738935593400560037312306244147798860625524764860771508712950493911438072935136423136445512043468933640220204496587025113886828701481359438364810296899315319537496812220540361976822669733916895522621132384902326380500050114292952634707398637860578695392267123048099566029872176825963865404145715401055427358417131087626344490334960366568131602441409670869550928308015518407661504666559193448338125863679021224517652654297470650370696910620880672978439900233517672139401608845794575416392217793398746400749072025814861942986167725496855280569901081191526825105080906236920019125339815650738779604565174335946060713932314869601965391150259413982661417032861744160819834093989226390917947373827476741858658914053856788666676358052297053011378384748756460947653088929214255420320142717931815290156544656375114510158429060935480973947718166977586646281595804743294848302393914548358519848905167717276689104256052213039490834549039306946652365699915005707681149556583338401294298551557094564670538940499807202903866146994596312841734858510930322660784101731804414989304588814085252093370349913606738190031921705532633294088800,6969,3483,3486
84,7053,7052,-67660291098338451445542112907570591475135650390765472545400163437450671587623692468446383762634403386980706910629890131679677391655870642881477859469239478590466123328009981820965461693742438349469348398740110364614846916500343033884181555914680979541205934590300875580331313380812035054135821427820077696966934543075440872387435020332911353808879925242014413872200571083058458638702924948147492125967544454724040606248771536952809508273532523494352692641094518127638617051832390381001760117601600373631557703222843151012647719288207372148652047577578860910044384376300561417333753826065701697535759333911765502398980006745962353904533413373926287745839886874772949214944867346892501611441599387066529344402356020870442048669314531518386251500970175808725674953473466854379256012918788410692706077596137562068735528006753512817353669386346185727065134868096562568296526363028053887174564362016212131367074385919113791220415005877183210770702338083274741783789173611334353002631123388623679978236567346051765958953651284197426147373272353123281826000887328744904886320786164346851801372439059407471278314325114140241525321089715418966739010601065281552416144564361339188021616869305338567891262814130073689088985978675802668720631365139598559963583081856112511118788435315789336570267347125688715476579703520266111121362542291326143465980220576254995111076718869202087903237823853935097313486159461921357975945939074372661458502309469625911631435193564647604011883561547523874417662481414431425150194121716303401832327544862638854923842126102864053313460770156540214405298833928187138387894456326915219523405351507305688894075976959000815018697026070827084801882394912601568884212990775843200936202574422746700470481329562568097925844379064756521547828329949199057507986514125811817621085510414633029474943820213300344828493442096504167768905938679775950200188030447320831234268678263508002981551172958293300667429328682488445594985526791983862309505717853924051832065904348920210745959142313252032802829199629235080665756903991434624924319552630407950114206277660939967713791707737505751971588304987151935575456000,7137,3567,3570
85,7222,7221,-47719676387272866762911388151574753827579230743589049111124456844822128932488506763245905598214329118214572283236787313966669728826019629842569172942726340887160047920901580380284443428613746240206799149681211476590468350237941868834408833457145372282318990037525112023342929593222650981993503427111087114032235026041519343211562575893582817943290774861829828043141343705058444506889135919526680879481888608161853004905273580853528502609700388461005531054828302798561166060618022027266473816647455792167580686229503597239588743623747442871248714345280605288469177612954036588323910053835176169151978009403255880518191030162893177615668274452096916363226491081738858023323904206952240942595768263437741518567878301822440428913783930212779363416136368737533704243935023546009723451922885440602948039465579820888077505484050884448920350970462301964610429945144483052721957545098008629636823929158691758465464873628480082190338137896133138417072151786951499364020422607996942759123953324386387555284903326230624547455526352654995383115458391444110415461721137907944513816893235057007459664871198097428283238804136877007110996302817866270419625304736052952274524675345780053685622510008192353562559063533589131875248836371164523064820554221819603776241651225531758386769881822498889452079517970821699612513573616324230882557333244289567708470315362929770554518139607179078112840021123523868845622936524609297875072282097799506263341744617810706718411431594035288096314956324806724763117240819251588150224366961249094942624937991270238395411813995933078823865531243686515271799288567640799683081325785648044730700296135461967983758307029316399916779451994337782284029071550636274091759768215015832030375305188933702817182022173166992808101184344871480673694027103297287219840634994514392230615369100245825354219699747978132058993471732786908781006181455693938534262679072954938101354744550316516528479776837218666635341149938523503781418251826634536583145550755417403577570976948580459997568181900899651197769539832436990294599195550706060633940327601264162686294238741098519502916772088845880189215549315082632757519778159096165961267734045774140265001041334013775601600,7307,3652,3655
86,7393,7392,-134716855685738748882056917275279024720934381181549458125769688553106902531903494015297249796868617246515535712748656581131735555317077977542668226425225460466197173091934077578332279270499522528750026259565664168567175692794971159240021381860771199903918726417248157543815723281895854463984964450762058849562392442371976756143437334665199826637692966421236798380092082429411531280272611192331524824335838134571679779393327903221256269471072112493443465580030249917634746755114717378010321499364160137995249330463212400897520969991761348628269132719843015542869194213877252470073107323559529499365058694276811128484499367411149728229592538433051820423787707221292374969563876781055504145444529135798980158477020112306533228331434903612292267388478646600342772180715274819235631419787308382424339428823353692552894512821321317028729803313613261383721191996520524528377703982838016516927282709146320680413091588765416005859444346823529224607211367262319901709601357757971730235835238797443452709747892658151221231769379002401756921019501929844968680088780711820011208131882169326515708414599616225245939357429507095496980884190257071808538826277267922164355279415411840662207609126919628526413551268016924557371819644391270186721271526456293229206798285431794571798077723098155458210574604829508970624659680423234715890033223965650457865293916318215753808678655619558979209502795509399489837378481685995179165362617869579996862417251475964006810537272060087039551880424781846090867262700404754302422374430554159761946385269641898529591262502864636649150106410292118591760936423947132176032995770571316624524581346467084708472789808196612730552002705912783775449018645142117436961143584432266900234820639720871911756643193749599643887950722863303675949104627782475975827985720233391375334704816179467842463295002648827599799005651611783833720788482055813106442795009025541333693470884112588387936579941969158303238170042054852628276591377339255931486387205241116160925779819823001401936403640781308381531009278285010042960708280101035560217474972063618007118094214190758969626426212083810971939986482615389675588818145789400393930298521223802280903240135140809769604230521341867491955210406288598415603981223949592548800,7479,3738,3741
87,7566,7565,-1522299988590926486340401285893213076043596029277283161410371896096273313657547453017519200175721901307814666052955722160717580947232306022804248374925622743744257714154605242116732096827520246887251497072414356357299981230508190346797120885319432959028204885363815049492509171166206019984569652885870502675702592011273757075751431641496471531335291966248848740753523003981607120723517344019812610279077675358816262104810659099385073643407970985498371496187800304785407863674622976834996307770412706199104648470468899941532458025647182808237491460381665965893991937329238519199013107032947552380570308193624117460990671274517567506114528470660865321761980773610572738286194828396864527374132284251868666660195110354162463037648607917263544748907792901108288406174596026355208545700606850360326697686056952920166891675621039779852466091469371434653467659164162308324287132228233783906535900727681003515899890579683436298486936641149951529181012268001658950134277399491197167142969958603583615988052265150897482757957030316448980197285306985257487536117501386761924304832669017231929482505418194171096692513001009775931295293999829206835403933987649881309726689601817900462777404536994736526204427524323434650881336715915588531532552924380627701126656127812048452942630943412540416375638742442602042779468955051020270192112429252359079060672251290680330433551526982190928975222468512845615708834249463687935745836866174940988137515591175385514398622120488797450341532565930863608720502393661529198852895405735681700941205358122371129572399877684184900615876909838820708440970990722540404383052259634305487003533886039951282821476055599279512420353026557841281301185358865222476698346406038119512439845043189184469110988979018750978463279430432037182706055971213263493091214422571372373810650055950654064567551488979370129224288837664738440514104153942686212111367804702704415057724061877421866265950650112991438858990604888490996908883613868489924441569068438807854521856031865063862160763918076117094928004531776895540936379962859618282263691128014979869751711968727123980134951333516194475786781609275408612929760010068823912010081821154540759756256954604374335599692829504984484854210475613064225469265250925757154779620112028855979383204364491150978510733849033059200,7653,3825,3828
88,7741,7740,-68853446849297970677625403393602029610258167159259170587992819458209903827351319683890343200660277613029415007558720666683289663668013339240027161967231503055824473995295982450795875343386426176952680363656633722557048610368344611296803167058119149803208311575468603460750181383109759682699214169675924022966529176896457303475242241693721574228651908486894877667410061063858713908144853295352477963353600802600443378469583112255615005885535108818253540355403548629672263811306131981164492367661772136108801254871078860748762433007224309452707868157449121973164013978008334573807175767892864023846656311861227262291200872288482987705906732272909944815851002441289233779598926695703993880849274670253052718681519178353863586595959235810125796820162039674285407728101151821386691231304466717846911078357708290703968459273315097766846080704634582067445581511937880583240947125149912336773828718753634843182940932327885479484944325670870346692076178713713310158324444349536234342777558796386181383480112168178964735033387110073062793246118943913901012348118540536936444424152624223785684840596214298915282968273650461711566167581797700718469003606029209225630757926697600249073420286942096390076510373566010179364100737770129956353582096552836220634230486131765000157228131321868987022451477626806456764280323489703139188143430211648070564872044066804613709392166236986536145545001217661217409384054751847330640431283145429664837399646607657055184988618038794173869458927524640581304077019070072140785213158395494684313333504410921726922068168651495625330760809843940814693843274134625512424382766907080892315956217714896230033658185635174322901801515717092563135120616411662149870700882792288934303902067383434421748310559435178160314897094451362467363536577379111193610787004290384566563918771304501523379954619564687730091232101493101662909314398404145437428859968625598301001159968318938964239868190460029045671633670363482374934348268439094022472366606124166325976611490550714840627614115945820702428253034466909629475760171933398684836994190952233200208765472118876720397604998127442198530161628332408836412561695169487715698154073435085406363052378063043483086860682706155506002587774833744611250543091452539619528844186380469810913188212718059142474171448972199944016506472468491194380297970472261575543947100232481536,7829,3913,3916
89,7918,7917,-12464985265408381162706929654863479369750003321490925825929780921020629516779586741999683827679133445182921379045721877461785947656828894676965972048172363934965214757298251101375426997728229317363374066784611446976662228879885921730892715524928164252672714067912422721408037892198203333185188757758457632940542769372917767769010817884832469956900173809268616445589838785580446375574160357680720297975799437259605274743039279516896303708998425177788865560905999271393982303892814120907654384487985081541284337498161123329325917763300504551812299911391809857667986923251955071667304731618528257094064036550978822767361951752960545464726173992498593960922851137203077326067448271744730279214209927261130132995186690840710651185784134856603182361054947201502583363659814259005905545881075449707959759571489564638320228551290402508881360325986605767649026136962443606121760500997075767469312372421245128900505046717223903540992604412020657591998709346086363136845391140591406715835537784141071805607183719802315926385212847118542973723590064142749504759139421066618608010853615703195336676502393616168056591219651941372963795266337355428907052772147003397473619187915700716834249335393820874318496514568727013043190789227784522315288296341144632465995189149081025676426819776162380771192725891380013839273694535654864008636073438317582463036252324912154032293446645293834722990827543690342208474306528763159247847838164783303741290443666814556601404985453824468713817854182960570517938332258873981053870777524752051792473546341623464862485685829629841073063311791607300397198226811280468243166269770370231496833745394707526744928772037528791661754637306358687699719195066140597922658033386805082372253280818399022195181461070414703962060198701897135387616853311673215163327329663633101123898830783369230150679354421808236586302502718052720806295139877773669750016174691861910432856476905643938520180751347177983646762174384098840290187168756678832212275639076086188957411730312152788109523437833633506335819951071523935212568343541151533952170213984840654704615412033151126494213933362164666892108611336055558013453641788498345362877177922931361210779315343522202798422709165503495291107814115080628877931368999203233433975850682477746239742386820518138720502163472551826863470877091235627599894458629651644777836977443394998731880761355494435861495799116620041371051424511989072,8007,4002,4005
90,8097,8096,-9032172374662894477974013793580525319490087943310475844478066599249610797922914405381364429440798953580067876256130028915012251507545499762510406315002328055292636001867859421165419912255067672591024012968060087384745696136508232157036336053202457060673823819859191982686303791793055353513867574401564675627477882951022344908870879091867571917455143121283296118995436431221317127123855376947394420173920417174910001021018961858876227032853172963717854093733997930433069050482118096841423767717475884034549189807055385635303192747427050552062730196714943053750448753149090669166166110480672982771120109700233365637161030733814265420671543658993044037824309526114073508321495372055083562789064414913310611880621737061965030408834004101761293696216225156861225340789321259772167452530102842068633710850466142042810614567065594158416736944145737202666112855857948183640682243817554052120819561629960445510404146987574202842444310520498748544231962608873899638753908091550664262830563344626214458213461558324171693611290260777410538505686528331516579493169398290336298516665682202939308898104559251270488821037909350952615902666813435129643672480640422752727222305719261290213986174912323466364322735354820959107884562234526454659543504492969245948888170959506103777218918892446166418478494830106451270987512446218160487611386102855076848162572972547586987729072756345190760338082037052221951145224659469230732334662974262556529575565194859298853436089051796392618497444133009067992129375030726895809118181428869492425343431612910954043460943771801482930502251206833124025421536311185267109157572049453708430038951788009576284682029812475245027471320141125154273083304565282195412383373186966745728905197943621069002566203812557655884642752952850417814816066946360497611855389431861489679123764116000258814486872358869008203144892954719626485587060376921853589290446054792112529329543390473452136236788406555032389682344948998119816902446235223567677704399510029236146530740497271229513548942799072457966672283386545377186887607368479808522823308017825993141001294205097881383758171955273451827752193275227355712897302659333258594638811127574934435743670801131108401447131025849441078528445314834381137216547891080799386410772560267530171739946560891106338501393051914095602063241562309170855979514302083364936579621754029959099135746165242483071534827783390945829607444762715016222879184689184873809643343324661657589945907742858240,8187,4092,4095
91,8278,8277,-26195154324178599704976831581661215000342799024985129200691687727379148676425155202679151645060568359487762147331342400291273955369152486350617178108521178542660576566795442428754555893384085616990172020001628601094833197219496622937884521938693104192510673204696957195718041769697454064933679373227785082306961435204375644004982218955046375255591911923199994909454427246006351224791103144182183392202144049734074787840809962320058442658953156851492178708412327375348156932463656790247801744648374462504201831012198527728987577245500197594903415354260038994639147986788398845572699601510685359585648928528483009760409664657245637630337307495138741942942548057003825197227568738696555892255713274194954342061168096539438134837335705710325179810371425089717103779345795509892856989296492403445996985989165475547365821714869723635137292981404264878410696024082561747444770165445033464840792048061580651492100226572732231383187030381732052146755636965115777252299085281937543743546227034297546669294708875736003457105844794891034432732809857491611011259253790926580931935049547163350817072405040307574743058157116003318623084358971523953750101726741833575958231682833837904420464937743349745786527547284052653791022035353942178107974322405537815073414311622809456949385346183374298756135903078480052193767479303973964618040987228020067189468472456981563799353625559007538141860682033077214300187491815216305920590434501272841861266782797072156815675684892689237614858380774775351890635492967295238784158211868459401331051781766931938844744981698191405114311838943535733730139109078588933845213666908925484863382728587716844181275864668475888070080135052080693551272361705337517539819300096776035332234733215432733897402517346570915969366716119734783305014092538694588933410412736244094135795885226636340661828278402093097964839921978842875610220851860493478986623047276320147669181161408582851265527213130878809143521543044051480055536438221827733936987480559305448771339983771768573174366349471237671543251200593121931602698548949912726305711594412625117623323228732595340806662546694122515760706145978106336839008192405316177071940584712274614638456034282192384944003052591857216466833642813676764849457225863426370700285793887748628958172545918206757359062761938143838282098277774341893091234485024603510130519114516652353825201807025941652140564494705492242638925885914065403878437829417254762425711612041994214604166206865241924840657475425623568978762009824206940328019616619392000,8369,4183,4186
