r,critical_n,below_n,below_central_difference,critical_degree,plateau_start,plateau_end
54,2913,2912,-33576173912148063678446395862960756818607009509359721717868696622450782331276029328932765158329643774582415181572007876842240188697358734148211772973417622752404489964081993013712115549290064785142660239832091878053161043658262451571526792884804121647001576452324044456360416559544771447463583605892388971818920593315241998018591236345848984513632441335263219188602794718968338587327269305919995805314733729194759627795450815344022239845704766843146339482514271250816843233769485666464553983426688965426893978746182262745336688626848947366259011889275771351167360562091117266319129793089862214415594083671203452966276069752157793991364749193349121728509418162514066731581184888866264118200392435448280264424271860337399998860287970605775495515294100784657473470205700421085924298115595035853463009483019141681159756482364254156051858037095267480960234200840980747769280,2967,1482,1485
55,3022,3021,-19880547216055993694243676825548354523195381672904389599139749903447396724854291724596446811950066021599602565750103315777509070389490904351481311864082433455676025161367859607896664341779964514589084189617716444478776056649193086213204433693274697810382530797131829258934236534136916102340715493531276039145843163964115660958068514855292826385710895325228088677568292945141648924708081859425102213742297198527394469401416674808817073441953685420298400637373603060502954681105760447973524107511816552189087189544603603149364529555291253574087271491762642182541318460478815318945594127896499857133438230962835269457247772248804291761394591874706998087251162558943684824807265433655695991825077327748134855034119441607954252650527225680166974690930776056646046881068083866544435853127870758444746449995659125117603391027424669169301274845472283819999872635064535580785976408572111777247401764443723464050,3077,1537,1540
56,3133,3132,-47163376468324779107967384171247384516990784524268472006865079413847913856876433500022868121483879031698729089353605989653924034112160726010088063150239193856154512997288116713426512476365199801144395274396712841289702828425798876221596994154283381876089192073554647306263185548634511778647412452982838267970113156995517445638055741660823337602206933228111593130120697200531310566111582595026176600536187753845882715969171884426380781876246161965447224627973685238968739385266297773152609180673691026311897676726908307167719429209463986126837681901971475202392663870638495810106394242079135333564245468844750615181169236867774112680026356855832871170610511827239417831988825047430987951749873296967821649844105314546938953074615786150437205006920233296242979972266787414465949974102833511084353239281511985266044582606894617372500776670104824834280234816297426545433339238849563980995217815887346215359228099352651117793849196191070000,3189,1593,1596
57,3246,3245,-448265536655144644260070383729315121802286159217413759833708534565784462629195283578396147906770146159025127052245805476913127791721079194829073360701406322971177722780731768369943982522444848778189703857192564724318357984444189028735186370408998181753658078258038861649344331459760404156146496720796380374593413588255686925006025431896198463959553542704777731181405852860494493417649822922034254296241877284851691934714209994892977947252720006214067018595471759349951689196551661580406654036494765789374559858325121278026398595966428722095087518095688176598318693688771845422663501533872402024635270990569380318932348250838691057240120502184582580458619541098327407072036009986584810429935519225527315383274563068840379162094004439476800910618541079944683408040291748687000237838116291235119586043659459538275152591295032074816090310914495633230004034383831760903982593740285307166736928704730040547396914514940311921052182721787598410037801558351113185704029136471200,3303,1650,1653
58,3361,3360,-17068507042032469334907170766675816665296921202917102525102746613407710874774846973167782384704207551603663201641949841804312884398906379033792402472876205441871976435635066752710671189074072615884517075864568561611748258992368384573940879473361670333886470360068373581263171011243395787897022834697153368307364546022957924385762423933564481832187525457053579490929061181194347579520881790545208046208799166692234925688042702326359449308800276802811416334482077592887553569609824077775816092534941028042883675445353178429698953398732345943385006696541505234374402644154494536246060345076446663724616432655251267265089438462015515714920646247390792857063939995774254545151026100025883236671919121960858357894662028911058699111871850836247745677921923136971684088419272609826972102517910551246670764893463633673190227046800353303168711726272893744822231186962134835013997044587116248362932667029428661792775927331325379414892254702676904410129944990053379532996121368142611933115052855799751614012401478400,3419,1708,1711
59,3478,3477,-2603529497518432841661787128085780856497314144379281550100208295922536872491421921324308307256363149237702824556048299902900855947801137654892323891012373658578390267594478358578826131706478269057003313425528579906839069542840302707392241016021312291677752097753383175732363339019311024462856655498880545135730706844971306171965177062153155000985394060250713486407579199787589806420237985671381648868981680824670085436495145081031863642648668099101578706948877563941142835884701122074550114807246848930034232388704975909337100275795372017820458166024811537641070264262115195227560119518054411837451143139218935540342347537056002622728413724723322834679981822173673545016702203665913658875913927454392651298982184501273329436598067063492419357400486724731158074668052206578889137229990387424949044273443977217411053937507277810332378526624088654577963939646745661148016779033097674230418144244933637282789139060731191278845519416736704374101799429014561986957677115095078723900164103910585591471943535447271839182274814116611056439565672000,3537,1767,1770
60,3597,3596,-1590795926769692423727107500569226583009846134816796379652456570898909677496353841462071251208340261689390583439099894931707899016472703625207257309435775797974613703294711777921811430922253722892060980258202075781837930442876523360303130868369428388390617045094064079745942715853438233575515940931287651207811826191544046012302062208642098148613848146797744919920509933306933817668407192409399435552221455694566587678851449213346044598582274911853969593292000877220520323147088728475570980050266653685109063678153950928909971389191895279459941392191125549678424202927646360349095700433750603101573529375286635327562549924120331319920160673177579776592833006906964710260497879694212050679718415146663679084048953645535373182875752467245294753197732123233011911960697657646120166212126274238594413399152913362427477937651186460267596258892315043256308056757910406847835562084186736354165453079909308900848808187007375909243261057691424387714347169236090114767465774412751609954204491772389487781551616392709845119883224339652307173148381389051425165185599571649090753479376000,3657,1827,1830
61,3718,3717,-3893415383267474981530236993399303334638527858634254236236204177763857339481796272384054674060028832254459192217877486247114273043450253595027303497050123130401146973542721433562942659148414908008419248596958714006413642416377175615643401034717481142832058942852454731779083036454440385684698282894748700611029898955104695391299373558259264681032897185308077294842981726663798233975765090032272597488933853536843057154437961528547408465512663285722928743187727832715938627153587661920949745302746738843147717507056600391313938182676398275836510737256792842043152505490891170316716874556189519912178841870730224445884624060452706739937340903672494096077531134215401857601126988340065500596942404175888415568323618741425608808929812372450462855449185724056513440572102948301458983477994028178567623727223851917705416172319960422606372123069835479151915977862280792637597537576404858616194680728002958104349924339095437190994951314413616808953601963265584215134627087922194946124068890357784995850449103375798884269757477427248835271020913064972461134846596868674245349949758328377624876321127447298047819750780960,3779,1888,1891
62,3841,3840,-38167316525293690197279827808214487327669860748005684819171463690735053528233892065182387879125343898449600170588143445294491834303428120300440517519827501033879708230977344235465196459200745442079593715196020665740775776616508323711303393618195137675049042359503456355385197927842679523642100903876292984592431374792924673805324136063243562919032723913268503031050460397200738362458086730334896294085941528026438590715899291479041471505928309692831888280157502234373589466503401468458582456050898195554837346273006917408087366180937526102414869551022160821261083536815520989309058110749424694951103656514307142951845854308665780332759177372939229003802773173581277885996694200355503626196812072858468512974019637008422349057949807277306477957259002054201323461533974076739988792683974166813813542607729740344592272063904887329124726597880460942906543118157263093798304228671502212860330700228432827936815330187691832069085916241237049183816174567527572180742422073795211111073291434688055005068269740214404294354409488831066886996328831194341286572761632861118052669205833051583855159203394269364347676220570051756527930319435042105919684442224320,3903,1950,1953
63,3966,3965,-1498574675428975092092274087576948537381328070131034831436575846236881177169202858336095569776511585922561919657041861800745433462566204328277321555117624204068438079904149531866323143036102884125991583730117318191647485105342376247800519566145246959071477169879955126279813132275863499706446484525516280444246213625983916695892747586759215044095001408907278038917171621699493911624282147661233874435482421417983996140726450266439681928525588932864902591928036081013845699645036180006672630077685304258301320578342729645808349900212704765614313548597656701214453754664124286534900928955523865516710114017847054793063738638362883294301863115559819909524669956388847204758647781199760199994576107789969053843209020035205401674588495396946581294837175262204778014387819110024946603499511326363004542429541268775762339248241400940598651878679432578347725281720212467620477759757496719516707598347244632243555683305027984148687599201153645551703449440179332922416612725585436454209579875701614000484457100595903508709023527878500594219352640218116226408553374512479435639078057791598531106768787626731171954122281547232945679881763211994173134498036686606693843342892384014007423604940248720,4029,2013,2016
64,4093,4092,-235653110201497954838765570606425296499574343273447136450473607976892391932868439619784551477797424900027036403625933654492365833332725079429779807167769979827937003962848538961530762855487840317780079386266982767638737905213313130300189253580635025249900767138282743144169746070031221501774051492797684668060401100928712022748121723913107270896177365065733252343895560689371325656474655294771252009200366518429119303266085163513906167641997496181300134634338149816822421288559743288188962183408612197254906559862674916414903346359892923322138057015112131143213039023843672329812380027640345851109038506080394974800163342829030628912937584894480387900148649708956834807368564636026955087303706526576283997178461428212494855946581380224987560225365374367195823090617557691159043413994314270666364254284247092908411389004524541154820277214973517435631365944299616423787826716147985860070010476856736131255873913539820477285528466916460426265600085369775599857371863718355425464490842977296316393004329781703407830814369320783053957890555066383746427284022470799544289640503479237324719034685374424990822170726658215750478809635011556373093845462143434063037038083799461660953379409177566460109770160183804257219237614347164640,4157,2077,2080
65,4222,4221,-148408565492979629066086814567065131017017461621325538642720917101865750385341632065554321160974819859442377420787983273543331813517935116343459442712145579909751127899154254660928073261872647427431955350780541759108467926030982451270085464333976303548651719808276764630389117786277383170818384240207216879017498204597787886400122524084531327229856619471575184179225704025867386206771711920208097569270791236384126207465469672798565956008054039839497405120429194857917415359462331224785394345169346522816041451781001680778126042659970547420207626359863347628514514193042531009732030229349537965811418953103742052314100273953714563051477823628732391429596636724067236924473909693279181494192716109984882027041032554755449901999570546280152787005583544873594240886143536704331563767371227101478859132491199861323307298234756968057646217105327195994408628929457050166250144523578407421884240329188934470621818240960140759611730323653650285371721499281582771883273670493977567787952739396305661906928964058288332093744147156910908407944697294288506701853501293284011875395500388741652190406410608756072737929519276245206907770940489814019940885064581721401443822939895553715273227201814927645709479669329726026528300944378416794421864047407714996003982894685431639850,4287,2142,2145
66,4353,4352,-374299738596380724247464239189216647704785050255900331213588393892476030369868664632435808465208399176410741832555343578282851358403922127754818222722951503561865777354423904999952530218588188246906191819935117810629205864436958205658908538346868088500885399704704186885009668812060015229735531142709648876635385275683274174837385092986912564160331989637793718959981981062374277628682720037826768984436125680277126997584065027487234266670367050169353711601641518675518446020616514281696878824905084015515887036980886492258544240151618885140339628618030067121768093366529721673620513240972953964128970988120587696200987161622880180520500782121309738825792126363536226553791793006951500134432795155318278229568052680201826318080641181463812457210832130059532886390403523649539503569167819449424987095266147579242586784300006059100882420060240990879566520480093374710057437036556026032891614889620665626660800650708056817805354580038702083403624854543615283106632660585815614885666800674540501079566718951183291454080371347616574120582623200436014584362612044215195759576186243046331835609473572834090374166238790814106266334813288641755979752052752719139908188082308700308473478024695522857956940566897006657397813468753491838324341120508180125565113549958025087492493733276480137962990068361966045658800,4419,2208,2211
67,4486,4485,-3780413809037800464929732700710451598213419554305942382492140480797440450338502663858310134544706330181123660354408169427375247949160742242927434066450485065196602667669330649701838852906727754867359516232713953142098046123133828207845177699507466184743061865481023296636097420550267201463795109723711157049408201868433856402765014863131671155171385555677719852718031413678972553496083191718519088818666074413075073389372642994823276225913549649821116268824023632724035895113524802608444581518590077907822833796238821650003069706457075951877532275580288130023427945969336566403144096838685815627681409518208200826338180412916993532031153736399727996900780487151902306910739789794141805846674112229853369029254759346103456823351841438834924563157968785027893971694358646251924907644416683078583222056083797513066399916504436959388743997913635885212203442936452906163122339145093226956956463976507497197226576848367350375083554344913468324649414029270633445368160861137537429778533752103228019974999255164196620647757142131385688713657631590939105917190307708600301444564855645407417467792424243235466886633677240224454183025336484163259396409920097390951253733050120429980374676462638037103598451490009897434190089536279579998498516334187532188976659900088716434932473113023038477709287628953817743554068680270615764326763648692751243103967600,4553,2275,2278
68,4621,4620,-152898633501356252776939197058103127395572628167197135779709060802657469202323431348668594589971334623892683796012174237625481037798568082396655792130409325533334561488935323890350145365818331169873080514374818561571139872731999242035221312959363405651219922824243144132516770833603850993822026466116514286169127201372507867287018980111018583412678063000940966091973452999052209869532156818306836885662118841190428717800424887958827442450375943249051909330184594370925102015356493735192113136673803976698184208815017491598184931314817023645871001700184729065023653877277825536056589954984559118183389958860239690295375473993158669515759553082757576795181551302373171172321551286596889142441762381803939702663203865583699208016836925479479410550942218162204994415830759354730069811775141253388417247435197098831692322130524652144407244194731575217188569106300318466155099503772662213345983087918397175883532176679413280324984061923432792584851623070698076860153696498877954435868309252924798529756776168823449821277000808330079246250444528433622684312666564881072770480565804004023565213151250622778430863068763740010004053067588303751296806717405951664129762897913565203505492382499997972432032242840578207736412678306391672743823170705017961412729051103823398339093053802667186081549035430472405155174800263329166042759736754373375103706930642389266824432238675417865374433681755200,4689,2343,2346
69,4758,4757,-24762708700691076110816509098305535369735746759032490200883900920612098326832808101844359561935446221875445873091277043207755847428108129875545905375169321042574297477518009340157952671771709530367823181556783971531437813980872580499022900451543452919208493540089405820959577881162597982350456498715935439442670609163403051289265845420373766983434966119123342691635433253997965388000964912037830091456038411433074460460768857013357998231906837650111547282701567013004975350194565867841794460853061279359357228843730850818257594157488343371504074172103548117898150383187093542586024998187535614602511570161404000462579346928057858385559007766295366150360789035556039509698600083175327263914638424471351018467058177424240014422619118011489290802734823571111946437568852717756661991170776824588281305643994555063272129363850308642587969289150031091519661140999003011488901294695342428400626415919259871510923224094197057750386662423240183600663917839219372742143695848382667671987738881983042845574597834198055682074065848961801613616082765754071746416142138548845290317832404508790879504080648024438215759702822790552246384390439949759126773497448353291589854289711547752330580187478102491028012965933851131548021239653370051218074543887365576224932831251752118448241522439069908820316799050252600773170393531985268857516629524941046953109020943877568248464618357452599061775814593457503411924915669270567715554768973033460000,4827,2412,2415
70,4897,4896,-16058664445023285929430474947329739848989970921579591974527469745571759750047453183370596787953910363027743930181938429703733733453771665067809069529899662208331076663635979161003984833175736230779201251709571386115616674754716360813902495441154263750449310794076216684437336922529839686243931588816950376969111793729193392789374593276522151768104878723258127850160284017215391681714828333420062216946941533918370826660490400289279955559596982344078184315838519862160130721261524269135788288930098814764255176294721767694942353498172552367142838110018703215006156074983763863148418368458801838105703635644677473345068364348860567515756571766815908726118948909877311948946285685482337725316432611971910563681322945188508374675000876352230901379102256934239311901465001654035755197309325563609051963884400766769553210390220833120832019195859517955962531772637868830189717550364283998764347173238786561881661959047991758860735391315902471708162591915066890420890361329418065229193130652885967105346925338975767728337994330459289536166500600442013634900755732899104184963683858123380386098948378063271641685270369220686721401905437915866368575945553016946203344601560699666600308413069607686443626091416063758813325234811945501437480093129479539903418127519378560817103048110652823768148366784076067266321814324386113052865555939572321993722309060843375827826084465246988132364116357002978710618374884897149335858221112357548852411671402982919616203295617979847310880000,4967,2482,2485
71,5038,5037,-41698886067705262460834512459085439926947649608862333115842937461516844905470049743554112867918751618586762571524884556278423225897728473302631926050496269416054779362169057981236792520181802798544786660280259779809271497554052676965516221110000117288193796975694400581096191695273413186028607878081699470180136567847342046367711039498071640205400002786277828820399075331992434178797056092799925043000313396458528765962477039745918517446507421919966940603135000992571612041123001296537974249725311999403185744429357009773709583576686166476090360354164179689952681834894783238018101060942359414137290712962669360219856160047070525508806565073382453401883535760737680906179833763532925485771700429735583285664894026219386565317679518323935926100183324241743318335198518487453760912302145552841086274698839292608893952164671905334098162072877294545761515545997838061583053959213739916765246564528397145066212239144984877183426905797616631943039952754322478733538774689467523600365102556310360030239408094544597303444974304061553606060223151018178730932649757536881544605991053296559108037719167664612778935487136449200078870006619941598916731633983777546033919905017932739795219025489767498464679828083591407883115308960638667614874302080728739286966858615503934183338134346438071581700851034509332795132510682948807037677043306725711533336831745854204241653727105147978406617228892923118487803189072862227029058310543436608036360735421243834149687703418545538055344827550254402958078878754191790272223966232000,5109,2553,2556
