n,maximizing_exponent,delta,a_over_L,a_over_L1_minus_1,a_over_L2_minus_1,a_over_L3_minus_1
10,2,-0.9721359549995793928183473374625524708812,0.9900563798131677770678563787362937905213,-0.248984298970728350291138090503197817735,-0.09401454807338033837059944651943350358379,-0.002646656002985113770843131436875206073328
100,12,-0.6421356237309504880168872420969807856967,1.095922430240342564155146649224111207546,-0.01451625070431986065315905002924161437225,-0.002300076795858645775191942488557795340872,-0.00009435080946346319525589683376745307398787
1000,44,0.7786404500042060718165266253744752911876,1.032038685554216464434568022661021419947,0.0001150914584235351540867268227495195120516,-0.000008532999124655959108336107495410844937332,-0.0000003133807318091904316274402935956245952246
10000,140,0.07864376269049511983112757903019214303281,1.012099410556867815752139522488298666914,-0.00003107582948834370707369938989572033320916,-0.0000009716582328158512809215230282967504523566,-0.000000007069678382501398234463038139874690844048
1000000,1412,-0.7135623730950488016887242096980785696719,1.001027121055118609110444620602274434077,-0.000001360930924034522025468176720141139429264,-0.000000002372608560837583448938436781565429310661,-0.000000000001159436306551529843194665359846156725126
100000000,14140,-0.6356237309504880168872420969807856967188,1.0001065066931225922455723947470149071,-0.00000001221009990235971295140091312026767478523,-0.00000000000219403452406316330458683073140242520795,-1.110658875775859401446316709376722718559e-16
1000000000000,1414212,-0.06237309504880168872420969807856967187538,1.000001206598909260197071266122103341793,-4.380402371996868965501132194063213983267e-13,-1.158765245936745798412851769486551183129e-18,-7.86258462081925416627851851920008587953e-25
