quantity,computed,exact_or_target,absolute_error
mass,1.0,1.0,0.0
reflection_symmetry,5.773159728050814e-15,0.0,5.773159728050814e-15
central_plateau,1.5000000000000002,1.5,2.220446049250313e-16
support_half_width,0.5,0.5,0.0
