F,size,height,width,max_upper_cone,a_o(omega+F),h(P_f(omega+F)),finite_tail_discrepancy
one point,1,1,1,1,omega+1,omega+1,0
antichain 2,2,1,2,1,omega+1,omega+2,1
antichain 3,3,1,3,1,omega+1,omega+3,2
chain 3,3,3,1,3,omega+3,omega+3,0
C3 disjoint C1,4,3,2,3,omega+3,omega+4,1
C3 disjoint C2,5,3,2,3,omega+3,omega+5,2
fork with least,3,2,2,3,omega+3,omega+3,0
