q,diagonal_offset_d,m_indices,roots_x=m/2
0,1,,
1,2,0,0
2,3,1,1/2
3,4,0 1,0 1/2
4,5,,
5,6,0 2,0 1
6,7,1 2,1/2 1
7,8,0 1 2,0 1/2 1
8,9,,
9,10,0,0
10,11,1,1/2
11,12,0 1,0 1/2
12,13,3,3/2
13,14,0 2 3,0 1 3/2
14,15,1 2 3,1/2 1 3/2
15,16,0 1 2 3,0 1/2 1 3/2
16,17,,
17,18,0,0
18,19,1,1/2
19,20,0 1,0 1/2
20,21,,
