degree,M,E_B_degree_plus_1_X,observed_corrected_residual,predicted_corrected_residual,status
1,2,-1/18,-1/144,-1/144,PASS
2,4,0,0,0,PASS
3,8,23/1350,23/22118400,23/22118400,PASS
4,16,0,0,0,PASS
5,32,-1543/119070,-1543/767102633902080,-1543/767102633902080,PASS
6,64,0,0,0,PASS
7,128,1196113/65063250,1196113/37506410042305718255616000,1196113/37506410042305718255616000,PASS
