n,t,r,k,log2_number_of_prime_factors,lower_double_log2,upper_double_log2
16,5,3,10,6,9,15
32,6,3,11,21,25,31
64,7,4,13,51,56,63
128,8,4,14,114,120,127
256,9,4,15,241,248,255
1024,11,5,18,1006,1015,1023
10000,15,5,22,9978,9991,9999
1000000,21,6,29,999971,999990,999999
