N,degree,max_error,x_at_max_error,min_interpolant,max_interpolant,lebesgue_constant
4,4,3.9966198827325716112e-2,9.228515625e-2,-3.9363404115041097005e-2,1.039363404115041097,2.2078243013347673696
8,8,9.4868047157138552471e-3,4.06494140625e-2,0.0,1.0,1.0945642197876853612e+1
16,16,3.7966208988241928031e-3,1.5380859375e-2,0.0,1.0,9.345317462228500356e+2
32,32,4.989348940065973795,7.080078125e-3,-4.9893489400647585682,5.9893489400647585682,2.4309222858902938411e+7
64,64,3.5901039211267812434e+7,3.0517578125e-3,-3.5901038211267812434e+7,3.5901039211267812434e+7,4.4048626910654568209e+16
128,128,3.846924564005879966e+22,1.3427734375e-3,-3.846924564005879966e+22,3.846924564005879966e+22,3.5355992170071570385e+35
