d,k,W_d[k],"T(d+k,d)",difference
5,32,3281264304,74676693,3206587611
5,33,5182677533,98949447,5083728086
5,34,8156645786,130437557,8026208229
5,35,12780489466,171168034,12609321432
5,36,19965105990,223568981,19741537009
5,37,31111144062,290804535,30820339527
5,38,48338597786,376649555,47961948231
5,39,74888115924,485981219,74402134705
5,40,115640633027,624604875,115016028152
6,0,1,1,0
6,1,8,8,0
6,2,37,37,0
6,3,129,129,0
6,4,376,376,0
6,5,966,966,0
6,6,2258,2258,0
6,7,5140,4901,239
6,8,11078,10024,1054
6,9,22921,19509,3412
6,10,46011,36438,9573
6,11,90269,65653,24616
6,12,173098,114753,58345
6,13,324477,195144,129333
6,14,598064,324164,273900
6,15,1080435,526911,553524
6,16,1932161,840581,1091580
6,17,3409996,1317461,2092535
6,18,5942456,2033445,3909011
6,19,10226259,3092660,7133599
6,20,17442380,4643571,12798809
6,21,29425252,6885877,22539375
6,22,49351946,10099775,39252171
6,23,82044764,14655962,67388802
6,24,135251670,21067353,114184317
6,25,221364451,30002794,191361657
6,26,360139422,42376093,317763329
6,27,582102079,59364880,522737199
6,28,936660588,82558632,854101956
6,29,1498014963,113985165,1384029798
6,30,2381456824,156352359,2225104465
6,31,3769537729,213082865,3556454864
6,32,5939583563,288702320,5650881243
6,33,9319994413,388887626,8931106787
6,34,14569151101,521072224,14048078877
6,35,22677979346,694518779,21983460567
6,36,35141875977,921252187,34220623790
6,37,54306989871,1216160431,53090829440
6,38,83615041899,1598417791,82016624108
6,39,128379399271,2091637936,126287761335
6,40,196470478959,2725992017,193744486942
