n,a_n,reduced_core_r_n
0,1,0
1,1,0
2,1,1
3,3,1
4,6,3
5,18,7
6,47,19
7,139,53
8,405,153
9,1225,453
10,3740,1367
11,11602,4191
12,36357,13015
13,115049,40857
14,366969,129441
15,1178791,413337
16,3809802,1328971
17,12380078,4298727
18,40423803,13978971
19,132564051,45673981
20,436417933,149867513
21,1441809621,493638797
22,4778632088,1631616239
23,15884348886,5410015615
24,52941973417,17990076527
25,176889898401,59981630321
26,592374142673,200476419713
27,1987954027307,671564145137
28,6684494576974,2254338511507
29,22517715819578,7582179238151
30,75983791423879,25547868961315
31,256809375665355,86228168309701
32,869262494471781,291494652615705
33,2946469358743265,986862016386773
34,10000645973989812,3345707559436871
35,33985728711070154,11357687172453727
36,115631861349194285,38603785106178119
37,393861251950864425,131364582512571145
38,1342976429390893961,447515251843733665
39,4583839975096719311,1526136627878598025
40,15660467184801255954,5209689075571243099
41,53551798035278670198,17800882211285695847
42,183281562663673184787,60878320249439994091
43,627800245387204413811,208380319779107251213
44,2152117343810763136669,713849104352844714745
45,7383070911392746684845,2447348171749513125661
46,25346652076255324710832,8396721019237876314335
47,87076985393333408289646,28829312894217796961791
48,299345654160414064229073,99050421462676023626207
49,1029716450268798360981121,340536379335797324994017
50,3544267516076863492473633,1171505366525062350748161
51,12206443925547966254777043,4032624217807179445028065
52,42062580770559480828078230,13889406436979453137704739
53,145023230697603378174430498,47865480793908447732623111
54,500271158484546420642091231,165042145155376581403071539
55,1726598591605080406668583883,569367116719269280172702037
56,5961939441447936993365432501,1965200423868928108992039577
57,20596178282362570455888389113,6786260965382719925001055205
58,71183879095809145098829359180,23445321881486500687672656951
59,246130798876563744588916652802,81035786379957212951835551071
60,851399283752203696694772963029,280211486036072997768044545207
61,2946304461882591332057292743721,969342371318249187780900062073
62,10199838473510862792828082053401,3354630546637287059445239323809
63,35324405983755203287853011083383,11614025545689710671511467502457
64,122381894374201931399811308630298,40224073184659474635240598570347
65,424145899372915339286083088798462,139363603320947151634314272833511
66,1470498077860817724823553794105259,483023028399691283312255208992379
67,5099883292555256156027060123392851,1674699054538509562747652404606493
68,17692870581574968501475741156642605,5808335726857352142117312812655865
69,61400871546659584432747568749313157,20151545935898542785558996217418669
70,213149836422334872739046494824858184,69936301035529381888993648574691279
71,740160546837437426051460968100025030,242789926920810792152216338401936767
72,2570950438531349437975659699918750585,843118532466501950837318170371719247
73,8932743304701764806394380708507297441,2928687117407275636589891827271523153
