n,catalan,avoid174,avoid234,indecomposable,reduced_core
0,1,1,1,0,0
1,1,1,1,0,0
2,2,1,1,1,1
3,5,3,3,2,1
4,14,6,6,5,3
5,42,18,18,14,7
6,132,47,47,42,19
7,429,139,139,132,53
8,1430,405,405,429,153
9,4862,1225,1225,1430,453
10,16796,3740,3740,4862,1367
11,58786,11602,11602,16796,4191
