q,p_boundary,p_center
1.01,3.94430452610505903e-31,7.59732384093531556e-6
1.05,4.76836703456207794e-7,0.00498658612852290619
1.1,0.000487804878048780488,0.0226108280503273328
1.25,0.0294117647058823529,0.0814069620978617884
1.5,0.1,0.146446609406726238
2,0.166666666666666667,0.211324865405187118
3,0.207106781186547524,0.262751066095960202
4,0.221246667012221052,0.284370123197123474
10,0.240377711587391672,0.316443754567589692
100,0.249124817741135756,0.331779267216811498
